#received from email w mirko
Depth	Sulphate
m	ug/l
113.0675361	41.93939885
113.0759095	47.15183667
113.084283	50.43555051
113.0926564	63.20332496
113.1010298	80.75589403
113.1094033	90.60235599
113.1177767	85.27942964
113.1261501	82.73449891
113.1345236	78.58705339
113.142897	85.70822004
113.1592705	77.05452483
113.1676439	93.68532772
113.1760173	106.8550595
113.1843908	111.2496281
113.1927642	88.34918577
113.2011376	134.9519242
113.2095111	121.391882
113.2178845	104.9914932
113.2752579	69.27116584
113.2836314	68.67638013
113.2920048	69.91217694
113.3003782	71.40220044
113.3217517	68.94077615
113.3301251	82.56318237
113.3384986	84.99181722
113.346872	84.71915742
113.3552454	80.33103784
113.3636189	79.459522
113.3719923	65.67852224
113.3803657	52.26955521
113.3887392	57.04302034
113.3971126	91.28979989
113.405486	102.3597181
113.4138595	110.9835794
113.4222329	82.5552945
113.4306064	68.16714899
113.4389798	60.61946042
113.4473532	55.48391801
113.4557267	53.40533096
113.4641001	57.69397391
113.4724735	67.78611359
113.480847	73.01664101
113.4892204	74.58040995
113.4975938	74.12185044
113.5059673	74.39633801
113.5143407	84.88539253
113.5227141	91.03021956
113.5310876	102.185096
113.539461	92.18002106
113.5478345	100.574648
113.5562079	94.72559345
113.5645813	83.80740501
113.5729548	72.01361095
113.5813282	67.54576359
113.5897016	65.87588107
113.5980751	63.8138216
113.6064485	74.95795188
113.6148219	89.0822847
113.6231954	85.38280807
113.6315688	76.79758244
113.6399423	73.01142348
113.6483157	71.4359556
113.6566891	78.27643199
113.6650626	76.73842016
113.673436	70.20303006
113.6818094	66.80786843
113.6901829	66.69091793
113.6985563	74.3396257
113.7069297	76.91209592
113.7153032	77.41642712
113.7236766	80.34140809
113.73205	78.72489346
113.7404235	70.29798266
113.7487969	56.65627481
113.7571704	62.03289314
113.7655438	67.13489427
113.7739172	72.22927975
113.7822907	60.79436766
113.7906641	46.45920765
113.7990375	39.50248076
113.807411	40.82799968
113.8157844	38.14864458
113.8241578	40.723487
113.8325313	38.45498177
113.8409047	48.70825569
113.8492782	54.56708418
113.8576516	72.8976748
113.866025	89.36176294
113.8743985	114.9270032
113.8827719	141.7338086
113.8911453	99.42088633
113.8995188	64.03813011
113.9078922	58.0677307
113.9162656	54.91915418
113.9246391	64.61735397
113.9330125	66.03839585
113.9413859	64.5875395
113.9497594	60.71596857
113.9581328	63.42850198
113.9665063	58.45400956
113.9748797	52.04585595
113.9832531	54.25167301
113.9916266	51.55359313
114.0101819	37.3662821
114.01838	38.73418132
114.0265781	30.44626428
114.0347762	30.20465041
114.0429743	36.12182938
114.0511724	56.74844041
114.0593705	87.87376165
114.0675686	92.66191364
114.0777667	82.59427854
114.0859648	64.7299684
114.0941629	54.56291501
114.102361	59.09389938
114.1105591	53.15555051
114.1187572	53.23470793
114.1269553	54.43688892
114.1351534	60.98403954
114.1433515	75.54647817
114.1515496	77.86923762
114.1597477	78.43014826
114.1679458	68.15717411
114.1761439	52.59875233
114.184342	46.97853034
114.1925401	41.30909827
114.2007382	42.85878636
114.2089363	44.8514413
114.2171344	41.28218423
114.2253325	51.47022604
114.2335306	72.5350401
114.2417287	98.04498906
114.2499268	99.45750628
114.2581249	86.22839666
114.266323	70.77744471
114.2745211	77.49044155
114.2827192	83.59393988
114.2909173	82.87092117
114.2991154	74.75492182
114.3073135	73.97488455
114.3155116	76.94045208
114.3237097	93.48521591
114.3319078	105.8762051
114.3401059	127.5342153
114.348304	115.1985741
114.3565021	124.9456307
114.3647002	119.6287774
114.3728983	140.6791315
114.3810964	125.7313457
114.3892945	134.8156251
114.3974926	121.0856356
114.4056907	129.4711529
114.4138888	109.6579438
114.4220869	114.2404391
114.430285	95.00575225
114.4384831	93.84704691
114.4466812	90.23138621
114.4548793	103.0403646
114.4630774	94.47087418
114.4712755	88.44592887
114.4794736	75.67058252
114.4876717	71.59092765
114.4958698	68.01523131
114.5040679	63.59332091
114.512266	69.8520619
114.5204641	75.56448189
114.5286622	77.99416673
114.5368603	67.94144049
114.5450584	74.79850928
114.5532565	77.76884064
114.5614546	80.17710443
114.5696527	71.94134165
114.5778508	80.10694321
114.5860489	79.04622701
114.594247	77.77169246
114.6024451	69.33343596
114.6106432	76.77598639
114.6188413	87.92733371
114.6270394	90.42550433
114.6352375	76.98414162
114.6434356	77.60479624
114.6516337	73.57968079
114.6598317	66.40849064
114.6680298	69.33782711
114.6762279	80.38159281
114.684426	81.57597019
114.6926241	80.73725999
114.7008222	87.69021146
114.7090203	89.72470226
114.7172184	90.08251155
114.7254165	84.61022442
114.7786146	84.02667261
114.7868127	90.07729077
114.7950108	93.50058495
114.8032089	87.34067893
114.811407	79.01197602
114.8196051	70.56906749
114.8278032	60.08698534
114.8360013	68.76367172
114.8441994	65.22946447
114.8523975	60.26557563
114.8605956	55.46529693
114.8687937	74.47800373
114.8769918	75.7054379
114.8851899	76.53941505
114.893388	75.48588026
114.9015861	82.19087742
114.9097842	67.62483837
114.9179823	70.98484971
114.9261804	64.69154825
114.9343785	68.3755975
114.9425766	64.03902293
114.9507747	68.98565989
114.9589728	63.29779632
114.9671709	71.5184315
114.975369	76.78917443
114.9835671	87.70947096
114.9917652	77.13519728
114.9999633	75.15547274
115.0081614	65.51928056
115.0163595	61.88317265
115.0342061	100.3229361
115.043171	102.2080531
115.0521358	88.79372924
115.0611007	73.23065705
115.0700656	81.93889654
115.0790304	81.73928542
115.0879953	96.53268249
115.0969602	97.17021794
115.1059251	122.7157903
115.1148899	113.5135704
115.1238548	120.5507899
115.1328197	109.7480353
115.1417845	118.4888439
115.1507494	99.70817467
115.1597143	98.6598963
115.1686792	87.95463015
115.177644	97.84319047
115.1866089	102.7131167
115.1955738	112.3420805
115.2045386	104.2600664
115.2135035	98.10426152
115.2224684	75.3294985
115.2314333	86.05033622
115.2403981	106.9406141
115.249363	102.2981447
115.2583279	78.65591833
115.2672927	73.33471603
115.2762576	75.49201977
115.2852225	89.85733614
115.2941874	92.89783683
115.3031522	98.83165357
115.3121171	105.9115288
115.321082	121.3829539
115.3300468	102.4143239
115.3390117	94.29854979
115.3479766	85.54694969
115.3569415	89.25317994
115.3659063	84.99181722
115.3748712	87.62835615
115.3838361	84.44592076
115.3928009	100.6170704
115.4017658	111.557806
115.4107307	148.9113506
115.4196956	138.8001296
115.4286604	130.7171028
115.4376253	114.7448756
115.4465902	113.646577
115.455555	103.5302601
115.4645199	103.6305517
115.4734848	102.69108
115.4824496	99.03862108
115.4914145	86.9838775
