Depth (m)	count	age (b1950)	MCE
119.199	1.0	1289.0	27.0
119.273	1.0	1290.0	27.0
119.349	1.0	1291.0	27.0
119.406	1.0	1292.0	27.0
119.477	1.0	1293.0	27.0
119.59	1.0	1294.0	27.0
119.715	1.0	1295.0	27.0
119.792	1.0	1296.0	27.0
119.873	1.0	1297.0	27.0
119.922	1.0	1298.0	27.0
120.012	1.0	1299.0	27.0
120.103	1.0	1300.0	27.0
120.155	1.0	1301.0	27.0
120.204	1.0	1302.0	27.0
120.257	1.0	1303.0	27.0
120.314	1.0	1304.0	27.0
120.355	1.0	1305.0	27.0
120.408	1.0	1306.0	27.5
120.488	1.0	1307.0	27.5
120.546	1.0	1308.0	27.5
120.61	1.0	1309.0	27.5
120.689	1.0	1310.0	27.5
120.743	1.0	1311.0	27.5
120.836	1.0	1312.0	27.5
120.876	1.0	1313.0	27.5
120.909	1.0	1314.0	27.5
120.972	1.0	1315.0	27.5
121.068	1.0	1316.0	27.5
121.128	1.0	1317.0	27.5
121.229	1.0	1318.0	27.5
121.261	1.0	1319.0	27.5
121.313	1.0	1320.0	27.5
121.371	1.0	1321.0	27.5
121.502	1.0	1322.0	27.5
121.598	1.0	1323.0	27.5
121.672	1.0	1324.0	27.5
121.738	1.0	1325.0	27.5
121.789	1.0	1326.0	27.5
121.851	1.0	1327.0	27.5
121.919	1.0	1328.0	27.5
121.958	1.0	1329.0	27.5
122.013	1.0	1330.0	27.5
122.104	1.0	1331.0	27.5
122.184	1.0	1332.0	27.5
122.225	1.0	1333.0	27.5
122.31	1.0	1334.0	27.5
122.392	1.0	1335.0	27.5
122.449	1.0	1336.0	27.5
122.539	1.0	1337.0	27.5
122.594	1.0	1338.0	28.0
122.659	1.0	1339.0	28.0
122.716	1.0	1340.0	28.0
122.782	1.0	1341.0	28.0
122.867	1.0	1342.0	28.0
122.977	1.0	1343.0	28.5
123.069	1.0	1344.0	28.5
123.17	1.0	1345.0	28.5
123.215	1.0	1346.0	28.5
123.282	1.0	1347.0	28.5
123.372	1.0	1348.0	28.5
123.463	1.0	1349.0	28.5
123.569	1.0	1350.0	28.5
