Depth	Count	Age
113.113	1.0	1206.0
113.21	1.0	1207.0
113.292	1.0	1208.0
113.367	1.0	1209.0
113.428	1.0	1210.0
113.546	1.0	1211.0
113.652	1.0	1212.0
113.732	1.0	1213.0
113.849	1.0	1214.0
113.912	1.0	1215.0
113.981	1.0	1216.0
114.059	1.0	1217.0
114.14	1.0	1218.0
114.217	1.0	1219.0
114.253	1.0	1220.0
114.317	1.0	1221.0
114.414	1.0	1222.0
114.47	1.0	1223.0
114.562	1.0	1224.0
114.623	1.0	1225.0
114.78	1.0	1226.0
114.87	1.0	1227.0
114.971	1.0	1228.0
115.046	1.0	1229.0
115.124	1.0	1230.0
115.202	1.0	1231.0
115.258	1.0	1232.0
115.34	1.0	1233.0
115.434	1.0	1234.0
115.511	1.0	1235.0
115.574	1.0	1236.0
115.655	1.0	1237.0
115.702	1.0	1238.0
115.784	1.0	1239.0
115.841	1.0	1240.0
115.91	1.0	1241.0
115.961	1.0	1242.0
116.104	1.0	1243.0
116.168	1.0	1244.0
116.245	1.0	1245.0
116.304	1.0	1246.0
116.343	1.0	1247.0
116.433	1.0	1248.0
116.473	1.0	1249.0
116.541	1.0	1250.0
116.592	1.0	1251.0
116.678	1.0	1252.0
116.728	1.0	1253.0
116.798	1.0	1254.0
116.861	1.0	1255.0
116.923	1.0	1256.0
116.994	1.0	1257.0
117.056	1.0	1258.0
117.124	1.0	1259.0
117.214	1.0	1260.0
117.281	1.0	1261.0
117.351	1.0	1262.0
117.42	1.0	1263.0
117.5	1.0	1264.0
117.57	1.0	1265.0
117.657	1.0	1266.0
117.705	1.0	1267.0
117.76	1.0	1268.0
117.818	1.0	1269.0
117.913	1.0	1270.0
117.998	1.0	1271.0
118.08	1.0	1272.0
118.156	1.0	1273.0
118.216	1.0	1274.0
118.27	1.0	1275.0
118.349	1.0	1276.0
118.402	1.0	1277.0
118.478	1.0	1278.0
118.561	1.0	1279.0
118.605	1.0	1280.0
118.717	1.0	1281.0
118.784	1.0	1282.0
118.845	1.0	1283.0
118.9	1.0	1284.0
118.965	1.0	1285.0
119.027	1.0	1286.0
119.082	1.0	1287.0
119.149	1.0	1288.0
119.199	1.0	1289.0
119.273	1.0	1290.0
119.349	1.0	1291.0
119.406	1.0	1292.0
119.477	1.0	1293.0
119.59	1.0	1294.0
119.715	1.0	1295.0
119.792	1.0	1296.0
119.873	1.0	1297.0
119.922	1.0	1298.0
120.012	1.0	1299.0
120.103	1.0	1300.0
120.155	1.0	1301.0
120.204	1.0	1302.0
120.257	1.0	1303.0
120.314	1.0	1304.0
120.355	1.0	1305.0
120.408	1.0	1306.0
120.488	1.0	1307.0
120.546	1.0	1308.0
120.61	1.0	1309.0
120.689	1.0	1310.0
120.743	1.0	1311.0
120.836	1.0	1312.0
120.876	1.0	1313.0
120.909	1.0	1314.0
120.972	1.0	1315.0
121.068	1.0	1316.0
121.128	1.0	1317.0
121.229	1.0	1318.0
121.261	1.0	1319.0
121.313	1.0	1320.0
121.371	1.0	1321.0
121.502	1.0	1322.0
121.598	1.0	1323.0
121.672	1.0	1324.0
121.738	1.0	1325.0
121.789	1.0	1326.0
121.851	1.0	1327.0
121.919	1.0	1328.0
121.958	1.0	1329.0
122.013	1.0	1330.0
122.104	1.0	1331.0
122.184	1.0	1332.0
122.225	1.0	1333.0
122.31	1.0	1334.0
122.392	1.0	1335.0
122.449	1.0	1336.0
122.539	1.0	1337.0
122.594	1.0	1338.0
122.659	1.0	1339.0
122.716	1.0	1340.0
122.782	1.0	1341.0
122.867	1.0	1342.0
122.977	1.0	1343.0
123.069	1.0	1344.0
123.17	1.0	1345.0
123.215	1.0	1346.0
123.282	1.0	1347.0
123.372	1.0	1348.0
123.463	1.0	1349.0
123.569	1.0	1350.0
123.628	1.0	1351.0
123.703	1.0	1352.0
123.775	1.0	1353.0
123.837	1.0	1354.0
123.883	1.0	1355.0
123.957	1.0	1356.0
124.003	1.0	1357.0
124.064	1.0	1358.0
124.114	1.0	1359.0
124.244	1.0	1360.0
124.311	1.0	1361.0
124.425	1.0	1362.0
124.463	1.0	1363.0
124.534	1.0	1364.0
124.614	1.0	1365.0
124.697	1.0	1366.0
124.73	1.0	1367.0
124.818	1.0	1368.0
124.895	1.0	1369.0
124.96	1.0	1370.0
125.027	1.0	1371.0
125.057	1.0	1372.0
125.106	1.0	1373.0
125.182	1.0	1374.0
125.269	1.0	1375.0
125.335	1.0	1376.0
125.396	1.0	1377.0
125.474	1.0	1378.0
125.513	1.0	1379.0
125.614	1.0	1380.0
125.68	1.0	1381.0
