Depth	Age
0.36	-6.0
0.767	-5.0
1.156	-4.0
1.701	-3.0
2.162	-2.0
2.576	-1.0
3.109	0.0
3.581	1.0
4.037	2.0
4.444	3.0
4.823	4.0
5.135	5.0
5.581	6.0
6.136	7.0
6.655	8.0
7.111	9.0
7.428	10.0
7.786	11.0
8.238	12.0
8.571	13.0
8.864	14.0
9.293	15.0
9.758	16.0
10.102	17.0
10.464	18.0
10.883	19.0
11.359	20.0
11.733	21.0
11.961	22.0
12.349	23.0
12.681	24.0
12.999	25.0
13.242	26.0
13.561	27.0
14.033	28.0
14.308	29.0
14.68	30.0
14.969	31.0
15.389	32.0
15.692	33.0
15.966	34.0
16.302	35.0
16.661	36.0
17.01	37.0
17.324	38.0
17.558	39.0
17.997	40.0
18.272	41.0
18.574	42.0
18.952	43.0
19.282	44.0
19.527	45.0
19.821	46.0
20.203	47.0
20.524	48.0
20.949	49.0
21.236	50.0
21.578	51.0
21.853	52.0
22.213	53.0
22.458	54.0
22.842	55.0
23.147	56.0
23.396	57.0
23.826	58.0
24.061	59.0
24.426	60.0
24.839	61.0
25.127	62.0
25.451	63.0
25.727	64.0
26.058	65.0
26.406	66.0
26.627	67.0
27.076	68.0
27.355	69.0
27.679	70.0
28.0	71.0
28.264	72.0
28.572	73.0
28.851	74.0
29.069	75.0
29.306	76.0
29.695	77.0
29.931	78.0
30.202	79.0
30.663	80.0
30.95	81.0
31.308	82.0
31.601	83.0
31.861	84.0
32.102	85.0
32.424	86.0
32.708	87.0
33.013	88.0
33.298	89.0
33.518	90.0
33.807	91.0
34.099	92.0
34.317	93.0
34.487	94.0
34.737	95.0
35.143	96.0
35.481	97.0
35.786	98.0
36.141	99.0
36.462	100.0
36.731	101.0
37.068	102.0
37.285	103.0
37.679	104.0
37.914	105.0
38.13	106.0
38.43	107.0
38.771	108.0
39.03	109.0
39.298	110.0
39.666	111.0
39.969	112.0
40.31	113.0
40.51	114.0
40.707	115.0
40.969	116.0
41.21	117.0
41.585	118.0
41.805	119.0
42.09	120.0
42.522	121.0
42.841	122.0
43.124	123.0
43.422	124.0
43.804	125.0
44.005	126.0
44.272	127.0
44.495	128.0
44.676	129.0
44.887	130.0
45.168	131.0
45.411	132.0
45.732	133.0
45.937	134.0
46.306	135.0
46.508	136.0
46.765	137.0
46.952	138.0
47.278	139.0
47.531	140.0
47.758	141.0
47.959	142.0
48.118	143.0
48.317	144.0
48.727	145.0
48.99	146.0
49.239	147.0
49.568	148.0
49.827	149.0
50.039	150.0
50.347	151.0
50.752	152.0
50.967	153.0
51.18	154.0
51.447	155.0
51.703	156.0
51.981	157.0
52.248	158.0
52.578	159.0
52.809	160.0
53.004	161.0
53.265	162.0
53.488	163.0
53.752	164.0
54.019	165.0
54.231	166.0
54.557	167.0
54.75	168.0
55.052	169.0
55.402	170.0
55.619	171.0
55.861	172.0
56.162	173.0
56.378	174.0
56.693	175.0
57.062	176.0
57.274	177.0
57.511	178.0
57.809	179.0
58.071	180.0
58.321	181.0
58.506	182.0
58.761	183.0
59.015	184.0
59.346	185.0
59.566	186.0
59.793	187.0
60.07	188.0
60.339	189.0
60.59	190.0
60.828	191.0
61.061	192.0
61.315	193.0
61.536	194.0
61.766	195.0
62.008	196.0
62.233	197.0
62.506	198.0
62.75	199.0
62.995	200.0
63.204	201.0
63.388	202.0
63.625	203.0
63.87	204.0
64.201	205.0
64.384	206.0
64.617	207.0
64.888	208.0
65.204	209.0
65.488	210.0
65.747	211.0
65.954	212.0
66.195	213.0
66.523	214.0
66.764	215.0
67.046	216.0
67.345	217.0
67.599	218.0
67.821	219.0
68.078	220.0
68.261	221.0
68.497	222.0
68.705	223.0
68.964	224.0
69.254	225.0
69.568	226.0
69.864	227.0
70.043	228.0
70.29	229.0
70.528	230.0
70.819	231.0
71.033	232.0
71.235	233.0
71.509	234.0
71.786	235.0
72.001	236.0
72.278	237.0
72.53	238.0
72.81	239.0
73.079	240.0
73.3	241.0
73.521	242.0
73.708	243.0
73.942	244.0
74.14	245.0
74.33	246.0
74.584	247.0
74.838	248.0
75.092	249.0
75.349	250.0
75.599	251.0
75.807	252.0
76.003	253.0
76.212	254.0
76.445	255.0
76.64	256.0
76.822	257.0
77.041	258.0
77.266	259.0
77.481	260.0
77.683	261.0
77.951	262.0
78.195	263.0
78.457	264.0
78.748	265.0
78.982	266.0
79.183	267.0
79.403	268.0
79.714	269.0
79.911	270.0
80.158	271.0
80.484	272.0
80.698	273.0
80.94	274.0
81.114	275.0
81.363	276.0
81.542	277.0
81.818	278.0
82.072	279.0
82.271	280.0
82.494	281.0
82.785	282.0
83.007	283.0
83.199	284.0
83.447	285.0
83.626	286.0
83.845	287.0
84.142	288.0
84.356	289.0
84.597	290.0
84.855	291.0
85.033	292.0
85.333	293.0
