Depth	Count	Age
129.822	1.0	1493.0
129.865	1.0	1494.0
129.921	1.0	1495.0
130.004	1.0	1496.0
130.072	1.0	1497.0
130.151	1.0	1498.0
130.206	1.0	1499.0
130.284	1.0	1500.0
130.329	1.0	1501.0
130.414	1.0	1502.0
130.457	1.0	1503.0
130.535	1.0	1504.0
130.601	0.5	1504.5
130.678	1.0	1505.5
130.743	1.0	1506.5
130.822	1.0	1507.5
130.889	1.0	1508.5
130.94	1.0	1509.5
130.984	1.0	1510.5
131.055	1.0	1511.5
131.153	1.0	1512.5
131.236	1.0	1513.5
131.273	1.0	1514.5
131.34	1.0	1515.5
131.477	1.0	1516.5
131.544	1.0	1517.5
131.589	0.5	1518.0
131.649	1.0	1519.0
131.754	1.0	1520.0
131.807	1.0	1521.0
131.864	1.0	1522.0
131.907	1.0	1523.0
131.943	1.0	1524.0
132.042	1.0	1525.0
132.1	1.0	1526.0
132.206	1.0	1527.0
132.269	1.0	1528.0
132.342	1.0	1529.0
132.415	1.0	1530.0
132.475	1.0	1531.0
132.547	1.0	1532.0
132.618	1.0	1533.0
132.704	1.0	1534.0
132.793	1.0	1535.0
132.859	1.0	1536.0
132.952	1.0	1537.0
133.011	1.0	1538.0
133.08	1.0	1539.0
133.163	1.0	1540.0
133.209	1.0	1541.0
133.272	1.0	1542.0
133.364	1.0	1543.0
133.439	1.0	1544.0
133.514	1.0	1545.0
133.56	1.0	1546.0
133.608	1.0	1547.0
133.662	1.0	1548.0
133.725	1.0	1549.0
133.783	1.0	1550.0
133.846	1.0	1551.0
133.91	1.0	1552.0
134.044	1.0	1553.0
134.1	1.0	1554.0
134.218	1.0	1555.0
134.275	1.0	1556.0
134.355	1.0	1557.0
134.427	1.0	1558.0
134.492	1.0	1559.0
134.553	1.0	1560.0
134.637	1.0	1561.0
134.707	1.0	1562.0
134.754	1.0	1563.0
134.827	1.0	1564.0
134.868	0.5	1564.5
134.954	1.0	1565.5
135.027	1.0	1566.5
135.097	1.0	1567.5
135.161	1.0	1568.5
135.244	1.0	1569.5
135.287	1.0	1570.5
135.376	1.0	1571.5
135.459	1.0	1572.5
135.532	1.0	1573.5
135.589	1.0	1574.5
135.659	1.0	1575.5
135.739	1.0	1576.5
135.804	1.0	1577.5
135.874	1.0	1578.5
135.928	1.0	1579.5
135.975	0.5	1580.0
136.041	1.0	1581.0
136.094	1.0	1582.0
136.186	1.0	1583.0
136.286	1.0	1584.0
136.346	1.0	1585.0
136.42	1.0	1586.0
136.471	1.0	1587.0
136.522	1.0	1588.0
136.578	1.0	1589.0
136.636	1.0	1590.0
136.721	1.0	1591.0
136.766	1.0	1592.0
136.838	1.0	1593.0
136.942	1.0	1594.0
136.988	0.5	1594.5
137.051	1.0	1595.5
137.102	1.0	1596.5
137.152	1.0	1597.5
137.212	1.0	1598.5
137.27	1.0	1599.5
137.321	1.0	1600.5
137.389	1.0	1601.5
137.477	0.5	1602.0
137.536	1.0	1603.0
137.604	1.0	1604.0
137.66	1.0	1605.0
137.719	1.0	1606.0
137.765	1.0	1607.0
137.846	1.0	1608.0
137.91	1.0	1609.0
138.025	1.0	1610.0
138.09	1.0	1611.0
138.161	1.0	1612.0
138.233	1.0	1613.0
138.293	1.0	1614.0
138.363	1.0	1615.0
138.449	1.0	1616.0
138.504	1.0	1617.0
138.619	1.0	1618.0
138.787	1.0	1619.0
138.874	1.0	1620.0
138.92	1.0	1621.0
139.01	1.0	1622.0
139.081	1.0	1623.0
139.166	1.0	1624.0
139.209	0.5	1624.5
139.274	1.0	1625.5
139.36	1.0	1626.5
139.432	1.0	1627.5
139.509	1.0	1628.5
139.575	0.5	1629.0
139.614	1.0	1630.0
139.657	1.0	1631.0
139.708	1.0	1632.0
139.791	1.0	1633.0
