Depth_m,nssS
173.95,-0.352
173.961,-0.182
173.972,-0.234
173.983,-0.332
173.994,-0.426
174.005,-0.457
174.015,-0.492
174.026,-0.532
174.037,-0.588
174.048,-0.562
174.059,-0.359
174.07,-0.276
174.081,-0.17
174.092,-0.009
174.103,0.144
174.114,0.025
174.125,-0.074
174.136,-0.077
174.147,0.071
174.158,-0.001
174.169,-0.156
174.18,-0.21
174.191,-0.298
174.201,-0.373
174.212,-0.504
174.223,-0.435
174.234,-0.383
174.245,-0.45
174.256,-0.441
174.267,-0.369
174.278,0.001
174.289,0.524
174.3,0.176
174.311,0.252
174.322,0.757
174.333,0.749
174.344,0.79
174.355,0.622
174.366,0.576
174.377,0.129
174.409,-0.3
174.42,-0.347
174.431,-0.409
174.442,-0.204
174.453,-0.031
174.464,0.354
174.475,0.777
174.486,1.501
174.497,1.29
174.508,0.947
174.519,0.442
174.53,0.219
174.541,0.419
174.552,0.405
174.562,0.394
174.573,0.276
174.584,0.126
174.595,0.07
174.606,-0.126
174.617,-0.239
174.628,-0.442
174.639,-0.548
174.65,-0.659
174.661,-0.721
174.672,-0.741
174.683,-0.808
174.694,-0.815
174.705,-0.795
174.716,-0.575
174.727,-0.596
174.738,-0.566
174.748,-0.658
174.759,-0.58
174.77,-0.513
174.781,-0.388
174.792,-0.248
174.803,0.17
174.814,0.233
174.825,0.46
174.836,-0.119
174.847,-0.487
174.858,-0.464
174.869,-0.841
174.88,-0.784
174.891,-0.713
174.902,-0.744
174.913,-0.717
174.924,-0.579
174.934,-0.695
174.945,-0.913
174.956,-0.918
174.967,-0.868
174.978,-0.772
174.989,-0.729
175.0,-0.656
175.011,-0.302
175.022,-0.048
175.033,-0.117
175.044,-0.144
175.055,-0.158
175.066,-0.108
175.077,-0.162
175.088,-0.245
175.099,-0.301
175.11,-0.351
175.12,-0.254
175.131,0.076
175.142,0.096
175.153,0.022
175.164,-0.186
175.175,-0.014
175.186,0.825
175.197,0.572
175.208,0.237
175.219,0.39
175.23,0.542
175.241,0.596
175.252,0.603
175.263,0.446
175.274,0.365
175.285,0.315
175.296,0.307
175.306,0.196
175.317,0.108
175.328,-0.022
175.339,-0.172
175.35,-0.292
175.361,-0.378
175.372,-0.442
175.383,-0.448
175.394,-0.345
175.405,-0.245
175.416,-0.177
175.427,-0.086
175.438,0.067
175.449,0.115
175.46,0.273
175.471,0.312
175.482,0.406
175.492,0.5
175.503,0.554
175.514,0.701
175.525,1.303
175.536,1.292
175.547,1.064
175.558,0.16
175.569,0.547
175.58,-0.135
175.591,-0.335
175.602,-0.589
175.613,-0.633
175.624,-0.568
175.635,-0.597
175.646,-0.606
175.657,-0.576
175.668,-0.464
175.679,-0.436
175.689,-0.36
175.7,-0.237
175.711,-0.201
175.722,-0.172
175.733,-0.024
175.744,-0.091
175.766,-0.012
175.777,0.126
175.788,0.011
175.799,0.29
175.821,0.162
175.832,0.037
175.843,-0.358
175.854,-0.727
175.864,-0.917
175.875,-0.822
175.886,-0.69
175.897,-0.588
175.908,-0.669
175.919,-0.66
175.93,-0.741
175.941,-0.755
175.952,-0.814
175.963,-0.63
176.04,-0.795
176.05,-1.062
176.061,-0.902
176.072,-0.768
176.083,-0.684
176.094,-0.591
176.105,-0.425
176.116,-0.462
176.127,-0.583
176.138,-0.584
176.149,-0.58
176.16,-0.579
176.171,-0.509
176.182,-0.219
176.193,-0.013
176.204,0.22
176.215,0.358
176.226,0.561
176.236,0.633
176.247,0.686
176.258,0.725
176.269,1.289
176.28,0.86
176.291,0.425
176.302,0.224
176.313,0.454
176.324,0.56
176.335,0.335
176.346,-0.263
176.357,-0.433
176.368,-0.437
176.379,-0.479
176.39,-0.439
176.401,0.024
176.412,-0.108
176.423,-0.101
176.433,-0.083
176.444,0.365
176.455,0.267
176.466,0.127
176.477,0.044
176.488,-0.019
176.499,-0.147
176.51,-0.138
176.521,-0.127
176.532,-0.057
176.543,-0.08
176.554,0.101
176.565,0.311
176.576,0.605
176.587,0.737
176.597,0.972
176.608,1.034
176.619,0.896
176.63,1.092
176.641,0.649
176.652,-0.296
176.663,-0.132
176.674,-0.358
176.685,-0.44
176.696,-0.337
176.707,-0.448
176.718,-0.734
176.729,-1.019
176.74,-1.136
176.751,-0.878
176.762,-0.719
176.773,-0.625
176.784,-0.573
176.794,-0.484
176.805,-0.435
176.816,-0.218
176.827,-0.034
176.838,0.074
176.849,0.163
176.86,0.131
176.871,0.15
176.882,0.035
176.893,0.033
176.904,0.02
176.915,0.326
176.926,0.437
176.937,-0.085
176.948,-0.613
176.959,-0.843
176.97,-0.508
176.98,-0.153
176.991,-0.303
177.002,-0.406
177.013,-0.452
177.024,-0.24
177.035,-0.272
177.046,-0.441
177.057,-0.211
177.068,-0.263
177.079,0.033
177.09,0.179
177.101,0.292
177.112,0.366
177.123,0.418
177.134,0.477
177.145,0.517
177.155,0.555
177.166,0.452
177.177,0.306
177.188,0.126
177.199,-0.107
177.21,-0.248
177.221,-0.334
177.232,-0.388
177.243,-0.59
177.254,-0.659
177.265,-0.572
177.276,-0.302
177.287,-0.11
177.298,-0.241
177.309,-0.176
177.32,0.153
177.331,0.505
177.341,0.349
177.352,0.053
177.363,-0.182
177.374,-0.001
177.385,0.19
177.396,0.527
177.407,0.57
177.418,0.541
177.429,0.699
177.44,0.937
177.451,1.113
177.462,0.961
177.473,0.229
177.484,-0.556
177.495,-0.7
177.506,-0.838
177.517,-0.617
177.528,-0.618
177.538,-0.562
177.549,-0.47
177.56,-0.114
177.571,0.237
177.582,-0.091
177.593,-0.123
177.604,-0.046
177.615,0.059
177.626,0.005
177.637,0.066
177.648,-0.068
177.659,-0.125
177.67,-0.143
177.681,-0.084
177.692,-0.306
177.703,-0.431
177.714,-0.581
177.724,-0.704
177.735,-0.645
177.746,-0.589
177.757,-0.608
177.768,-0.516
177.779,-0.38
177.79,-0.107
177.801,0.653
177.812,1.412
177.823,1.613
177.834,1.473
177.845,1.546
177.856,1.168
177.867,1.72
177.878,1.62
177.889,1.931
177.899,2.408
177.91,2.402
177.921,2.044
177.932,2.439
177.943,2.334
177.954,1.873
177.965,1.39
177.976,1.076
177.987,0.69
177.998,0.403
178.009,-0.04
178.02,-0.372
178.031,-0.71
178.042,-0.634
178.053,-0.514
178.064,-0.51
178.075,-0.555
178.085,-0.346
178.096,-0.256
178.107,-0.15
178.118,-0.167
178.129,-0.069
178.14,-0.075
178.151,0.018
178.162,-0.076
178.173,-0.249
178.184,-0.606
178.195,-0.858
178.206,-0.667
178.217,-0.615
178.228,-0.579
178.239,-0.551
178.25,-0.589
178.261,-0.562
178.272,-0.568
178.282,-0.535
178.293,-0.165
178.304,-0.197
178.315,-0.16
178.326,-0.161
178.337,-0.477
178.348,-0.512
178.359,-0.725
178.37,-0.599
178.381,0.229
178.392,-0.035
178.403,-0.521
178.414,-0.199
178.425,-0.291
178.436,-0.436
178.447,-0.45
178.457,-0.477
178.468,-0.49
178.479,-0.484
178.49,-0.566
178.501,-0.557
178.512,-0.632
178.523,-0.585
178.534,-0.56
178.545,-0.434
178.556,-0.361
178.567,-0.36
178.578,-0.326
178.589,-0.282
178.6,-0.278
178.611,-0.257
178.622,-0.229
178.633,-0.381
178.643,-0.535
178.654,-0.759
178.665,-0.764
178.676,-0.931
178.687,-0.801
178.698,-0.718
178.709,-0.626
178.72,-0.539
178.731,-0.443
178.742,-0.299
178.753,-0.149
178.764,0.071
178.775,0.268
178.786,0.502
178.797,0.784
178.808,1.184
178.819,1.431
178.829,1.1
178.84,0.456
178.851,0.733
178.862,0.293
178.873,-0.828
178.884,-0.76
178.895,-0.805
178.906,-1.106
178.917,-1.34
178.928,-1.27
178.939,-1.057
178.95,-0.941
178.961,-0.944
178.972,-0.969
178.983,-0.917
178.994,-0.822
179.005,-0.65
179.015,-0.547
179.026,-0.489
179.037,-0.388
179.048,-0.29
179.059,-0.09
179.07,-0.022
179.081,0.027
179.092,0.104
179.103,0.172
179.114,-0.005
179.125,-0.257
179.136,-0.425
179.147,-0.319
179.158,-0.044
179.169,-0.134
179.18,-0.526
179.191,-1.152
179.202,-1.128
179.212,-0.759
179.223,-0.91
179.234,-0.884
179.245,-0.783
179.256,-0.619
179.267,-0.488
179.278,-0.215
179.289,0.036
179.3,0.175
179.311,0.381
179.322,0.525
179.333,0.599
179.344,0.646
179.355,0.796
179.366,0.821
179.377,0.843
179.387,1.081
179.398,0.706
179.409,0.928
179.42,0.4
179.431,-0.274
179.442,-0.459
179.453,-0.422
179.464,-0.426
179.475,-0.348
179.486,-0.21
179.497,-0.423
179.508,-0.361
179.519,-0.386
179.53,-0.064
179.541,0.145
179.552,0.381
179.563,0.731
179.573,1.007
179.584,1.193
179.595,1.263
179.606,1.337
179.617,1.434
179.628,0.782
179.639,-0.026
179.65,-0.027
179.661,-0.186
179.672,-0.199
179.694,-0.057
179.705,-0.738
179.716,-1.171
179.727,-0.982
179.738,-0.805
179.748,-0.53
179.759,-0.22
179.77,-0.024
179.781,0.094
179.792,0.026
179.803,0.12
179.814,0.029
179.825,0.11
179.836,0.059
179.847,0.098
179.858,-0.083
179.869,-0.376
179.88,-0.386
179.891,-0.439
179.902,-0.539
179.913,-0.874
179.924,-1.344
179.935,-1.296
179.945,-1.245
179.956,-1.188
179.967,-1.062
179.978,-1.118
179.989,-1.162
180.0,-1.022
180.033,-0.659
180.044,-0.6
180.055,-0.482
180.066,-0.45
180.077,-0.427
180.088,-0.499
180.099,-0.617
180.11,-0.657
180.121,-0.815
180.131,-0.995
180.142,-1.122
180.153,-1.122
180.164,-1.041
180.175,-0.778
180.186,-0.488
180.197,-0.157
180.208,0.238
180.219,0.552
180.23,0.908
180.241,1.421
180.252,1.642
180.263,1.621
180.274,1.33
180.285,0.863
180.296,0.385
180.306,-0.017
180.317,-0.226
180.328,-0.522
180.339,-0.642
180.35,-0.774
180.361,-0.907
180.372,-0.988
180.383,-0.97
180.394,-0.91
180.405,-0.83
180.416,-0.782
180.427,-0.626
180.438,-0.314
180.449,-0.053
180.46,0.207
180.471,0.507
180.482,0.875
180.492,1.043
180.503,1.268
180.514,1.326
180.525,1.331
180.536,1.108
180.547,0.773
180.558,0.43
180.569,0.152
180.58,0.145
180.591,0.144
180.602,0.506
180.613,0.78
180.668,1.427
180.678,2.112
180.689,2.532
180.7,2.816
180.711,2.923
180.722,2.637
180.733,2.018
180.744,1.313
180.755,0.761
180.766,0.181
180.777,-0.141
180.788,-0.294
180.799,-0.427
180.81,-0.535
180.821,-0.562
180.832,-0.506
180.843,-0.503
180.854,-0.475
180.864,-0.44
180.875,-0.228
180.886,0.046
180.897,0.268
180.908,0.444
180.919,0.581
180.93,0.554
180.941,0.253
180.952,0.016
180.963,-0.539
180.974,-0.764
180.985,-1.094
180.996,-1.127
181.007,-1.027
181.018,-0.902
181.029,-0.4
181.04,-0.2
181.05,-0.792
181.061,-1.016
181.072,-0.781
181.083,-0.667
181.094,-0.72
181.105,-0.748
181.116,-0.544
181.127,-0.239
181.138,-0.886
181.149,-1.457
181.16,-1.142
181.171,-1.06
181.182,-1.057
181.193,-0.995
181.204,-0.997
181.215,-0.903
181.226,-0.781
181.236,-0.612
181.247,-0.329
181.258,0.136
181.269,0.548
181.28,0.833
181.291,0.628
181.313,0.672
181.324,0.525
181.335,0.643
181.346,0.441
181.357,0.684
181.368,0.529
181.379,0.55
181.39,0.408
181.401,0.356
181.412,0.297
181.423,0.268
181.433,0.214
181.444,0.242
181.455,0.346
181.466,0.476
181.477,0.762
181.488,1.166
181.499,1.513
181.51,2.122
181.521,3.096
181.532,3.092
181.543,2.188
181.554,1.216
181.565,1.205
181.576,0.614
181.587,0.832
181.598,0.758
181.609,0.591
181.619,0.406
181.63,0.07
181.641,-0.231
181.652,-0.492
181.663,-0.599
181.674,-0.788
181.685,-0.781
181.696,-0.81
181.707,-0.597
181.718,-0.372
181.729,-0.245
181.74,-0.191
181.751,-0.102
181.762,0.046
181.773,-0.031
181.784,-0.241
181.794,-0.454
181.805,-0.667
181.816,-0.766
181.827,-0.963
181.838,-1.099
181.849,-1.296
181.86,-1.39
181.871,-1.412
181.882,-1.431
181.893,-1.471
181.904,-1.492
181.915,-1.524
181.926,-1.5
181.937,-1.492
181.948,-1.317
181.959,-1.207
181.97,-1.103
181.98,-1.04
181.991,-1.047
182.002,-0.899
182.013,-0.708
182.024,-0.569
182.035,-0.26
182.046,0.096
182.057,-0.004
182.068,0.29
182.079,-0.119
182.09,-0.76
182.101,-0.567
182.112,-0.727
182.123,-0.582
182.134,-0.115
182.145,-0.213
182.156,-0.901
182.166,-0.853
182.177,-0.328
182.188,0.069
182.199,0.297
182.21,0.734
182.221,0.977
182.232,1.138
182.243,1.243
182.254,1.314
182.265,1.326
182.276,1.117
182.287,1.156
182.298,1.054
182.309,1.17
182.32,1.234
182.331,1.183
182.341,1.199
182.352,1.189
182.363,1.087
182.374,1.174
182.385,1.348
182.396,1.455
182.407,1.677
182.418,1.67
182.429,1.617
182.44,1.74
182.451,2.029
182.462,2.197
182.473,2.56
182.484,2.614
182.495,2.924
182.506,3.437
182.527,3.752
182.538,3.75
182.549,3.173
182.56,2.865
182.571,2.697
182.582,2.522
182.593,2.23
182.604,1.954
182.615,1.842
182.626,1.822
182.637,1.925
182.648,2.442
182.659,2.141
182.67,1.97
182.681,1.378
182.692,1.857
182.703,1.669
182.713,1.142
182.724,1.837
182.735,1.198
182.746,0.058
182.757,0.159
182.768,0.04
182.779,-0.221
182.79,-0.247
182.801,-0.413
182.812,-0.571
182.823,-0.728
182.834,-0.623
182.845,-0.43
182.856,-0.302
182.867,-0.211
182.878,-0.01
182.889,-0.169
182.899,0.333
182.91,0.003
182.921,-0.148
182.932,-0.445
182.943,-1.028
182.954,-0.84
183.064,-1.228
183.075,-1.252
183.085,-1.312
183.096,-1.483
183.107,-0.797
183.118,-0.768
183.129,-0.742
183.14,-0.837
183.151,-1.25
183.162,-1.226
183.173,-1.487
183.184,-1.817
183.195,-2.13
183.206,-2.158
183.217,-2.143
183.228,-1.991
183.239,-1.757
183.25,-1.67
183.261,-1.553
183.272,-1.387
183.282,-1.164
183.293,-0.855
183.304,-0.369
183.315,0.358
183.326,0.404
183.337,0.386
183.348,0.147
183.359,0.183
183.37,0.206
183.381,0.222
183.392,0.113
183.403,-0.544
183.414,-1.083
183.425,-1.367
183.436,-1.326
183.447,-1.487
183.457,-1.626
183.468,-1.66
183.479,-1.698
183.49,-1.568
183.501,-1.812
183.512,-2.063
183.523,-2.047
183.534,-2.049
183.545,-1.952
183.556,-1.917
183.567,-1.778
183.578,-1.778
183.589,-1.681
183.6,-1.619
183.611,-1.525
183.622,-1.373
183.633,-1.3
183.643,-1.166
183.654,-1.106
183.665,-1.099
183.676,-1.165
183.687,-1.314
183.698,-1.478
183.709,-1.551
183.72,-1.649
183.731,-1.737
183.742,-1.804
183.753,-1.824
183.764,-1.831
183.775,-1.66
183.786,-1.486
183.797,-1.548
183.808,-1.734
183.819,-1.688
183.829,-1.654
183.84,-1.436
183.851,-1.149
183.862,-1.008
183.873,-0.828
183.884,-0.669
183.895,-0.521
183.906,-0.397
183.917,-0.352
183.928,-0.126
183.939,0.051
183.95,-0.034
183.961,-0.082
183.972,-0.183
183.983,-0.194
183.994,-0.212
184.005,-0.304
184.016,-0.531
184.026,-0.802
184.037,-0.966
184.048,-0.991
184.059,-1.124
184.07,-1.271
184.081,-1.266
184.092,-0.896
184.103,-0.632
184.114,-0.526
184.125,-0.483
184.136,-0.599
184.147,-0.559
184.158,-0.41
184.169,0.165
184.18,0.279
184.191,-0.136
184.201,-0.618
184.212,-0.784
184.223,-1.202
184.234,-1.103
184.245,-1.264
184.256,-1.309
184.267,-1.219
184.278,-1.174
184.289,-0.938
184.3,-0.644
184.311,-0.454
184.322,-0.136
184.333,0.104
184.344,0.371
184.355,0.578
184.366,1.039
184.377,2.142
184.387,1.733
184.398,1.208
184.409,1.384
184.42,1.736
184.431,2.689
184.442,3.82
184.453,3.607
184.464,3.494
184.475,3.98
184.486,4.351
184.497,4.981
184.508,5.777
184.519,6.411
184.53,6.57
184.541,7.018
184.552,7.206
184.563,7.549
184.573,7.535
184.584,7.428
184.595,7.279
184.606,7.521
184.617,7.797
184.628,7.802
184.639,7.511
184.65,6.605
184.661,5.576
184.672,5.095
184.683,4.356
184.694,3.312
184.705,2.303
184.716,1.498
184.727,0.57
184.738,-0.095
184.748,-0.569
184.759,-0.924
184.77,-0.993
184.781,-0.998
184.792,-0.935
184.803,-0.727
184.814,-0.588
184.825,-0.432
184.836,-0.366
184.847,-0.24
184.858,-0.267
184.869,-0.499
184.88,-0.725
184.891,-0.816
184.902,-0.855
184.913,-0.924
184.924,-1.117
184.934,-1.154
184.945,-1.238
184.956,-1.255
184.967,-1.172
184.978,-0.988
184.989,-0.825
185.0,-0.657
185.011,-0.467
185.022,-0.098
185.033,0.688
185.044,0.518
185.055,0.551
185.066,-0.176
185.077,-0.502
185.088,-0.686
185.099,-0.63
185.11,-0.534
185.12,-0.483
185.131,-0.589
185.142,-0.712
185.153,-0.89
185.164,-0.971
185.175,-0.944
185.186,-0.87
185.197,-0.813
185.208,-0.837
185.219,-0.784
185.23,-0.695
185.241,-0.618
185.252,-0.518
185.263,-0.508
185.274,-0.471
185.285,-0.618
185.296,-0.826
185.306,-1.011
185.317,-1.094
185.328,-1.15
185.339,-1.201
185.35,-1.251
185.361,-1.246
185.372,-1.258
185.383,-1.161
185.394,-0.77
185.405,-0.623
185.416,-0.747
185.427,-0.781
185.438,-0.99
185.449,-0.439
185.46,0.054
185.471,0.338
185.482,0.181
185.493,-0.061
185.503,0.024
185.514,-0.086
185.525,-0.114
185.536,-0.214
185.547,-0.49
185.558,-0.434
185.569,-0.651
185.58,-0.923
185.591,-1.061
185.602,-1.201
185.613,-1.211
185.624,-1.208
185.635,-1.207
185.646,-1.193
185.657,-0.725
185.668,-0.529
185.679,-0.724
185.689,-1.381
185.7,-1.215
185.711,-0.933
185.722,-0.788
185.733,-0.743
185.744,-0.574
185.755,-0.329
185.766,-0.002
185.777,0.185
185.788,-0.141
185.799,0.201
185.81,-0.143
185.821,-0.556
185.832,-0.334
185.843,-0.628
185.854,-0.517
185.864,-0.475
185.875,-0.526
185.886,-0.585
185.897,-0.604
185.908,-0.572
185.919,-0.587
185.93,-0.449
185.941,-0.338
185.952,-0.391
185.963,-0.24
185.974,-0.211
185.985,0.157
185.996,1.056
186.007,1.827
186.04,1.962
186.05,0.734
186.061,0.319
186.072,0.105
186.083,0.131
186.094,1.021
186.105,1.435
186.116,1.857
186.127,2.225
186.138,2.673
186.149,3.049
186.16,3.547
186.171,3.832
186.182,4.038
186.193,4.1
186.204,3.961
186.215,3.714
186.226,3.624
186.236,3.771
186.247,2.709
186.258,1.127
186.269,-0.329
186.28,-1.184
186.291,-1.117
186.302,-1.364
186.313,-1.388
186.324,-1.48
186.335,-1.366
186.346,-1.201
186.357,-0.976
186.368,-1.381
186.379,-1.566
186.39,-0.712
186.401,-0.339
186.412,-0.495
186.422,-0.833
186.433,-1.529
186.444,-1.653
186.455,-1.151
186.466,-1.152
186.477,-1.568
186.488,-2.25
186.499,-2.302
186.51,-2.085
186.521,-1.74
186.532,-2.07
186.543,-2.183
186.554,-2.35
186.565,-2.471
186.576,-2.293
186.587,-2.194
186.598,-2.17
186.608,-2.085
186.619,-2.038
186.63,-1.838
186.641,-1.677
186.652,-1.506
186.663,-1.166
186.674,-1.027
186.685,-1.185
186.696,-1.345
186.707,-1.315
186.718,-1.219
186.729,-1.18
186.74,-1.125
186.751,-1.309
186.762,-1.52
186.773,-1.593
186.784,-1.562
186.794,-1.324
186.805,-1.657
186.816,-2.057
186.827,-2.414
186.838,-2.52
186.849,-2.241
186.86,-2.043
186.871,-1.965
186.882,-1.919
186.893,-1.912
186.904,-1.84
186.915,-1.69
186.926,-1.447
186.937,-1.383
186.948,-1.393
186.959,-1.561
186.97,-1.714
186.98,-1.772
186.991,-1.784
187.002,-1.848
187.013,-1.911
187.024,-1.978
187.035,-2.008
187.046,-1.996
187.057,-2.023
187.068,-1.957
187.079,-1.791
187.09,-1.708
187.101,-1.584
187.112,-1.552
187.123,-1.481
187.134,-1.328
187.145,-1.005
187.155,-0.218
187.166,0.206
187.177,-0.167
187.188,-0.722
187.199,-0.882
187.21,-1.018
187.221,-1.293
187.232,-1.663
187.243,-1.676
187.254,-1.5
187.265,-1.199
187.276,-1.208
187.287,-1.158
187.298,-1.238
187.309,-1.158
187.32,-1.199
187.331,-1.211
187.341,-1.227
187.352,-1.21
187.363,-1.267
187.374,-1.246
187.385,-1.035
187.396,-1.154
187.407,-0.84
187.418,-1.088
187.429,-1.049
187.44,-1.29
187.451,-1.083
187.462,-1.054
187.473,-0.922
187.484,-0.898
187.495,-0.573
187.506,-0.052
187.517,-0.071
187.527,-0.044
187.538,-0.089
187.549,-0.141
187.56,-0.2
187.571,-0.064
187.582,0.03
187.593,-0.125
187.604,-0.509
187.615,-0.698
187.626,-1.033
187.637,-1.495
187.648,-1.752
187.659,-1.628
187.67,-1.728
187.681,-1.833
187.692,-1.91
187.703,-1.971
187.714,-1.635
187.724,-1.844
187.735,-2.073
187.746,-2.087
187.757,-1.653
187.768,-1.212
187.779,-1.35
187.79,-1.217
187.801,-0.983
187.812,-0.865
187.823,-0.964
187.834,-0.996
187.845,-0.879
187.856,-0.837
187.867,-1.172
187.878,-0.916
187.889,-1.243
187.91,-1.125
187.932,-0.883
187.943,-0.494
187.998,-0.629
188.009,-0.644
188.02,-0.752
188.031,-0.547
188.042,-0.292
188.053,-0.249
188.064,-0.408
188.075,-0.569
188.085,-0.699
188.096,-0.843
188.107,-0.876
188.118,-0.824
188.129,-0.751
188.14,-0.722
188.151,-0.628
188.162,-0.602
188.173,-0.331
188.184,-0.041
188.195,0.47
188.206,0.382
188.217,0.457
188.228,0.965
188.239,1.195
188.25,1.474
188.261,1.859
188.272,2.104
188.282,2.207
188.293,2.294
188.304,2.619
188.315,2.639
188.326,2.702
188.337,3.142
188.348,3.289
188.359,3.599
188.37,3.821
188.381,4.266
188.392,4.567
188.403,4.906
188.414,4.938
188.425,5.181
188.436,5.639
188.447,5.965
188.457,6.087
188.468,5.828
188.479,5.612
188.49,5.822
188.501,6.503
188.512,8.272
188.523,8.538
188.534,7.56
188.545,6.994
188.556,7.662
188.567,8.412
188.578,8.839
188.589,9.423
188.6,9.795
188.611,9.98
188.622,9.962
188.633,11.028
188.643,11.495
188.654,11.506
188.665,12.525
188.676,13.03
188.687,13.813
188.698,14.439
188.709,14.219
188.72,12.545
188.731,10.812
188.742,9.235
188.753,5.41
188.764,4.645
188.775,2.426
188.786,1.22
188.797,1.341
188.808,1.133
188.819,1.008
188.829,0.899
188.84,0.503
188.851,0.373
188.862,0.259
188.873,0.212
188.884,0.225
188.895,-0.007
188.906,-0.072
188.917,-0.221
188.928,-0.361
188.939,-0.584
188.95,-0.809
188.961,-1.29
189.048,-1.337
189.059,-1.212
189.07,-1.054
189.081,-0.988
189.092,-0.885
189.103,-0.801
189.114,-0.726
189.125,-0.616
189.136,-0.508
189.147,-0.335
189.158,-0.378
189.169,-0.553
189.18,-0.998
189.19,-0.888
189.201,-1.036
189.212,-1.192
189.223,-1.331
189.234,-1.276
189.245,-1.31
189.256,-1.299
189.267,-1.323
189.278,-1.302
189.289,-1.235
189.3,-1.1
189.311,-0.962
189.322,-0.859
189.333,-0.779
189.344,-0.373
189.355,0.279
189.366,0.018
189.377,-0.156
189.387,-0.703
189.431,-0.502
189.442,-0.591
189.453,-0.619
189.464,-0.592
189.475,-0.642
189.486,-0.698
189.497,-0.595
189.508,-0.552
189.519,-0.891
189.541,-1.068
189.563,-1.192
189.584,-1.476
189.606,-1.634
189.617,-1.474
189.628,-1.375
189.639,-1.393
189.65,-1.258
189.661,-0.947
189.672,-0.682
189.683,-0.948
189.694,-1.339
189.705,-1.118
189.716,-0.76
189.727,-0.752
189.738,-0.785
189.749,-0.642
189.759,-0.593
189.77,-0.623
189.781,-0.702
189.792,-0.672
189.803,-0.801
189.814,-0.841
189.825,-0.925
189.836,-0.894
189.847,-0.698
189.858,-0.725
189.869,-0.703
189.88,-0.772
189.891,-0.546
189.902,-0.374
189.913,-0.235
189.924,-0.196
189.934,-0.219
189.945,-0.173
189.956,-0.326
189.967,-0.49
189.978,-0.619
189.989,-0.671
190.0,-0.741
190.033,-0.897
190.044,-0.995
190.055,-1.202
190.066,-1.276
190.077,-1.318
190.088,-1.311
190.099,-1.399
190.11,-1.291
190.12,-1.108
190.131,-1.242
190.142,-1.226
190.153,-1.093
190.164,-1.161
190.175,-1.187
190.186,-0.686
190.197,-0.831
190.208,-1.165
190.219,-1.131
190.23,-1.061
190.241,-0.805
190.252,-0.593
190.263,-0.486
190.274,-0.31
190.285,0.037
190.296,0.175
190.306,0.267
190.317,0.336
190.328,0.264
190.339,0.228
190.35,0.093
190.361,-0.008
190.372,-0.181
190.383,-0.422
190.394,-0.714
190.405,-0.952
190.416,-1.096
190.427,-1.137
190.438,-1.476
190.449,-1.699
190.46,-1.815
190.471,-1.75
190.482,-1.654
190.492,-1.582
190.503,-1.529
190.514,-1.507
190.525,-1.451
190.536,-1.408
190.547,-1.421
190.558,-1.439
190.569,-1.313
190.58,-1.213
190.591,-1.113
190.602,-1.221
190.613,-1.26
190.624,-1.359
190.635,-1.481
190.646,-1.672
190.657,-1.604
190.668,-1.299
190.679,-1.237
190.689,-1.329
190.7,-1.552
190.711,-1.465
190.722,-1.429
190.733,-1.309
190.744,-1.053
190.755,-0.796
190.766,-0.59
190.777,-0.42
190.788,-0.424
190.799,-0.476
190.81,-0.567
190.821,-0.578
190.832,-0.599
190.843,-0.728
190.854,-0.839
190.864,-1.049
190.875,-1.131
190.886,-1.253
190.897,-1.287
190.908,-1.289
190.919,-1.171
190.93,-0.989
190.941,-0.996
190.952,-0.986
190.963,-1.158
190.974,-1.551
190.985,-1.529
190.996,-1.27
191.007,-0.576
191.018,-0.659
191.029,-0.813
191.04,-0.918
191.051,-0.979
191.061,-0.987
191.072,-0.986
191.083,-0.928
191.094,-0.952
191.105,-0.771
191.116,-0.557
191.127,-0.249
191.138,0.008
191.149,0.365
191.16,0.524
191.171,0.206
191.182,0.055
191.193,0.057
191.204,-0.16
191.215,-0.414
191.226,-1.21
191.237,-1.281
191.247,-1.374
191.258,-1.39
191.269,-1.407
191.28,-1.222
191.291,-0.862
191.302,-1.19
191.313,-1.355
191.324,-1.741
191.335,-1.653
191.346,-1.471
191.357,-1.333
191.368,-1.091
191.379,-0.889
191.401,-0.768
191.412,-0.466
191.422,-0.327
191.433,-0.449
191.444,-0.274
191.455,-0.306
191.466,-1.049
191.477,-1.341
191.488,-1.29
191.499,-1.24
191.51,-1.269
191.521,-1.175
191.532,-1.41
191.543,-1.421
191.554,-1.319
191.565,-1.16
191.576,-1.204
191.587,-1.238
191.598,-1.252
191.608,-1.22
191.619,-1.081
191.63,-0.963
191.641,-0.642
191.652,-0.319
191.663,-0.402
191.674,-0.561
191.685,-0.346
191.696,-0.138
191.707,0.036
191.718,0.134
191.729,0.213
191.74,0.181
191.751,0.09
191.762,0.011
191.773,-0.165
191.784,-0.163
191.794,-0.296
191.805,-0.328
191.816,-0.004
191.827,0.263
191.838,-0.015
191.849,-0.025
191.86,-0.785
191.871,-0.653
191.882,-0.756
191.893,-0.755
191.904,-0.656
191.915,-0.536
191.926,-0.54
191.937,-0.679
191.948,-0.618
191.959,-0.601
191.97,-0.537
191.98,-0.421
191.991,-0.393
192.002,-0.414
192.013,-0.495
192.024,-0.519
192.035,-0.648
192.046,-0.725
192.057,-0.605
192.068,-0.435
192.079,-0.334
192.09,-0.735
192.101,-0.693
192.112,-0.718
192.123,0.03
