Depth_m,Sr
134.902,0.604
134.913,0.419
134.924,0.141
134.978,0.073
134.989,0.262
135.0,0.262
135.011,0.168
135.11,0.062
135.12,0.157
135.131,0.159
135.142,0.256
135.153,0.166
135.164,0.076
135.175,0.08
135.296,0.277
135.306,0.651
135.317,1.025
135.328,1.21
135.339,1.488
135.35,1.672
135.361,1.668
135.372,1.383
135.383,0.818
135.394,0.44
135.405,0.063
135.503,0.224
135.514,0.683
135.525,0.952
135.536,1.034
135.547,0.839
135.558,0.553
135.569,0.457
135.58,0.268
136.04,0.22
136.05,0.596
136.061,1.066
136.072,1.349
136.083,1.632
136.094,1.82
136.105,1.726
136.116,1.445
136.127,0.882
136.138,0.508
136.302,0.34
136.313,0.715
136.324,1.183
136.335,1.651
136.346,1.838
136.357,1.839
136.368,1.651
136.379,1.369
136.39,0.993
136.401,0.616
136.411,0.332
136.422,0.14
136.543,0.056
136.554,0.338
136.565,0.62
136.576,0.997
136.587,1.091
136.597,1.091
136.608,0.81
136.619,0.435
136.63,0.153
136.794,0.001
136.805,0.283
136.816,0.566
136.827,0.943
136.838,1.226
136.849,1.321
136.86,0.759
137.013,0.18
137.024,0.288
137.035,0.301
137.046,0.311
137.057,0.131
137.068,0.035
137.079,0.029
137.09,0.209
137.101,0.387
137.112,0.379
137.123,0.279
137.177,0.179
137.188,0.368
137.199,0.557
137.21,0.747
137.221,0.843
137.232,0.845
137.243,0.846
137.254,0.845
137.265,0.656
137.276,0.468
137.287,0.28
137.298,0.187
137.309,0.094
137.32,0.095
137.331,0.003
137.506,0.104
137.517,0.292
137.528,0.48
137.538,0.48
137.549,0.294
137.56,0.107
137.67,0.115
137.681,0.586
137.692,0.963
137.703,1.153
137.714,1.155
137.724,0.877
137.735,0.504
138.151,0.118
138.162,0.587
138.173,0.87
138.184,1.154
138.195,1.25
138.206,1.066
138.217,0.693
138.228,0.413
138.239,0.321
138.25,0.417
138.261,0.417
138.271,0.417
138.282,0.322
138.293,0.133
138.304,0.318
138.315,0.88
138.326,1.912
138.337,3.04
138.348,4.45
138.359,5.673
138.37,5.113
138.381,3.803
138.392,2.397
138.403,1.835
138.414,2.211
138.425,2.681
138.436,2.869
138.447,2.493
138.457,1.461
138.468,0.334
138.72,0.222
138.731,0.878
138.742,1.44
138.753,1.626
138.764,1.531
138.775,1.249
138.786,0.872
138.797,0.589
138.808,0.306
138.819,0.211
138.829,0.116
138.928,0.104
138.939,0.201
138.95,0.205
139.048,0.018
139.059,0.576
139.07,1.131
139.081,1.215
139.092,0.171
139.147,0.055
139.158,0.245
139.169,0.249
139.267,0.185
139.278,0.751
139.289,1.317
139.3,0.663
140.033,2.914
140.044,3.666
140.055,4.042
140.066,4.044
140.077,3.388
140.088,2.263
140.099,1.139
140.11,0.296
140.208,0.13
140.219,0.695
140.23,0.978
140.241,0.603
140.252,0.038
140.678,0.207
140.689,0.77
140.7,1.52
140.711,1.989
140.722,1.708
140.733,0.864
140.744,0.209
140.755,0.304
140.766,0.399
140.777,0.494
140.788,0.4
140.799,0.119
140.864,0.006
140.875,0.188
140.886,0.182
141.061,0.531
141.072,1.185
141.083,1.465
141.094,1.277
141.105,0.808
141.116,0.432
141.127,0.338
141.138,0.244
141.149,0.244
141.16,0.244
141.379,0.185
141.39,0.284
141.401,0.195
141.412,0.014
141.444,0.029
141.455,0.31
141.466,0.215
141.477,0.026
141.499,0.023
141.576,0.205
141.587,0.11
141.696,0.288
141.783,0.024
141.816,0.029
141.827,0.029
141.838,0.216
141.849,0.31
141.86,0.684
141.871,1.434
141.882,2.372
141.893,2.558
141.904,1.901
141.915,0.68
142.013,0.293
142.024,0.574
142.035,1.325
142.046,2.827
142.057,4.424
142.068,5.177
142.079,5.083
142.09,3.3
142.101,1.422
142.112,0.202
142.341,0.191
142.352,1.035
142.363,1.878
142.374,2.439
142.385,0.841
142.593,0.716
142.604,1.465
142.615,1.559
142.626,1.652
142.637,1.744
142.648,1.461
142.757,0.402
142.768,0.59
142.779,0.402
142.79,0.307
142.801,0.119
143.031,0.081
143.042,0.552
143.053,1.305
143.064,2.526
143.075,3.744
143.086,4.117
143.096,3.457
143.107,2.141
143.118,1.013
143.129,0.168
143.151,0.072
143.162,0.447
143.173,0.729
143.184,1.198
143.195,1.856
143.206,3.076
143.217,4.204
143.228,3.924
143.239,2.987
143.25,1.768
143.261,0.83
143.272,0.455
143.282,1.392
143.293,2.705
143.304,2.986
143.315,2.423
143.326,1.203
143.414,0.351
143.425,0.349
143.622,0.2
143.632,0.856
143.643,1.699
143.654,2.262
143.665,2.356
143.676,2.451
143.687,2.359
143.698,2.079
143.709,1.893
143.72,1.143
143.731,0.299
143.797,0.298
143.808,0.674
143.819,0.956
143.829,0.863
143.84,0.489
143.851,0.022
143.873,0.306
143.884,0.774
143.895,0.958
143.928,0.952
143.939,1.039
143.95,0.844
143.961,0.276
144.059,0.263
144.07,0.826
144.081,1.67
144.092,2.327
144.103,3.172
144.114,3.265
144.125,2.045
144.136,1.107
144.147,0.357
144.256,0.06
144.464,0.066
144.475,0.252
144.486,0.251
144.497,0.157
144.694,0.055
144.705,0.156
144.716,0.442
144.727,0.633
144.738,0.634
144.749,0.541
144.759,0.448
144.77,0.168
144.869,0.103
144.88,0.019
144.989,0.236
145.0,0.986
145.011,1.265
145.022,1.262
145.033,1.165
145.044,1.163
145.055,0.879
145.066,0.409
145.175,0.139
145.186,0.708
145.197,0.992
145.208,1.086
145.219,0.897
145.23,0.521
145.241,0.049
145.449,0.124
145.46,0.035
145.503,0.313
145.514,0.875
145.525,1.155
145.536,1.247
145.547,0.496
145.624,0.034
145.821,0.093
145.832,0.001
145.886,0.119
145.897,0.408
145.908,0.131
146.226,0.045
146.236,0.142
146.247,0.05
146.652,0.168
146.663,0.54
146.674,1.099
146.685,1.753
146.696,2.411
146.707,3.258
146.718,3.918
146.729,3.735
146.74,3.175
146.751,2.428
146.762,1.395
146.773,0.551
146.98,0.498
146.991,1.061
147.002,1.811
147.013,2.468
147.024,2.375
147.035,2.0
147.046,0.782
147.221,0.27
147.232,0.272
147.243,0.273
147.254,0.182
147.265,0.185
147.276,0.0
147.363,0.185
147.374,0.843
147.385,1.5
147.396,1.782
147.407,1.971
147.418,1.972
147.429,1.504
147.44,0.943
147.451,0.475
147.648,0.182
147.659,0.18
147.79,0.153
147.801,0.436
147.812,0.437
147.823,0.25
147.834,0.063
148.053,0.176
148.064,0.645
148.075,1.301
148.086,1.582
148.096,1.77
148.107,2.334
148.118,3.367
148.129,2.243
148.14,1.494
148.151,0.744
148.403,0.036
148.479,0.035
148.49,0.033
148.501,0.5
148.512,1.623
148.523,2.276
148.534,2.461
148.545,1.801
148.556,0.673
148.676,0.477
148.687,1.221
148.698,1.775
148.709,2.046
148.72,2.13
148.731,2.03
148.742,2.025
148.753,2.21
148.764,2.396
148.775,2.113
148.786,1.738
148.797,2.3
148.808,3.145
148.819,3.052
148.829,1.457
148.895,0.042
148.906,0.789
148.917,1.441
148.928,1.812
148.939,1.713
148.95,1.145
148.961,0.39
149.125,0.01
149.136,0.005
149.158,0.082
149.169,0.165
149.18,0.248
149.191,0.241
149.366,0.127
149.377,0.689
149.387,0.877
149.398,0.876
149.409,1.064
149.42,1.158
149.431,1.347
149.442,1.724
149.453,1.633
149.464,1.262
149.475,0.048
149.814,0.402
149.825,0.59
149.836,0.965
149.847,1.622
149.858,2.276
149.869,2.649
149.88,2.458
149.891,2.078
149.902,1.418
149.913,0.665
149.924,0.196
150.088,0.124
150.099,0.407
150.11,0.501
150.121,0.219
150.296,0.13
150.307,0.41
150.317,0.596
150.328,0.5
150.339,0.401
150.35,0.396
150.361,0.483
150.372,0.664
150.383,0.75
150.394,0.65
150.405,0.74
150.416,0.83
150.427,0.923
150.438,1.017
150.449,0.83
150.46,0.456
150.471,0.08
150.493,0.174
150.503,0.642
150.514,1.204
150.525,1.577
150.536,1.574
150.547,1.384
150.558,1.007
150.569,0.63
150.58,0.442
150.591,0.536
150.602,0.631
150.613,0.725
150.624,0.538
150.777,0.076
150.788,0.263
150.799,0.168
151.05,0.079
151.061,0.36
151.072,1.861
151.083,3.081
151.094,3.363
151.105,3.551
151.116,3.551
151.127,3.27
151.138,2.801
151.149,2.332
151.16,1.77
151.171,1.396
151.182,0.74
151.291,0.363
151.302,0.459
151.313,0.65
151.324,0.655
151.335,0.473
151.346,0.288
151.357,0.009
151.422,0.011
151.433,0.574
151.444,1.512
151.455,2.451
151.466,3.484
151.477,4.518
151.488,4.801
151.499,4.145
151.51,2.641
151.521,1.415
151.532,0.842
151.543,0.175
151.652,0.088
151.663,0.651
151.674,0.839
151.685,0.84
151.696,0.936
151.707,1.034
151.718,1.319
151.729,1.51
151.74,1.324
151.751,1.326
151.762,1.137
151.773,0.666
151.904,0.27
151.915,1.21
151.926,2.43
151.937,3.557
151.948,4.307
151.959,3.932
151.97,2.713
151.98,1.681
151.991,1.025
152.002,0.368
152.013,0.087
152.101,0.177
152.112,0.366
152.123,0.368
152.352,0.098
152.363,0.285
152.374,0.472
152.385,0.566
152.396,0.472
152.407,0.191
152.626,0.011
152.637,0.579
152.648,0.961
152.659,0.968
152.67,0.881
152.681,0.512
152.867,0.157
152.878,0.628
152.888,1.005
152.899,1.006
152.91,0.538
152.921,0.07
152.943,0.164
152.954,0.446
152.965,0.352
152.976,0.541
152.987,0.541
152.998,0.167
153.107,0.458
153.118,1.117
153.129,1.775
153.14,2.245
153.151,2.622
153.162,2.624
153.173,2.158
153.184,1.505
153.195,0.852
153.206,0.48
153.304,0.125
153.315,0.319
153.326,0.512
153.337,0.611
153.348,0.428
153.359,0.338
153.37,0.247
153.381,0.156
153.556,0.258
153.567,0.354
153.578,0.544
153.589,0.359
153.643,0.443
153.654,0.721
153.665,0.813
153.676,0.904
153.687,0.619
153.698,0.147
153.775,0.521
153.786,1.084
153.797,1.459
153.808,1.364
153.819,0.8
153.829,0.141
153.994,0.013
154.005,0.201
154.015,0.294
154.026,0.01
154.07,0.474
154.081,0.663
154.092,0.477
154.103,0.01
154.256,0.472
154.267,1.038
154.278,1.886
154.289,3.578
154.3,5.644
154.311,7.146
154.333,7.616
154.344,6.678
154.355,5.177
154.366,2.549
154.377,0.766
154.387,0.203
154.508,0.119
154.519,0.308
154.53,0.123
154.552,0.222
154.562,0.413
154.573,0.697
154.584,0.979
154.595,0.978
154.606,0.601
154.617,0.13
154.727,0.047
154.738,0.147
154.748,0.34
154.759,0.532
154.77,0.346
154.847,0.062
154.858,0.251
154.989,0.347
155.0,0.721
155.011,1.003
155.022,1.284
155.033,1.753
155.044,2.128
155.055,1.845
155.066,1.093
155.077,0.246
155.23,0.057
155.241,0.15
155.252,0.148
155.263,0.05
156.029,0.386
156.039,0.48
156.05,0.292
156.411,0.361
156.422,1.01
156.433,1.285
156.444,1.281
156.455,1.187
156.466,0.812
156.477,1.001
156.488,1.002
156.499,0.721
156.51,0.439
156.619,0.356
156.63,0.922
156.641,1.298
156.652,1.579
156.663,1.39
156.674,1.013
156.685,0.449
156.696,0.074
156.827,0.181
156.838,0.463
156.849,0.651
156.86,0.556
156.871,0.274
156.915,1.023
156.926,0.552
157.002,0.448
157.013,1.103
157.024,1.758
157.035,2.413
157.046,3.443
157.057,3.441
157.068,3.252
157.079,2.971
157.09,2.41
157.101,1.853
157.112,1.115
157.123,0.568
157.134,0.303
157.145,0.036
157.265,0.02
157.276,0.206
157.287,0.394
157.298,0.676
157.309,0.677
157.32,0.584
157.331,0.209
157.517,0.015
157.528,0.674
157.538,1.519
157.549,1.99
157.56,2.273
157.571,2.461
157.582,1.991
157.593,1.145
157.604,0.3
157.823,0.209
157.834,0.396
157.845,0.49
157.856,0.302
157.943,0.415
157.954,0.98
157.965,1.262
157.976,1.168
157.987,0.699
157.998,0.042
158.118,0.485
158.129,1.517
158.14,2.83
158.151,3.673
158.162,3.86
158.173,3.391
158.184,1.891
158.195,0.297
158.206,0.298
158.217,0.111
158.228,0.017
158.446,0.17
158.457,0.546
158.468,0.921
158.479,1.203
158.49,1.39
158.501,1.671
158.512,1.387
158.654,0.793
158.665,1.636
158.676,3.418
158.687,5.293
158.698,5.48
158.709,4.071
158.72,2.474
158.731,1.442
158.742,0.973
158.753,0.504
158.797,0.693
158.972,0.185
158.983,0.276
158.994,0.181
159.169,0.063
159.18,0.718
159.191,1.561
159.201,2.498
159.212,3.248
159.223,3.812
159.234,3.532
159.245,2.785
159.256,1.757
159.267,0.823
159.278,0.451
159.289,0.078
159.3,0.08
159.311,0.362
159.322,0.362
159.333,0.36
159.344,0.169
159.508,0.051
159.519,0.336
159.53,0.433
159.541,0.153
159.727,0.034
159.738,0.224
159.749,0.32
159.759,0.509
159.77,0.603
159.781,0.513
159.792,0.234
159.891,0.049
159.902,0.428
159.913,0.716
159.924,0.91
159.934,0.821
159.945,0.731
159.956,0.452
160.12,0.555
160.131,1.306
160.142,2.15
160.153,2.807
160.164,2.901
160.175,2.244
160.186,1.211
160.197,0.272
160.252,0.003
160.263,0.1
160.274,0.196
160.285,0.291
160.296,0.387
160.306,0.388
160.317,0.482
160.328,0.577
160.339,0.578
160.35,0.485
160.361,0.297
160.372,0.296
160.383,0.107
160.503,0.091
160.514,0.187
160.525,0.189
160.536,0.002
160.711,0.283
160.722,0.938
160.733,0.654
160.875,0.171
160.886,0.641
160.897,1.298
160.908,1.579
160.919,1.204
160.93,1.016
160.941,0.921
160.952,0.64
160.963,0.359
160.974,0.268
160.985,0.085
160.996,0.092
161.127,0.038
161.138,0.504
161.149,1.064
161.16,1.529
161.171,1.524
161.182,1.237
161.193,0.95
161.204,0.568
161.215,0.092
161.357,0.002
161.368,0.851
161.379,1.133
161.39,1.039
161.401,0.851
161.412,0.567
161.422,0.095
161.554,0.117
161.565,0.126
161.718,0.41
161.729,0.879
161.74,1.443
161.751,1.819
161.762,2.102
161.773,2.104
161.783,1.731
161.794,1.169
161.805,0.702
161.816,0.329
161.827,0.05
161.948,0.136
161.959,0.698
161.97,1.073
161.98,1.447
161.991,1.446
162.002,1.07
162.013,0.32
162.145,0.095
162.155,0.377
162.166,0.848
162.177,1.412
162.188,1.696
162.199,1.885
162.21,1.793
162.221,1.513
162.232,1.327
162.243,0.953
162.254,0.578
162.265,0.297
162.276,0.204
162.287,0.11
162.298,0.015
162.32,0.016
162.331,0.016
162.341,0.017
162.385,0.299
162.396,1.425
162.407,2.082
162.418,2.739
162.429,2.645
162.44,1.612
162.451,0.956
162.462,0.486
162.473,0.017
162.648,0.123
162.659,0.216
162.67,0.215
162.681,0.308
162.692,0.307
162.703,0.307
162.714,0.308
162.724,0.403
162.735,0.873
162.746,1.062
162.757,1.063
162.768,0.971
162.779,0.783
162.79,0.314
162.921,0.141
162.932,0.421
162.943,0.419
162.954,0.323
163.162,0.06
163.173,0.437
163.184,0.813
163.195,1.283
163.206,1.47
163.217,1.469
163.228,1.468
163.239,1.373
163.25,1.559
163.261,1.651
163.271,1.463
163.282,1.088
163.293,0.714
163.304,0.434
163.315,0.061
163.425,0.053
163.436,0.052
163.446,0.052
163.457,0.051
163.468,0.145
163.479,0.334
163.49,0.71
163.501,0.807
163.512,0.811
163.523,0.533
163.534,0.347
163.545,0.254
163.556,0.255
163.567,0.442
163.578,0.721
163.589,0.906
163.6,1.183
163.611,1.27
163.622,1.259
163.633,0.968
163.643,0.397
163.654,0.017
163.906,0.05
163.917,0.239
163.928,0.43
163.939,0.809
163.95,1.002
163.961,1.382
163.972,1.668
163.983,1.953
163.994,2.237
164.005,2.519
164.016,2.237
164.026,1.016
164.18,0.055
164.191,0.621
164.201,1.091
164.212,1.186
164.223,1.092
164.234,0.716
164.245,0.339
164.256,0.056
164.278,0.147
164.289,0.147
164.3,0.053
164.409,0.331
164.42,0.611
164.431,0.704
164.442,0.703
164.453,0.702
164.464,0.514
164.475,0.327
164.486,0.14
164.661,0.073
164.672,0.446
164.683,0.63
164.694,0.628
164.705,0.25
165.11,0.043
165.121,0.139
165.131,0.141
165.307,0.083
165.317,0.365
165.328,0.459
165.339,0.459
165.35,0.083
165.46,0.063
165.471,0.157
165.482,0.158
165.493,0.252
165.503,0.441
165.514,0.442
165.525,0.351
165.536,0.261
165.657,0.557
165.668,1.026
165.679,1.212
165.689,1.68
165.7,1.959
165.711,1.863
165.722,1.483
165.733,1.008
165.744,0.625
165.755,0.143
165.985,0.081
165.996,0.179
166.007,0.09
166.127,0.174
166.138,0.265
166.149,0.169
166.313,0.154
166.324,0.905
166.335,1.563
166.346,2.785
166.357,4.384
166.368,4.294
166.379,3.454
166.39,2.424
166.401,1.3
166.412,0.269
166.499,0.341
166.51,1.083
166.521,2.388
166.532,3.787
166.543,5.187
166.554,6.026
166.565,5.647
166.576,4.331
166.587,2.641
166.598,1.233
166.609,0.389
166.619,0.013
166.794,0.124
166.805,0.598
166.816,1.069
166.827,1.631
166.838,1.911
166.849,1.816
166.86,1.533
166.871,1.156
166.882,0.779
166.893,0.496
166.904,0.214
167.155,0.239
167.166,0.426
167.177,0.425
167.188,0.331
167.199,0.144
167.385,0.12
167.396,0.492
167.407,0.769
167.418,0.766
167.429,0.576
167.44,0.48
167.451,0.477
167.462,0.569
167.473,0.285
167.484,0.001
167.768,0.167
167.779,0.355
167.79,0.356
167.801,0.356
167.812,0.168
168.151,0.07
168.162,0.632
168.173,1.287
168.184,1.567
168.195,1.378
168.206,0.908
168.217,0.439
168.228,0.064
168.468,0.052
168.479,0.712
168.49,1.466
168.501,2.312
168.512,3.155
168.523,4.089
168.534,4.833
168.545,5.201
168.556,5.099
168.567,4.251
168.578,2.937
168.589,1.715
168.6,0.868
168.611,1.146
168.622,1.423
168.633,1.136
168.643,0.474
168.709,0.358
168.72,0.727
168.731,0.813
168.742,0.617
168.753,0.045
168.851,0.026
168.862,0.494
168.873,1.056
168.884,1.618
168.895,1.618
168.906,0.869
168.917,0.589
168.928,0.404
168.939,0.218
169.026,0.03
169.037,0.686
169.048,1.248
169.059,1.622
169.07,1.714
169.081,1.431
169.092,0.866
169.103,0.488
169.114,0.298
169.125,0.109
169.136,0.109
169.147,0.111
169.267,0.153
169.278,0.62
169.289,1.276
169.3,2.027
169.311,2.778
169.322,3.248
169.333,3.346
169.344,2.977
169.355,2.236
169.366,1.404
169.377,0.668
169.387,0.025
169.475,0.426
169.486,0.8
169.497,0.986
169.508,0.891
169.519,0.608
169.53,0.325
169.595,0.054
169.606,0.153
169.617,0.064
169.978,0.066
169.989,0.345
170.0,0.625
170.011,0.998
170.022,0.903
170.077,0.432
170.142,0.045
170.153,0.416
170.164,0.88
170.175,1.063
170.186,1.059
170.197,0.962
170.208,0.866
170.219,0.677
170.23,0.584
170.241,0.586
170.252,0.775
170.263,1.153
170.274,1.531
170.285,1.815
170.296,1.91
170.307,1.911
170.317,1.91
170.328,1.815
170.339,1.437
170.35,0.964
170.361,0.209
171.094,0.591
171.105,1.151
171.116,1.431
171.127,1.523
171.138,1.146
171.149,0.582
171.16,0.112
171.313,0.673
171.324,1.709
171.335,2.654
171.346,3.413
171.357,3.517
171.368,3.153
171.379,1.099
171.401,0.364
171.412,0.742
171.422,1.024
171.433,1.399
171.444,1.867
171.455,2.054
171.466,1.863
171.477,1.39
171.488,0.916
171.499,0.538
171.51,0.536
171.521,1.098
171.532,2.037
171.543,3.165
171.554,3.919
171.565,4.11
171.576,3.55
171.587,2.425
171.597,1.112
171.608,0.08
171.882,0.223
171.893,0.409
171.904,0.219
172.013,0.582
172.024,0.77
172.035,0.864
172.046,0.678
172.057,0.399
172.068,0.027
172.44,0.105
172.451,0.293
172.462,0.856
172.473,0.856
172.484,0.668
172.495,0.292
172.506,0.197
172.517,0.197
172.528,0.196
172.538,0.197
172.549,0.009
172.703,0.175
172.714,0.269
172.724,0.363
172.735,0.457
172.746,0.457
172.757,0.55
172.768,0.55
172.779,0.456
172.79,0.268
172.856,0.241
172.867,0.607
172.878,0.973
172.889,1.153
172.9,1.524
172.91,1.523
172.921,1.337
172.932,1.246
172.943,1.156
172.954,0.784
172.965,0.319
173.075,0.33
173.085,0.8
173.096,1.177
173.107,1.74
173.118,2.209
173.129,2.303
173.14,2.303
173.151,2.021
173.162,1.551
173.173,1.175
173.184,1.177
173.195,1.179
173.206,0.9
173.217,0.339
173.304,0.252
173.315,1.001
173.326,1.845
173.337,3.72
173.348,5.876
173.359,6.625
173.37,5.404
173.381,3.152
173.392,0.9
173.545,0.04
173.556,0.599
173.567,1.065
173.578,1.626
173.589,1.999
173.6,2.185
173.611,1.713
173.622,1.147
173.632,0.956
173.643,0.765
173.654,0.668
173.665,0.477
173.676,0.38
173.687,0.095
173.775,0.281
173.786,0.751
173.797,1.127
173.808,1.41
173.819,1.318
173.829,1.132
173.84,0.666
173.851,0.202
174.147,0.18
174.158,0.652
174.169,1.312
174.18,1.691
174.191,1.884
174.201,1.796
174.212,1.614
174.223,1.15
174.234,0.873
174.245,0.783
174.256,0.506
174.267,0.042
174.573,0.292
174.584,0.761
174.595,1.137
174.606,1.512
174.617,1.606
174.628,1.606
174.639,1.607
174.65,1.325
174.661,1.044
174.672,0.574
174.683,0.291
174.694,0.102
174.902,0.118
174.913,0.116
174.924,0.112
174.934,0.017
175.35,0.155
175.361,0.343
175.372,0.437
175.383,0.53
175.394,0.53
175.405,0.529
175.416,0.341
175.427,0.059
175.547,0.251
175.558,0.535
175.569,0.82
175.58,1.104
175.591,1.294
175.602,1.764
175.613,2.421
175.624,3.36
175.635,4.111
175.646,4.394
175.657,4.302
175.668,3.648
175.679,2.714
175.689,1.5
175.7,0.285
175.777,0.027
175.788,0.214
175.799,0.775
175.81,1.242
175.821,1.708
175.832,1.988
175.843,1.987
175.854,1.612
175.864,1.05
175.875,0.488
175.886,0.022
176.313,0.734
176.324,1.578
176.335,1.765
176.346,1.67
176.357,1.48
176.368,1.292
176.379,1.011
176.39,0.543
176.401,0.264
176.412,0.361
176.423,0.552
176.433,1.025
176.444,1.403
176.455,1.684
176.466,1.87
176.477,1.96
176.488,1.861
176.499,1.67
176.51,1.575
176.521,1.107
176.532,0.639
176.543,0.171
176.915,0.053
177.21,0.161
177.221,0.346
177.232,0.438
177.243,0.438
177.254,0.25
177.265,0.062
177.44,0.147
177.451,0.339
177.462,0.438
177.473,0.443
177.484,0.26
177.495,0.169
177.506,0.171
177.517,0.078
177.692,0.456
177.703,0.646
177.867,0.075
177.878,0.357
177.889,0.732
177.899,0.918
177.91,1.104
177.921,1.385
177.932,1.666
177.943,2.04
177.954,2.696
177.965,3.163
177.976,3.442
177.987,4.941
177.998,4.75
178.009,0.339
178.293,0.119
178.304,0.115
178.315,0.11
178.326,0.107
178.337,0.012
178.348,0.012
178.622,0.56
178.633,0.843
178.643,0.752
178.654,0.38
178.665,0.291
178.676,0.203
178.687,0.207
178.698,0.209
178.709,0.117
178.72,0.024
178.829,0.006
178.84,0.38
178.851,0.849
178.862,1.693
178.873,2.443
178.884,3.099
178.895,3.475
178.906,3.287
178.917,2.725
178.928,2.068
178.939,1.505
178.95,1.036
178.961,0.848
178.972,0.658
178.983,0.374
178.994,0.09
179.114,0.178
179.125,0.558
179.136,0.468
179.147,0.191
179.158,0.007
179.169,0.103
179.18,0.293
179.191,0.577
179.202,0.674
179.212,0.771
179.223,1.338
179.234,2.187
179.245,3.035
179.256,3.507
179.267,2.573
179.278,1.17
179.387,0.245
179.398,0.995
179.409,0.901
179.42,0.619
179.431,0.243
179.606,0.133
179.617,0.697
179.628,1.541
179.639,2.573
179.65,4.356
179.661,5.95
179.672,6.417
179.683,5.196
179.694,3.129
179.705,1.063
179.858,0.397
179.869,0.956
179.88,1.232
179.891,1.225
179.902,0.843
179.913,0.46
179.924,0.267
179.935,0.263
179.945,0.167
179.989,0.169
180.0,0.264
180.142,0.267
180.153,0.548
180.164,0.64
180.175,0.639
180.186,0.45
180.197,0.169
180.558,0.116
180.569,0.397
180.58,0.583
180.591,0.582
180.602,0.393
180.613,0.017
180.755,0.016
180.766,0.298
180.777,0.207
180.788,0.022
180.821,0.036
180.832,0.231
180.843,0.333
180.854,0.341
180.864,0.258
180.875,0.174
180.93,0.16
180.941,0.345
180.952,0.531
180.963,0.624
180.974,0.529
180.985,0.434
180.996,0.247
181.007,0.434
181.018,0.621
181.029,0.62
181.04,0.431
181.05,0.242
181.061,0.148
181.072,0.335
181.083,0.71
181.094,1.179
181.105,1.648
181.116,2.119
181.127,2.214
181.138,2.027
181.149,1.653
181.16,0.997
181.171,0.434
181.269,0.033
181.412,0.096
181.423,0.279
181.433,0.368
181.444,0.366
181.455,0.46
181.466,0.46
181.477,0.368
181.598,0.26
181.609,0.257
181.619,0.255
181.63,0.254
181.641,0.253
181.652,0.066
181.805,0.112
181.816,0.3
181.827,0.395
181.838,0.582
181.849,0.488
181.86,0.487
181.871,0.485
181.882,0.482
181.893,0.384
181.904,0.004
182.09,0.119
182.287,0.036
182.506,0.42
182.517,0.807
182.527,1.191
182.538,1.29
182.549,1.197
182.56,0.82
182.571,0.537
182.582,0.253
182.703,0.523
182.713,1.745
182.724,2.123
182.735,2.312
182.746,2.312
182.757,1.748
182.768,0.993
182.779,0.144
182.954,0.127
182.965,0.408
183.162,0.141
183.173,1.454
183.184,3.237
183.195,2.957
183.206,3.052
183.217,3.617
183.228,3.9
183.239,3.995
183.25,3.622
183.261,2.778
183.272,1.465
183.282,0.526
183.468,0.198
183.479,0.29
183.49,0.197
183.556,0.104
183.567,0.104
183.578,0.01
183.698,0.289
183.709,0.475
183.72,0.661
183.731,0.564
183.742,0.278
184.005,0.304
184.016,0.584
184.026,0.77
184.037,0.768
184.048,0.861
184.059,1.048
184.07,1.331
184.081,1.519
184.092,1.521
184.103,1.146
184.114,0.49
184.158,0.012
184.169,0.101
184.18,0.095
184.191,0.183
184.201,0.551
184.212,0.921
184.223,1.386
184.234,1.477
184.245,1.194
184.256,0.536
184.267,0.16
184.3,0.07
184.333,0.167
184.344,0.731
184.355,1.201
184.366,1.295
184.377,0.921
184.387,0.547
184.398,0.454
184.409,0.454
184.42,0.455
184.431,0.08
184.552,0.081
184.563,0.079
184.573,0.263
184.584,0.445
184.595,0.72
184.606,0.619
184.617,0.33
184.65,0.035
184.683,0.224
184.694,0.695
184.705,0.979
184.716,1.075
184.727,1.076
184.738,0.796
184.748,0.234
185.142,0.057
185.153,0.057
185.252,0.154
185.263,0.434
185.317,0.144
185.328,0.332
185.339,0.428
185.35,0.524
185.361,0.433
185.372,0.155
185.547,0.14
185.558,0.52
185.569,0.994
185.58,2.03
185.591,2.596
185.602,2.691
185.613,2.785
185.624,3.255
185.635,4.381
185.646,5.789
185.657,6.539
185.668,6.539
185.679,5.975
185.689,4.942
185.7,3.907
185.711,2.681
185.722,1.172
186.04,0.06
186.05,0.06
186.138,0.24
186.149,0.802
186.16,1.553
186.215,2.115
186.226,2.584
186.236,2.772
186.247,2.773
186.258,1.273
186.379,0.061
186.39,0.341
186.401,0.336
186.412,0.235
186.422,0.135
186.455,0.125
186.466,0.311
186.477,0.217
186.488,0.312
186.499,0.689
186.51,1.255
186.521,1.634
186.532,1.825
186.543,1.64
186.554,1.361
186.565,1.175
186.576,1.271
186.587,1.46
186.598,1.461
186.608,1.181
186.619,0.901
186.63,0.246
186.926,0.258
186.937,0.811
186.948,1.366
186.959,1.923
186.97,2.295
186.98,2.48
186.991,2.386
187.002,1.825
187.013,1.17
187.024,0.986
187.035,0.802
187.046,0.71
187.057,0.243
187.341,0.163
187.352,0.82
187.363,1.759
187.374,2.605
187.385,3.264
187.396,3.548
187.407,3.175
187.418,2.426
187.429,1.489
187.44,0.647
187.451,0.086
188.053,0.081
188.064,0.364
188.075,0.366
188.085,0.181
188.195,0.205
188.206,0.768
188.217,1.236
188.228,1.515
188.239,1.418
188.25,1.038
