Depth_m,Sr
20.811,0.612
20.827,0.518
20.843,0.331
20.859,0.143
20.956,0.042
20.972,0.699
20.988,1.359
21.004,1.928
21.02,2.309
21.036,2.595
21.053,2.598
21.069,2.412
21.085,2.226
21.101,2.04
21.117,1.666
21.133,1.104
21.149,0.447
21.39,0.111
21.406,0.398
21.422,0.59
21.438,0.689
21.454,0.695
21.47,0.605
21.486,0.512
21.502,0.137
21.935,0.099
21.951,0.673
21.967,1.057
21.982,1.065
21.998,0.977
22.014,0.796
22.03,0.707
22.046,0.616
22.062,0.522
22.078,0.333
22.094,0.048
22.286,0.502
22.302,1.065
22.365,0.971
22.381,0.407
22.556,0.329
22.572,0.712
22.588,1.281
22.604,1.849
22.62,2.322
22.636,2.512
22.652,2.325
22.668,1.668
22.684,0.729
22.699,0.069
23.286,0.151
23.302,0.157
23.523,0.131
23.539,0.606
23.555,0.796
23.571,0.89
23.586,0.609
23.602,0.139
24.248,0.515
24.264,1.359
24.279,2.11
24.295,2.393
24.311,2.113
24.327,1.176
24.342,0.237
24.531,0.234
24.546,0.799
24.562,1.269
24.578,1.457
24.593,1.27
24.609,0.896
24.625,0.429
24.938,0.287
24.954,0.565
24.969,0.938
24.985,1.218
25.0,1.219
25.016,0.941
25.032,0.478
25.172,0.352
25.188,0.729
25.204,1.011
25.219,1.386
25.235,1.479
25.25,1.286
25.266,0.908
25.547,0.163
25.562,0.444
25.578,0.723
25.593,0.72
25.609,0.622
25.624,0.524
25.64,0.335
25.656,0.146
25.796,0.064
25.811,0.159
25.827,0.348
25.842,0.629
25.858,1.005
25.873,1.473
25.889,1.846
25.904,2.031
25.92,1.839
25.936,1.461
25.951,0.99
25.967,0.52
25.982,0.146
26.091,0.355
26.106,0.825
26.122,1.478
26.137,2.222
26.153,2.778
26.168,2.679
26.246,2.298
26.261,1.638
26.277,0.979
26.292,0.601
26.308,0.318
26.494,0.135
26.509,0.132
26.726,0.062
26.741,0.343
26.757,0.53
26.772,0.717
26.788,0.623
26.803,0.624
26.818,0.625
26.834,0.624
26.849,0.529
26.865,0.34
26.88,0.337
26.896,0.242
26.911,0.241
26.927,0.146
26.942,0.048
26.957,0.045
26.973,0.041
27.158,0.045
27.173,0.232
27.189,0.324
27.204,0.322
27.22,0.414
27.235,0.411
27.25,0.222
27.466,0.131
27.481,0.412
27.497,0.599
27.512,0.878
27.527,0.688
27.543,0.592
27.558,0.309
27.573,0.028
27.727,0.136
27.742,0.231
27.758,0.325
27.773,0.512
27.789,0.604
27.804,0.695
27.819,0.784
27.835,0.872
27.85,0.772
27.865,0.672
27.881,0.574
27.896,0.478
27.911,0.383
27.927,0.195
28.065,0.282
28.08,0.934
28.095,1.68
28.111,1.863
28.126,1.671
28.141,1.107
28.157,0.543
28.172,0.167
28.248,0.079
28.264,0.083
28.294,0.002
28.31,0.383
28.325,0.854
28.34,1.135
28.355,1.508
28.371,1.504
28.386,1.498
28.401,1.209
28.417,0.827
28.432,0.444
28.447,0.156
28.661,0.512
28.676,0.602
28.692,0.411
28.707,0.221
28.859,0.014
28.875,0.014
28.89,0.296
28.905,0.765
28.92,1.142
28.936,1.332
28.951,1.24
28.966,0.68
29.21,1.486
29.225,0.739
29.24,0.178
29.392,0.14
29.407,0.515
29.422,0.984
29.438,1.734
29.453,0.421
29.468,0.42
29.483,1.076
29.498,1.356
29.514,1.636
29.529,1.258
29.544,0.507
29.559,0.131
29.802,0.313
29.817,0.689
29.832,0.689
29.847,0.22
29.862,0.031
29.999,0.218
30.014,2.185
30.029,3.684
30.044,2.934
30.059,2.0
30.074,1.442
30.089,0.697
30.105,0.138
30.12,0.141
30.316,0.138
30.331,0.419
30.346,0.325
30.543,0.136
30.558,0.137
30.573,0.137
30.588,0.229
30.603,0.133
30.724,0.463
30.739,0.462
30.754,0.181
30.784,1.499
30.799,1.22
30.814,1.129
30.829,0.849
30.844,0.101
31.055,0.175
31.07,0.269
31.34,0.358
31.355,1.014
31.37,1.483
31.385,1.201
31.445,0.543
31.655,0.419
31.67,0.98
31.685,1.26
31.7,1.447
31.715,1.915
31.73,1.916
31.745,0.885
31.76,0.043
31.924,0.136
31.939,0.794
31.954,1.359
31.969,1.268
31.984,0.71
32.193,0.169
32.208,0.924
32.223,1.585
32.238,2.06
32.253,2.534
32.268,2.726
32.283,2.636
32.298,2.357
32.313,2.264
32.328,1.701
32.343,0.668
32.358,0.102
32.372,0.194
32.387,0.661
32.402,0.753
32.417,0.188
32.462,0.745
32.477,0.838
32.492,1.776
32.507,1.496
32.522,1.123
32.536,0.844
32.551,0.563
32.566,0.0
32.626,0.249
32.641,0.612
32.656,0.416
32.834,0.049
32.849,0.33
32.864,0.798
32.879,1.452
32.894,1.917
32.908,1.818
32.923,1.811
32.938,2.646
32.953,3.294
32.968,3.003
32.983,2.337
32.998,0.451
33.102,0.242
33.116,0.899
33.131,1.65
33.146,2.401
33.161,2.213
33.176,1.181
33.191,0.712
33.339,0.047
33.354,0.418
33.369,0.979
33.383,1.449
33.398,1.265
33.413,0.706
33.428,0.147
33.591,0.214
33.606,2.835
33.62,2.454
33.635,1.698
33.65,1.412
33.665,1.315
33.68,1.314
33.694,1.314
33.709,1.222
33.724,0.942
33.739,0.476
33.857,0.852
33.872,1.79
33.886,1.982
33.901,1.333
33.916,0.589
34.167,0.004
34.182,0.093
34.535,0.185
34.55,1.214
34.565,2.337
34.579,3.179
34.594,3.553
34.609,3.74
34.623,3.645
34.638,3.271
34.653,2.615
34.668,1.585
34.682,0.275
34.888,0.575
34.903,1.128
34.917,1.589
34.932,1.582
34.947,1.295
34.961,1.011
34.976,0.541
34.991,0.166
35.269,0.236
35.284,0.424
35.299,0.333
35.313,0.243
35.328,0.434
35.342,0.809
35.357,1.276
35.372,1.647
35.386,1.829
35.401,1.729
35.416,1.16
35.43,0.216
35.533,0.291
35.547,0.669
35.562,0.86
35.577,0.864
35.591,0.586
36.48,0.064
36.495,1.284
36.51,2.785
36.524,4.005
36.539,5.319
36.553,5.133
36.568,3.165
36.582,1.478
36.597,0.541
36.8,0.413
36.814,1.074
36.829,1.829
36.843,2.491
36.858,2.873
36.872,3.161
36.887,3.449
36.901,3.357
36.916,3.074
36.93,2.603
36.945,2.036
36.959,1.282
36.974,0.434
37.148,0.553
37.162,1.208
37.177,1.77
37.191,2.331
37.206,2.328
37.22,1.664
37.235,0.531
37.35,0.064
37.365,0.154
37.379,0.524
37.394,0.894
37.451,0.891
37.466,0.701
37.48,0.7
37.495,0.983
37.509,1.271
37.524,1.371
37.538,1.283
37.552,0.912
37.567,0.448
37.581,0.077
37.755,0.085
37.956,0.398
37.971,1.428
37.985,2.553
38.0,3.303
38.014,3.208
38.028,2.549
38.043,2.641
38.057,1.982
38.072,0.855
38.215,0.093
38.23,0.562
38.244,1.123
38.259,1.498
38.273,1.591
38.287,1.405
38.302,1.032
38.316,0.568
38.488,0.349
38.503,1.1
38.517,2.225
38.531,3.539
38.546,4.758
38.56,5.79
38.574,5.697
38.589,5.04
38.603,4.385
38.618,3.73
38.632,3.264
38.646,2.705
38.661,2.147
38.675,1.4
38.689,0.559
38.933,0.106
38.947,0.199
38.961,0.198
38.976,0.197
38.99,0.008
39.062,0.291
39.076,0.951
39.09,1.612
39.104,2.086
39.119,2.278
39.133,2.189
39.147,1.911
39.162,1.256
39.176,0.601
39.19,0.227
39.205,0.134
39.347,0.331
39.362,0.516
39.376,0.701
39.39,0.231
39.732,0.308
39.747,0.872
39.761,1.718
39.775,2.47
39.789,3.034
39.804,3.41
39.818,3.411
39.832,2.849
39.846,1.818
39.861,0.975
39.875,0.226
40.301,0.119
40.316,0.299
40.33,0.386
40.344,0.664
40.358,1.414
40.372,2.727
40.429,3.289
40.443,3.288
40.457,2.067
40.472,0.753
40.557,0.219
40.571,1.258
40.585,1.171
40.599,1.082
40.613,1.274
40.627,1.279
40.642,1.002
40.656,0.348
40.769,0.071
40.783,0.259
40.797,0.071
40.84,0.26
40.854,0.639
40.868,1.394
40.882,4.402
40.925,4.407
40.939,1.408
41.009,0.091
41.024,0.089
41.038,0.37
41.052,0.934
41.066,1.498
41.08,1.594
41.094,1.129
41.108,0.477
41.264,0.023
41.278,0.208
41.292,0.206
41.306,0.018
41.644,0.391
41.658,0.868
41.672,1.156
41.686,1.256
41.7,1.072
41.714,0.79
41.728,0.599
41.742,0.592
41.757,0.491
41.771,0.11
41.925,0.035
41.953,0.04
42.304,0.032
42.318,0.033
42.57,0.252
42.584,0.536
42.598,0.819
42.612,1.383
42.626,1.571
42.64,0.914
42.654,0.163
42.738,0.068
42.892,0.436
42.906,0.906
42.92,1.188
42.934,0.908
42.948,0.817
42.962,0.914
42.975,0.542
42.989,0.077
43.171,0.365
43.185,1.021
43.199,1.584
43.213,1.865
43.226,2.052
43.24,2.145
43.254,1.863
43.268,1.205
43.282,0.266
43.852,0.296
43.866,0.666
43.88,1.505
43.894,1.969
43.908,3.091
43.922,3.558
43.936,3.464
43.95,2.621
43.963,0.841
44.033,0.407
44.047,0.695
44.061,0.698
44.074,0.324
44.13,0.038
44.144,0.505
44.158,0.788
44.171,1.164
44.185,0.884
44.199,0.136
44.365,0.612
44.379,0.895
44.393,0.895
44.407,0.803
44.421,0.523
44.434,0.244
44.545,0.086
44.559,0.367
44.573,0.365
44.587,0.269
44.6,0.078
44.711,0.039
44.725,0.319
44.738,0.882
44.752,1.444
44.766,1.63
44.78,1.629
44.794,0.973
44.807,0.318
44.932,0.126
44.945,0.499
44.959,0.872
44.973,1.152
44.987,1.619
45.001,2.273
45.014,1.988
45.028,1.235
45.042,0.389
45.207,0.099
45.221,0.571
45.235,1.326
45.248,2.08
45.262,2.552
45.276,2.556
45.29,2.183
45.303,1.34
45.317,0.496
45.331,0.12
45.468,0.298
45.482,0.956
45.496,1.612
45.51,1.987
45.523,1.892
45.537,1.141
45.551,0.295
45.606,0.089
45.619,0.363
45.633,0.542
45.647,0.442
45.661,0.155
45.798,0.055
45.812,0.34
45.825,0.343
45.839,0.159
46.14,0.013
46.154,0.201
46.168,0.482
46.182,0.949
46.195,1.509
46.209,1.977
46.223,2.07
46.236,1.976
46.25,1.602
46.264,1.228
46.277,1.135
46.291,1.323
46.305,1.51
46.318,1.511
46.332,1.323
46.346,0.759
46.359,0.195
47.055,0.485
47.068,1.126
47.082,1.488
47.096,1.666
47.109,1.565
47.123,1.09
47.137,0.898
47.15,0.895
47.164,0.329
47.313,0.604
47.327,1.261
47.34,1.73
47.354,2.107
47.368,2.109
47.381,1.738
47.395,1.367
47.408,0.811
47.422,0.255
47.598,0.441
47.612,1.002
47.626,0.907
47.639,0.908
47.653,0.722
47.666,0.256
47.788,0.07
47.802,0.069
48.032,0.281
48.045,0.94
48.059,1.693
48.073,2.445
48.086,3.29
48.1,3.852
48.113,4.132
48.127,3.754
48.14,3.094
48.154,2.434
48.167,1.681
48.181,0.741
48.343,0.199
48.356,0.477
48.37,0.567
48.383,0.565
48.397,0.751
48.41,0.47
48.424,0.19
48.437,0.005
48.451,0.009
48.478,0.581
48.491,0.21
48.518,0.59
48.532,0.497
48.545,0.498
48.559,0.499
48.572,0.406
48.586,0.218
48.801,0.125
48.815,0.313
48.828,0.501
48.842,0.594
48.855,0.405
48.869,0.12
48.949,0.097
49.03,0.394
49.043,1.237
49.057,2.08
49.07,2.643
49.084,2.737
49.097,2.081
49.111,1.145
49.124,0.488
49.138,0.768
49.151,0.671
49.164,0.104
49.339,1.306
49.352,2.336
49.366,3.179
49.379,3.74
49.393,4.02
49.406,3.456
49.419,2.704
49.433,1.858
49.446,0.919
49.46,0.451
49.473,0.264
49.607,0.086
49.621,0.181
49.634,0.277
49.647,0.468
49.661,0.47
49.674,0.474
49.688,0.29
49.701,0.013
49.862,0.142
49.875,0.423
49.888,0.704
49.902,0.702
49.915,0.607
49.929,0.323
50.142,0.024
50.156,0.116
50.169,0.302
50.183,0.487
50.196,0.577
50.209,0.478
50.223,0.378
50.369,0.025
50.383,0.867
50.396,1.708
50.409,2.737
50.423,3.859
50.436,4.98
50.449,6.384
50.463,6.85
50.476,6.192
50.489,4.693
50.503,2.914
50.516,1.794
50.529,1.048
50.543,0.301
50.889,0.445
50.902,0.633
50.915,0.54
50.929,0.258
50.982,0.349
50.995,0.725
51.009,1.006
51.022,0.911
51.035,0.817
51.048,0.536
51.062,0.257
51.539,0.143
51.553,0.434
51.566,0.725
51.579,0.919
51.592,0.737
51.605,0.176
51.751,0.345
51.764,0.625
51.778,0.907
51.791,0.908
51.804,0.721
51.817,0.346
52.029,0.316
52.042,0.693
52.055,1.071
52.068,1.166
52.082,0.981
52.095,0.795
52.108,0.61
52.121,0.518
52.134,0.519
52.148,0.8
52.161,0.705
52.174,0.421
52.266,0.017
52.28,0.769
52.293,1.427
52.306,1.803
52.319,1.99
52.332,1.989
52.346,1.52
52.359,0.676
52.451,0.023
52.464,0.12
52.477,0.126
52.491,0.04
52.543,0.248
52.557,0.719
52.57,1.191
52.583,1.661
52.596,1.941
52.609,1.846
52.622,1.28
52.636,0.715
52.649,0.244
53.083,0.108
53.096,0.108
53.109,0.013
53.279,0.097
53.293,0.096
53.306,0.001
53.319,0.001
53.515,0.175
53.528,0.643
53.542,1.3
53.555,2.238
53.568,2.99
53.581,3.084
53.594,2.803
53.607,3.084
53.62,3.178
53.633,3.084
53.646,3.178
53.659,3.273
53.672,2.991
53.686,2.335
53.699,1.492
53.712,0.743
53.725,0.37
53.738,0.374
53.751,0.661
53.764,1.044
53.777,1.428
53.79,1.626
53.803,1.546
53.816,1.092
53.829,0.355
54.078,0.16
54.091,0.255
54.104,0.255
54.339,0.253
54.352,0.441
54.365,0.441
54.873,0.038
54.886,0.695
54.899,1.164
54.912,0.882
54.925,0.224
54.951,0.225
54.964,0.413
54.977,0.506
54.989,0.787
55.002,0.881
55.015,0.974
55.028,0.88
55.041,0.504
55.054,0.128
55.067,0.127
55.08,0.22
55.093,0.688
55.106,1.064
55.119,1.253
55.132,1.348
55.145,1.255
55.158,1.255
55.171,1.35
55.184,1.632
55.197,1.821
55.21,2.103
55.223,2.291
55.236,2.289
55.249,1.911
55.262,1.251
55.275,0.686
55.288,0.119
55.431,0.028
55.444,0.595
55.457,1.16
55.47,3.413
55.483,4.82
55.495,3.318
55.508,1.721
55.521,0.688
55.534,0.03
56.026,0.158
56.168,0.243
56.181,0.617
56.194,0.897
56.207,0.803
56.22,0.52
56.232,0.05
56.555,0.058
56.568,0.152
56.581,0.434
56.593,0.623
56.606,0.906
56.619,1.096
56.632,0.816
56.645,0.349
56.722,0.056
56.735,0.801
56.748,0.985
56.761,0.98
56.774,0.883
56.786,0.504
56.799,0.218
56.812,0.214
56.825,0.399
56.838,0.772
56.851,0.959
56.864,0.867
56.876,0.589
56.889,0.406
56.902,0.225
56.915,0.138
57.288,0.983
57.3,1.451
57.313,1.638
57.326,2.48
57.339,3.135
57.352,3.04
57.365,2.383
57.377,1.351
57.39,0.319
57.442,0.133
57.454,0.319
57.467,0.69
57.48,0.968
57.493,1.057
57.506,1.053
57.519,0.769
57.531,0.391
57.544,0.107
57.583,0.29
57.595,0.195
57.608,0.006
57.621,0.192
57.634,0.285
57.647,0.471
57.659,0.654
57.672,0.65
57.685,0.741
57.698,0.458
57.711,0.175
57.877,0.248
57.89,0.714
57.903,1.274
57.915,1.741
57.928,1.832
57.941,1.454
57.954,1.171
57.966,0.794
57.979,0.136
58.145,0.402
58.158,0.777
58.171,1.058
58.184,0.966
58.196,0.593
58.209,0.316
58.337,0.229
58.35,0.7
58.362,1.168
58.375,1.447
58.388,1.446
58.401,0.977
58.413,0.135
58.541,0.177
58.554,0.463
58.566,0.561
58.579,0.658
58.592,1.318
58.605,2.54
58.617,2.822
58.63,2.54
58.643,1.6
58.656,0.66
58.668,0.19
58.681,0.0
58.809,0.215
58.821,0.406
58.834,0.501
58.847,0.502
58.859,0.689
58.872,0.69
58.885,0.221
59.088,0.031
59.101,0.216
59.114,0.026
59.126,0.306
59.139,0.774
59.152,1.336
59.165,1.804
59.177,2.086
59.19,2.086
59.203,1.804
59.215,1.054
59.228,0.304
59.355,0.077
59.368,0.542
59.381,0.821
59.393,0.726
59.406,0.538
59.419,0.069
59.862,0.086
59.875,0.461
59.888,1.117
59.9,1.867
59.913,2.618
59.926,2.714
59.938,1.872
59.951,2.063
59.964,1.597
59.976,1.413
59.989,1.414
60.002,1.415
60.014,1.134
60.027,0.665
60.04,0.103
60.646,0.06
60.659,0.436
60.671,1.0
60.684,1.468
60.696,1.562
60.709,1.374
60.722,1.092
60.734,0.809
60.747,0.432
60.759,0.242
60.772,0.238
60.785,0.048
60.848,0.138
60.86,0.796
60.873,2.111
60.885,2.019
60.898,1.928
60.911,1.274
60.923,0.619
60.936,0.058
61.024,0.053
61.037,0.145
61.049,0.236
61.062,0.328
61.074,0.233
61.087,0.045
61.1,0.327
61.112,0.236
61.125,0.24
61.137,0.433
61.15,0.345
61.188,0.17
61.2,0.548
61.213,0.736
61.225,0.642
61.238,0.265
61.427,0.058
61.439,0.341
61.452,0.623
61.464,0.622
61.477,0.526
61.489,0.335
61.502,0.237
61.514,0.137
61.615,1.412
61.628,1.027
61.64,0.457
61.653,0.077
62.054,0.171
62.066,0.172
62.317,0.057
62.329,0.057
62.342,0.434
62.354,0.623
62.367,0.436
62.379,0.343
62.392,0.156
62.405,0.064
62.505,0.545
62.517,0.638
62.53,1.294
62.542,2.044
62.555,2.701
62.567,3.076
62.58,2.983
62.592,2.139
62.605,1.015
62.617,0.267
62.854,0.057
62.867,0.054
63.017,0.095
63.029,0.095
63.041,0.001
63.054,0.0
63.253,0.126
63.266,0.503
63.278,0.692
63.291,0.41
63.415,0.128
63.428,0.689
63.44,2.094
63.453,2.843
63.465,3.028
63.478,2.838
63.49,2.46
63.502,1.896
63.515,1.238
63.527,0.581
63.54,0.019
63.677,0.224
63.689,1.068
63.702,1.537
63.714,1.912
63.726,2.38
63.739,2.38
63.751,2.192
63.764,1.724
63.776,0.88
63.789,0.129
63.863,0.324
63.876,0.797
63.888,0.895
63.9,1.275
63.913,1.56
63.925,1.563
63.938,1.565
63.95,1.659
63.963,1.284
63.975,0.814
63.987,0.719
64.0,0.248
64.198,0.003
64.211,0.1
64.223,0.291
64.236,0.198
64.248,0.01
64.434,0.08
64.446,0.357
64.459,0.632
64.471,0.813
64.484,0.901
64.496,1.084
64.508,1.081
64.521,0.891
64.533,0.795
64.546,0.7
64.558,0.042
64.657,0.235
64.669,1.081
64.682,2.209
64.694,3.336
64.707,4.461
64.719,5.583
64.731,6.141
64.744,5.761
64.756,4.909
64.768,3.775
64.781,2.546
64.793,1.6
64.806,0.749
65.016,0.066
65.028,0.158
65.041,0.249
65.053,0.341
65.065,0.34
65.078,0.433
65.09,0.62
65.102,0.714
65.115,0.714
65.127,0.621
65.139,0.34
65.226,0.163
65.238,0.726
65.251,1.008
65.263,1.289
65.275,1.382
65.288,1.099
65.3,0.721
65.312,0.249
65.547,0.063
65.559,0.16
65.571,0.163
65.584,0.071
65.621,0.075
65.633,0.169
65.645,0.262
65.658,0.075
65.88,0.198
65.892,0.76
65.904,1.321
65.917,1.789
65.929,1.881
65.941,1.318
66.015,0.571
66.027,1.229
66.04,1.887
66.052,2.638
66.064,3.203
66.077,3.391
66.089,3.204
66.101,2.736
66.114,1.705
66.126,0.485
66.298,0.208
66.31,0.583
66.323,0.863
66.335,0.957
66.347,1.05
66.359,0.675
66.372,0.113
66.384,0.115
66.568,0.205
66.581,0.488
66.593,0.586
66.605,0.686
66.618,0.597
66.63,0.32
67.096,0.118
67.108,0.686
67.12,0.69
67.133,0.6
67.145,0.697
67.157,0.512
67.169,0.138
67.378,0.329
67.39,0.894
67.402,1.646
67.414,2.21
67.427,2.68
67.439,2.304
67.451,1.083
67.463,0.425
67.476,0.236
67.488,0.327
67.5,0.325
67.512,0.324
67.524,0.135
67.537,0.134
67.586,1.166
67.598,1.541
67.61,2.01
67.622,2.479
67.635,2.572
67.647,2.197
67.659,1.635
67.671,1.168
67.683,1.171
67.696,0.799
67.708,0.239
67.867,0.329
67.879,1.371
67.891,2.509
67.903,3.837
67.916,4.789
67.928,5.083
67.94,4.718
67.952,3.881
67.965,2.759
67.977,1.541
67.989,0.603
68.001,0.131
68.099,0.206
68.111,0.395
68.123,0.583
68.135,0.771
68.148,0.771
68.16,0.865
68.172,0.679
68.184,0.492
68.196,0.492
68.209,0.305
68.428,0.126
68.44,0.599
68.453,1.164
68.465,0.884
68.477,0.04
68.526,0.028
68.538,0.399
68.55,0.582
68.562,0.577
68.575,0.384
68.587,0.003
68.782,0.463
68.794,0.836
68.806,1.209
68.818,1.301
68.83,1.299
68.842,1.017
68.855,0.547
68.867,0.171
69.402,0.031
69.414,0.025
69.426,0.021
69.547,0.137
69.669,0.045
69.681,0.139
69.693,0.14
69.705,0.048
69.729,0.148
69.742,0.245
69.754,0.436
69.766,0.815
69.778,0.442
69.79,0.161
69.802,0.16
70.081,0.32
70.093,0.694
70.105,0.598
70.117,0.22
70.129,0.218
70.141,0.403
70.154,0.026
70.372,0.138
70.384,0.514
70.396,0.515
70.408,0.61
70.42,0.705
70.432,0.044
70.601,0.021
70.613,0.117
70.626,0.12
70.698,0.315
70.71,0.785
70.722,0.879
70.734,0.88
70.746,0.693
70.759,0.319
