Depth,S
1305.665,14.353
1305.675,13.069
1305.685,12.899
1305.695,12.522
1305.705,12.12
1305.715,13.65
1305.725,15.76
1305.735,16.449
1305.745,16.11
1305.755,16.182
1305.765,16.458
1305.775,15.237
1305.785,12.254
1305.795,11.446
1305.805,11.328
1305.815,10.87
1305.825,10.723
1305.835,11.254
1305.845,11.601
1305.855,11.216
1305.865,11.552
1305.875,11.563
1305.885,9.495
1305.895,8.895
1305.905,10.622
1305.915,11.81
1305.925,11.807
1305.935,13.795
1305.945,15.595
1305.955,14.184
1305.965,12.533
1305.975,11.238
1305.985,9.381
1305.995,8.403
1306.005,8.143
1306.015,8.639
1306.025,9.227
1306.035,9.624
1306.045,10.946
1306.055,12.059
1306.065,12.071
1306.075,11.803
1306.085,12.297
1306.095,12.084
1306.105,11.606
1306.115,11.848
1306.125,12.127
1306.135,11.606
1306.145,9.16
1306.155,9.16
1306.165,10.822
1306.175,10.869
1306.185,10.638
1306.195,12.033
1306.205,12.387
1306.215,11.989
1306.225,14.509
1306.235,17.774
1306.245,18.419
1306.255,16.937
1306.275,13.817
1306.285,10.944
1306.295,10.527
1306.305,9.678
1306.315,8.428
1306.325,8.763
1306.335,10.047
1306.345,9.942
1306.355,9.518
1306.365,11.02
1306.375,12.109
1306.385,11.877
1306.395,12.856
1306.405,15.213
1306.415,15.812
1306.425,14.047
1306.435,14.322
1306.445,14.663
1306.455,11.797
1306.465,9.463
1306.475,9.389
1306.485,8.8
1306.495,7.044
1306.505,6.843
1306.515,7.42
1306.525,7.378
1306.535,7.024
1306.545,7.419
1306.555,8.661
1306.565,9.208
1306.575,10.101
1306.585,12.748
1306.595,14.743
1306.605,14.929
1306.615,15.036
1306.625,15.047
1306.635,13.75
1306.645,9.614
1306.655,7.839
1306.665,7.796
1306.675,7.655
1306.685,7.622
1306.695,7.811
1306.705,7.629
1306.715,6.959
1306.725,7.476
1306.735,9.64
1306.745,11.505
1306.755,12.522
1306.765,14.607
1306.775,17.258
1306.785,18.004
1306.795,17.414
1306.805,17.494
1306.815,17.642
1306.825,15.947
1306.835,13.097
1306.845,11.831
1306.855,11.945
1306.865,11.494
1306.875,11.6
1306.885,12.558
1306.895,12.591
1306.905,12.522
1306.915,14.525
1306.925,14.866
1306.935,13.819
1306.945,12.96
1306.955,13.938
1306.965,14.547
1306.975,13.537
1306.985,14.292
1306.995,17.06
1307.005,19.763
1307.015,19.453
1307.025,20.225
1307.035,22.313
1307.045,20.341
1307.055,16.643
1307.065,13.854
1307.075,13.299
1307.085,12.677
1307.095,10.403
1307.105,10.114
1307.115,10.52
1307.125,10.746
1307.135,10.246
1307.145,11.167
1307.155,13.762
1307.165,14.878
1307.175,15.802
1307.185,18.848
1307.195,20.313
1307.205,18.27
1307.215,16.237
1307.225,19.175
1307.235,21.569
1307.245,21.179
1307.255,17.213
1307.265,13.448
1307.275,14.703
1307.285,15.603
1307.295,17.79
1307.305,19.82
1307.315,20.487
1307.325,21.202
1307.335,24.993
1307.345,29.573
1307.355,29.875
1307.365,28.32
1307.375,25.997
1307.385,24.57
1307.395,21.977
1307.405,17.042
1307.415,12.897
1307.425,10.588
1307.435,8.608
1307.445,8.028
1307.455,8.886
1307.465,9.685
1307.475,9.391
1307.485,10.023
1307.495,12.046
1307.505,13.836
1307.515,14.364
1307.525,14.738
1307.535,14.171
1307.545,13.299
1307.555,13.728
1307.565,13.016
1307.575,11.073
1307.585,10.634
1307.595,11.304
1307.605,12.472
1307.615,12.602
1307.625,12.786
1307.635,13.944
1307.645,15.118
1307.655,15.023
1307.665,16.583
1307.675,18.458
1307.685,19.111
1307.695,17.859
1307.705,16.529
1307.715,16.988
1307.725,14.509
1307.735,12.228
1307.745,12.739
