Depth_m,nssS_Na_ratio
86.011,-0.88
86.023,-0.905
86.035,-0.881
86.046,-0.826
86.058,-0.76
86.069,-0.761
86.081,-0.767
86.092,-0.706
86.104,-0.658
86.116,-0.582
86.127,-0.548
86.139,-0.451
86.15,-0.311
86.162,-0.127
86.173,0.0
86.185,0.112
86.197,0.179
86.208,0.128
86.22,0.163
86.231,0.085
86.243,0.013
86.254,-0.013
86.266,-0.106
86.278,-0.152
86.289,-0.172
86.301,-0.422
86.324,-0.961
86.335,-0.92
86.347,-0.882
86.359,-0.833
86.37,-0.756
86.382,-0.636
86.393,-0.439
86.405,-0.251
86.416,0.078
86.428,0.696
86.44,1.523
86.451,1.49
86.463,1.627
86.474,1.314
86.486,0.705
86.497,0.216
86.509,-0.212
86.521,-0.404
86.532,-0.391
86.544,-0.594
86.625,-0.665
86.636,-0.693
86.648,-0.655
86.659,-0.587
86.671,-0.402
86.682,-0.105
86.694,0.236
86.706,0.672
86.717,0.797
86.729,0.645
86.74,0.28
86.752,0.062
86.763,-0.111
86.775,-0.334
86.786,-0.616
86.798,-0.767
86.81,-0.756
86.821,-0.735
86.833,-0.635
86.844,-0.446
86.856,-0.321
86.867,-0.166
86.879,0.003
86.89,0.17
86.902,0.284
86.914,0.165
86.925,-0.158
86.937,-0.312
86.948,-0.643
86.96,-0.715
86.971,-0.727
86.983,-0.705
86.994,-0.683
87.006,-0.636
87.018,-0.602
87.029,-0.498
87.041,-0.404
87.052,-0.312
87.064,-0.252
87.075,-0.217
87.087,-0.22
87.098,-0.214
87.11,-0.273
87.122,-0.37
87.133,-0.428
87.145,-0.502
87.156,-0.573
87.168,-0.543
87.179,-0.558
87.191,-0.44
87.202,-0.432
87.214,-0.423
87.225,-0.351
87.237,-0.261
87.249,0.003
87.26,0.026
87.272,0.291
87.283,0.43
87.295,0.609
87.306,0.711
87.318,0.786
87.329,0.391
87.341,-0.168
87.352,-0.358
87.364,-0.534
87.376,-0.6
87.387,-0.542
87.399,-0.539
87.41,-0.601
87.422,-0.624
87.433,-0.575
87.445,-0.533
87.456,-0.435
87.468,-0.349
87.479,-0.237
87.491,-0.14
87.502,-0.017
87.514,0.276
87.526,0.456
87.537,0.694
87.549,0.666
87.56,0.456
87.572,0.096
87.583,-0.264
87.595,-0.442
87.606,-0.652
87.618,-0.81
87.629,-0.776
87.641,-0.774
87.652,-0.718
87.664,-0.773
87.676,-0.585
87.687,-0.39
87.699,-0.085
87.71,0.106
87.722,0.344
87.733,0.853
87.745,1.159
87.756,1.66
87.768,2.132
87.779,2.424
87.791,2.407
87.802,1.507
87.814,0.981
87.826,0.183
87.837,-0.234
87.849,-0.443
87.86,-0.63
87.872,-0.701
87.883,-0.542
87.906,-0.334
87.918,0.191
87.929,0.702
87.941,1.717
87.952,2.589
87.964,3.567
87.975,5.08
87.987,7.214
87.998,8.766
88.01,10.175
88.022,10.422
88.033,9.543
88.045,10.293
88.056,10.095
88.068,7.858
88.079,3.914
88.091,1.912
88.102,0.653
88.114,0.182
88.125,0.045
88.137,-0.053
88.148,-0.236
88.16,-0.191
88.171,-0.234
88.183,-0.381
88.194,-0.254
88.206,-0.221
88.217,-0.148
88.229,-0.138
88.241,-0.174
88.252,-0.141
88.264,0.044
88.275,0.3
88.287,0.616
88.298,0.728
88.31,0.963
88.321,1.075
88.333,1.3
88.344,1.138
88.356,0.866
88.367,0.438
88.379,0.019
88.39,-0.213
88.402,-0.425
88.413,-0.619
88.425,-0.752
88.436,-0.779
88.448,-0.748
88.459,-0.753
88.471,-0.689
88.482,-0.742
88.494,-0.586
88.506,-0.532
88.517,-0.382
88.529,-0.151
88.54,-0.187
88.552,0.0
88.563,0.009
88.575,-0.283
88.586,-0.34
88.598,-0.391
88.609,-0.577
88.621,-0.638
88.632,-0.612
88.644,-0.581
88.655,-0.503
88.667,-0.428
88.678,-0.258
88.69,0.131
88.701,0.442
88.713,0.776
88.724,0.797
88.736,1.215
88.747,1.197
88.759,1.399
88.77,1.058
88.782,0.63
88.793,0.139
88.805,-0.336
88.816,-0.627
88.828,-0.805
88.839,-0.947
88.851,-1.032
88.862,-1.05
88.874,-0.977
88.885,-0.938
88.897,-0.921
88.908,-0.964
88.92,-0.809
88.931,-0.727
88.943,-0.58
88.954,-0.61
88.966,-0.547
88.977,-0.458
88.989,-0.385
89.001,-0.332
89.012,-0.317
89.024,-0.299
89.035,-0.349
89.047,-0.497
89.058,-0.593
89.07,-0.614
89.081,-0.675
89.093,-0.787
89.104,-0.922
89.116,-0.96
89.127,-1.017
89.139,-1.008
89.15,-0.903
89.162,-0.822
89.173,-0.618
89.185,-0.408
89.196,-0.327
89.208,-0.415
89.219,-0.243
89.231,-0.061
89.242,0.067
89.254,0.162
89.265,0.098
89.277,0.056
89.288,-0.287
89.3,-0.53
89.311,-0.692
89.323,-0.788
89.334,-0.855
89.346,-0.894
89.357,-0.903
89.369,-0.884
89.38,-0.847
89.392,-0.679
89.403,-0.294
89.415,-0.083
89.426,-0.089
89.438,-0.133
89.449,-0.181
89.461,-0.211
89.472,-0.313
89.484,-0.302
89.495,-0.182
89.507,-0.233
89.518,-0.108
89.529,-0.161
89.541,-0.392
89.552,-0.324
89.564,-0.317
89.575,-0.176
89.587,0.017
89.598,0.245
89.61,0.431
89.621,0.584
89.633,0.798
89.644,0.925
89.656,0.844
89.667,0.379
89.679,-0.1
89.69,-0.247
89.702,-0.427
89.713,-0.521
89.725,-0.423
89.736,-0.403
89.748,-0.422
89.759,-0.408
89.782,-0.409
89.794,-0.341
89.805,-0.432
89.817,-0.37
89.828,-0.331
89.84,-0.266
89.851,-0.164
89.863,-0.078
89.874,-0.051
89.886,-0.084
89.897,-0.2
89.909,-0.426
89.92,-0.521
89.932,-0.587
89.943,-0.65
89.954,-0.778
89.966,-0.759
89.977,-0.622
89.989,-0.496
90.0,-0.22
90.012,0.141
90.023,0.514
90.035,0.919
90.046,0.985
90.058,0.886
90.069,0.683
90.081,0.432
90.092,0.248
90.104,-0.014
90.115,-0.124
90.127,-0.332
90.138,-0.453
90.15,-0.52
90.161,-0.617
90.173,-0.756
90.184,-0.763
90.196,-0.832
90.207,-0.85
90.219,-0.817
90.23,-0.743
90.241,-0.592
90.253,-0.15
90.264,0.281
90.276,0.639
90.287,1.327
90.299,1.778
90.31,1.636
90.322,1.343
90.333,1.11
90.345,0.827
90.356,0.466
90.368,0.113
90.379,-0.246
90.391,-0.463
90.402,-0.595
90.414,-0.692
90.425,-0.771
90.437,-0.847
90.448,-0.892
90.46,-0.931
90.471,-0.968
90.482,-1.013
90.494,-1.011
90.505,-0.988
90.517,-0.882
90.528,-0.723
90.54,-0.47
90.551,-0.079
90.563,0.171
90.574,0.452
90.586,0.27
90.609,-0.135
90.62,-0.355
90.632,-0.408
90.643,-0.519
90.666,-0.405
90.677,-0.377
90.689,-0.43
90.7,-0.508
90.712,-0.586
90.723,-0.811
90.735,-0.819
90.746,-0.719
90.758,-0.59
90.769,-0.413
90.781,-0.068
90.792,0.284
90.804,0.368
90.815,0.238
90.827,-0.06
90.838,-0.222
90.85,-0.243
90.861,-0.387
90.872,-0.569
90.884,-0.616
90.895,-0.751
90.907,-0.727
90.918,-0.662
90.93,-0.601
90.941,-0.541
90.953,-0.498
90.964,-0.422
90.976,-0.362
90.987,-0.358
90.998,-0.327
91.01,-0.327
91.021,-0.32
91.033,-0.245
91.044,-0.094
91.056,-0.049
91.067,-0.087
91.079,-0.193
91.09,-0.238
91.102,-0.359
91.113,-0.343
91.125,-0.301
91.136,0.119
91.147,0.193
91.159,0.182
91.17,0.25
91.193,0.288
91.205,0.254
91.228,0.232
91.239,0.203
91.251,0.45
91.262,0.639
91.273,0.063
91.285,0.121
91.296,0.224
91.308,0.808
91.319,1.289
91.331,1.382
91.342,1.503
91.354,1.348
91.365,1.213
91.377,0.866
91.388,0.495
91.399,0.683
91.411,0.243
91.422,0.273
91.434,0.013
91.445,-0.212
91.457,-0.328
91.468,-0.415
91.48,-0.504
91.491,-0.589
91.502,-0.63
91.514,-0.564
91.525,-0.55
91.537,-0.466
91.548,-0.36
91.56,-0.121
91.583,0.088
91.594,0.137
91.606,0.099
91.617,0.017
91.628,-0.085
91.64,-0.191
91.651,-0.244
91.663,-0.316
91.674,-0.344
91.686,-0.349
91.697,-0.301
91.709,-0.228
91.72,-0.077
91.731,0.239
91.743,0.743
91.754,1.388
91.766,2.128
91.777,2.79
91.789,2.821
91.8,2.238
91.812,1.509
91.823,1.344
91.834,0.989
91.846,0.777
91.869,0.494
91.88,0.305
91.892,0.091
91.903,-0.029
91.915,-0.055
91.926,-0.121
91.937,-0.421
91.949,-0.466
91.96,-0.506
91.972,-0.48
91.983,-0.437
91.995,-0.295
92.006,-0.027
92.017,0.17
92.029,0.231
92.04,0.236
92.052,0.316
92.063,0.417
92.075,0.318
92.086,0.204
92.098,0.001
92.109,-0.203
92.12,-0.412
92.132,-0.535
92.143,-0.621
92.155,-0.687
92.166,-0.717
92.178,-0.747
92.189,-0.762
92.2,1.354
92.303,1.655
92.315,1.291
92.326,0.767
92.338,0.601
92.349,0.323
92.361,0.085
92.372,-0.142
92.383,-0.248
92.395,-0.3
92.406,-0.353
92.418,-0.399
92.429,-0.45
92.441,-0.508
92.452,-0.512
92.463,-0.491
92.475,-0.45
92.486,-0.407
92.498,-0.268
92.578,-0.327
92.589,-0.348
92.601,-0.278
92.612,-0.176
92.623,-0.067
92.635,0.003
92.646,0.051
92.658,0.265
92.681,0.334
92.703,0.393
92.726,0.615
92.749,0.494
92.761,0.453
92.772,0.551
92.783,0.463
92.795,0.049
92.806,-0.243
92.818,-0.43
92.829,-0.482
92.84,-0.423
92.852,-0.311
92.863,-0.181
92.875,-0.013
92.886,0.204
92.898,0.429
92.909,0.537
92.92,0.586
92.932,0.601
92.943,0.636
92.955,0.349
92.966,0.042
92.977,-0.129
92.989,-0.223
93.0,-0.365
93.012,-0.429
93.035,-0.525
93.046,-0.551
93.057,-0.561
93.069,-0.558
93.08,-0.486
93.092,-0.489
93.103,-0.549
93.114,-0.518
93.126,-0.514
93.137,-0.497
93.149,-0.451
93.16,-0.372
93.172,-0.333
93.183,-0.303
93.194,-0.292
93.206,-0.252
93.217,-0.206
93.229,-0.201
93.24,-0.164
93.251,-0.053
93.263,0.14
93.274,0.294
93.286,0.548
93.297,0.495
93.308,0.518
93.32,0.727
93.331,0.567
93.343,0.635
93.354,0.464
93.366,0.584
93.377,0.324
93.388,0.037
93.4,-0.033
93.411,-0.25
93.423,-0.331
93.434,-0.35
93.445,-0.345
93.457,-0.294
93.468,0.113
93.48,0.22
93.491,0.481
93.514,0.679
93.525,0.916
93.548,0.921
93.559,0.864
93.571,1.261
93.582,1.34
93.594,1.291
93.605,1.278
93.617,1.101
93.628,0.888
93.639,0.697
93.651,0.342
93.662,-0.02
93.674,-0.247
93.685,-0.329
93.696,-0.42
93.708,-0.591
93.719,-0.616
93.731,-0.569
93.742,-0.536
93.753,-0.488
93.765,-0.4
93.776,-0.255
93.788,-0.056
93.799,0.158
93.81,0.541
93.822,0.695
93.833,0.816
93.845,0.524
93.856,-0.019
93.867,-0.044
93.879,-0.219
93.89,-0.344
93.902,-0.435
93.913,-0.547
93.924,-0.453
93.936,-0.535
93.947,-0.631
93.959,-0.663
93.97,-0.764
93.981,-0.671
93.993,-0.664
94.004,-0.638
94.015,-0.626
94.027,-0.581
94.038,-0.496
94.05,-0.33
94.061,-0.157
94.072,0.02
94.084,0.27
94.095,0.448
94.107,0.438
94.118,0.234
94.129,0.031
94.141,-0.206
94.152,-0.397
94.164,-0.589
94.175,-0.648
94.186,-0.697
94.198,-0.746
94.209,-0.797
94.221,-0.792
94.232,-0.777
94.243,-0.73
94.255,-0.681
94.266,-0.543
94.278,-0.492
94.289,-0.405
94.3,-0.4
94.312,-0.423
94.323,-0.497
94.335,-0.612
94.346,-0.715
94.357,-0.787
94.369,-0.86
94.38,-0.853
94.391,-0.787
94.403,-0.681
94.414,-0.692
94.426,-0.825
94.437,-0.752
94.448,-0.817
94.46,-0.777
94.471,-0.724
94.483,-0.721
94.494,-0.659
94.505,-0.615
94.517,-0.593
94.528,-0.51
94.54,-0.5
94.551,-0.465
94.562,-0.421
94.574,-0.391
94.585,-0.429
94.596,-0.479
94.608,-0.553
94.619,-0.626
94.631,-0.695
94.642,-0.763
94.653,-0.801
94.665,-0.847
94.676,-0.814
94.688,-0.816
94.699,-0.844
94.71,-0.789
94.722,-0.67
94.733,-0.55
94.744,-0.284
94.756,0.054
94.767,0.318
94.779,0.478
94.79,0.231
94.801,-0.296
94.813,-0.441
94.824,-0.575
94.835,-0.669
94.847,-0.717
94.858,-0.761
94.87,-0.618
94.881,-0.578
94.892,-0.401
94.904,-0.267
94.938,-0.243
94.949,-0.06
94.961,-0.121
94.972,-0.251
94.983,-0.101
94.995,-0.04
95.006,0.071
95.017,0.412
95.029,0.318
95.04,0.371
95.052,0.464
95.063,0.535
95.074,0.509
95.086,0.35
95.097,0.324
95.108,0.238
95.12,0.19
95.131,0.122
95.143,0.093
95.154,0.09
95.165,0.093
95.177,0.028
95.188,0.048
95.199,0.078
95.211,0.157
95.222,0.373
95.234,0.622
95.245,0.857
95.256,0.865
95.268,0.626
95.279,0.298
95.29,-0.038
95.302,-0.118
95.313,-0.328
95.325,-0.433
95.336,-0.564
95.347,-0.52
95.359,-0.547
95.37,-0.597
95.381,-0.763
95.393,-0.769
95.404,-0.711
95.416,-0.667
95.427,-0.601
95.438,-0.596
95.45,-0.425
95.461,-0.305
95.472,-0.16
95.484,0.008
95.495,0.1
95.507,-0.008
95.518,-0.174
95.529,-0.314
95.541,-0.46
95.552,-0.563
95.563,-0.564
95.575,-0.554
95.586,-0.522
95.597,-0.478
95.609,-0.335
95.62,-0.157
95.632,0.062
95.643,0.219
95.654,0.437
95.666,0.701
95.677,0.989
95.688,1.258
95.7,1.486
95.711,1.852
95.722,2.528
95.734,2.407
95.745,2.247
95.757,1.387
95.768,1.287
95.779,1.167
95.791,0.62
95.802,0.035
95.813,-0.319
95.825,-0.437
95.836,-0.614
95.847,-0.738
95.859,-0.807
95.87,-0.848
95.881,-0.899
95.893,-0.894
95.904,-0.837
95.915,-0.758
95.927,-0.698
95.938,-0.627
95.95,-0.618
95.961,-0.451
95.972,-0.386
95.984,-0.309
95.995,-0.182
96.006,-0.022
96.018,0.143
96.029,0.255
96.04,0.254
96.052,0.433
96.063,0.588
96.074,0.705
96.086,0.71
96.097,0.745
96.109,0.692
96.12,0.722
96.131,0.611
96.143,0.439
96.154,0.321
96.165,0.215
96.177,0.102
96.188,0.051
96.199,-0.103
96.211,-0.205
96.222,-0.246
96.233,-0.391
96.245,-0.344
96.256,-0.401
96.268,-0.302
96.279,-0.369
96.29,-0.188
96.302,0.251
96.313,1.106
96.324,1.681
96.336,1.856
96.347,1.775
96.358,1.174
96.37,0.528
96.381,0.019
96.392,-0.209
96.404,-0.331
96.415,-0.425
96.426,-0.444
96.438,-0.363
96.449,-0.259
96.46,0.059
96.472,0.144
96.483,0.303
96.495,0.447
96.506,0.289
96.517,0.013
96.529,0.044
96.54,0.483
96.551,0.377
96.563,1.048
96.574,0.033
96.585,0.085
96.597,0.066
96.608,-0.033
96.619,-0.121
96.631,-0.077
96.642,-0.126
96.653,-0.106
96.665,-0.007
96.676,-0.075
96.687,-0.039
96.699,0.061
96.71,0.29
96.721,0.362
96.733,0.481
96.744,0.732
96.755,0.463
96.767,0.64
96.778,0.756
96.789,0.981
96.801,1.04
96.812,1.008
96.823,0.832
96.835,0.516
96.846,0.172
96.858,0.024
96.869,0.03
96.88,-0.025
96.892,-0.235
96.903,-0.01
96.914,0.226
96.926,0.751
96.937,1.229
96.948,2.072
96.96,2.812
96.971,3.094
96.982,1.859
96.994,1.158
97.005,0.564
97.016,0.227
97.05,0.009
97.062,-0.091
97.073,-0.1
97.084,-0.068
97.096,0.006
97.107,0.135
97.118,0.232
97.13,0.713
97.141,0.91
97.152,1.136
97.164,1.341
97.175,1.163
97.186,1.593
97.198,1.923
97.209,2.343
97.22,2.472
97.232,2.751
97.243,2.789
97.254,2.595
97.266,1.792
97.277,1.208
97.288,0.893
97.3,0.582
97.311,0.369
97.322,0.207
97.334,0.023
97.345,-0.205
97.356,-0.271
97.368,-0.306
97.379,-0.308
97.39,-0.47
97.402,-0.632
97.413,-0.685
97.424,-0.529
97.436,-0.42
97.447,-0.331
97.458,-0.462
97.47,-0.171
97.481,0.023
97.492,0.082
97.504,-0.156
97.515,-0.388
97.526,-0.482
97.537,-0.494
97.549,-0.413
97.56,-0.508
97.571,-0.625
97.583,-0.76
97.594,-0.742
97.605,-0.737
97.617,-0.768
97.628,-0.806
97.639,-0.797
97.651,-0.815
97.662,-0.797
97.673,-0.783
97.685,-0.675
97.696,-0.629
97.707,-0.579
97.719,-0.518
97.73,-0.403
97.741,-0.578
97.753,-0.517
97.764,-0.37
97.775,-0.398
97.787,-0.296
97.798,-0.198
97.809,-0.284
97.821,-0.261
97.832,-0.261
97.843,-0.275
97.855,-0.337
97.866,-0.422
97.877,-0.453
97.888,-0.534
97.9,-0.605
97.911,-0.639
97.922,-0.732
97.934,-0.777
97.945,-0.806
97.956,-0.821
97.968,-0.817
97.979,-0.81
97.99,-0.771
98.002,-0.694
98.013,-0.632
98.024,-0.558
98.036,-0.473
98.047,-0.461
98.058,-0.356
98.07,-0.304
98.081,-0.234
98.092,-0.119
98.104,-0.178
98.115,-0.134
98.126,-0.201
98.137,-0.328
98.149,-0.437
98.16,-0.56
98.171,-0.669
98.183,-0.775
98.194,-0.868
98.205,-0.941
98.217,-0.971
98.228,-0.898
98.239,-0.843
98.251,-0.761
98.262,-0.599
98.273,-0.408
98.285,-0.042
98.296,0.559
98.307,1.4
98.319,2.353
98.33,3.077
98.341,3.128
98.352,2.856
98.364,2.405
98.375,1.712
98.386,1.16
98.398,0.643
98.409,0.285
98.42,0.04
98.432,-0.382
98.511,-0.673
98.522,-0.573
98.533,-0.509
98.545,-0.446
98.556,-0.295
98.567,-0.098
98.579,-0.096
98.59,-0.035
98.601,-0.164
98.613,-0.36
98.624,-0.537
98.635,-0.616
98.647,-0.711
98.658,-0.759
98.669,-0.78
98.68,-0.792
98.692,-0.728
98.703,-0.529
98.714,-0.366
98.726,-0.23
98.737,-0.154
98.748,-0.144
98.827,0.449
98.839,0.329
98.85,0.149
98.861,0.231
98.873,0.075
98.884,-0.08
98.895,-0.099
98.906,-0.121
98.918,-0.109
98.929,-0.116
98.94,-0.12
98.952,-0.173
98.963,-0.123
98.974,-0.164
98.986,-0.174
98.997,-0.221
99.008,-0.242
99.019,-0.272
99.031,-0.365
99.042,-0.293
99.053,-0.261
99.065,-0.3
99.076,-0.342
99.087,-0.164
99.098,-0.007
99.11,0.185
99.121,0.319
99.132,0.438
99.144,0.513
99.155,0.465
99.166,0.383
99.178,0.422
99.189,0.2
99.2,0.052
99.211,-0.111
99.223,-0.263
99.234,-0.471
99.245,-0.673
99.257,-0.79
99.268,-0.889
99.279,-0.952
99.291,-0.962
99.302,-0.995
99.313,-0.988
99.324,-0.959
99.336,-0.931
99.347,-0.837
99.358,-0.745
99.37,-0.653
99.381,-0.554
99.392,-0.454
99.403,-0.347
99.415,-0.308
99.426,-0.33
99.437,-0.409
99.449,-0.617
99.46,-0.765
99.471,-0.735
99.482,-0.806
99.494,-0.847
99.505,-0.874
99.516,-0.832
99.528,-0.854
99.539,-0.816
99.55,-0.776
99.561,-0.786
99.573,-0.69
99.584,-0.576
99.595,-0.417
99.607,-0.25
99.618,0.11
99.629,0.606
99.641,1.304
99.652,1.924
99.663,2.69
99.674,3.145
99.686,2.809
99.697,1.941
99.708,0.967
99.72,0.201
99.731,0.008
99.753,-0.16
99.765,-0.368
99.776,-0.406
99.787,-0.495
99.799,-0.479
99.81,-0.519
99.821,-0.538
99.832,-0.563
99.844,-0.639
99.855,-0.653
99.866,-0.692
99.878,-0.621
99.889,-0.567
99.9,-0.449
99.911,0.079
99.923,0.458
99.934,0.025
99.945,-0.24
99.956,-0.399
99.968,-0.494
99.979,-0.595
99.99,-0.635
100.002,-0.624
100.013,-0.595
100.024,-0.624
100.035,-0.657
100.047,-0.766
100.058,-0.662
100.069,-0.601
100.081,-0.541
100.092,-0.486
100.103,-0.49
100.114,-0.481
100.126,-0.416
100.137,-0.363
100.148,-0.307
100.159,-0.406
100.171,-0.469
100.182,-0.434
100.193,-0.442
100.205,-0.443
100.216,-0.425
100.227,-0.504
100.238,-0.452
100.25,-0.374
100.261,-0.395
100.272,-0.413
100.284,-0.394
100.295,-0.27
100.306,-0.06
100.317,0.219
100.329,0.567
100.34,1.012
100.351,1.838
100.362,2.652
100.374,2.939
100.385,2.965
100.396,2.602
100.408,2.29
100.419,1.713
100.43,1.333
100.441,1.044
100.453,0.791
100.464,0.628
100.475,0.833
100.486,1.156
100.498,1.837
100.509,3.056
100.52,3.538
100.532,3.317
100.543,3.554
100.554,3.112
100.565,2.661
100.577,2.418
100.588,1.413
100.599,1.264
100.61,0.98
100.622,0.651
100.633,0.355
100.644,0.055
100.655,-0.191
100.667,-0.374
100.678,-0.542
100.689,-0.637
100.701,-0.682
100.712,-0.67
100.723,-0.701
100.734,-0.733
100.746,-0.735
100.757,-0.765
100.779,-0.707
100.791,-0.775
100.802,-0.728
100.813,-0.732
100.825,-0.703
100.836,-0.664
100.847,-0.559
100.858,-0.537
100.87,-0.466
100.881,-0.52
100.892,-0.442
100.903,-0.574
100.915,-0.723
100.926,-0.716
100.937,-0.654
100.948,-0.528
100.96,-0.317
100.971,0.044
100.982,0.365
100.993,0.82
101.005,0.862
101.016,0.669
101.027,0.388
101.039,0.101
101.05,-0.215
101.061,-0.441
101.072,-0.548
101.084,-0.604
101.095,-0.64
101.106,-0.633
101.117,-0.62
101.129,-0.595
101.14,-0.536
101.151,-0.477
101.162,-0.44
101.174,-0.365
101.185,-0.224
101.196,-0.082
101.207,0.071
101.219,0.083
101.23,0.51
101.241,0.674
101.252,1.071
101.264,1.196
101.275,1.66
101.286,1.765
101.297,1.104
101.309,0.449
101.32,-0.101
101.331,-0.384
101.343,-0.555
101.354,-0.611
101.365,-0.727
101.376,-0.797
101.388,-0.864
101.399,-0.825
101.41,-0.857
101.421,-0.769
101.433,-0.665
101.444,-0.48
101.455,-0.369
101.466,-0.419
101.489,-0.575
101.5,-0.699
101.511,-0.772
101.523,-0.751
101.534,-0.77
101.545,-0.753
101.556,-0.737
101.568,-0.787
101.579,-0.758
101.59,-0.719
101.601,-0.616
101.613,-0.411
101.624,0.109
101.635,0.846
101.646,1.189
101.658,1.294
101.669,1.078
101.68,0.816
101.691,0.389
101.703,0.099
101.714,-0.101
101.725,-0.312
101.736,-0.464
101.748,-0.593
101.759,-0.679
101.77,-0.744
101.781,-0.793
101.793,-0.833
101.804,-0.825
101.815,-0.821
101.826,-0.781
101.838,-0.776
101.849,-0.789
101.86,-0.738
101.871,-0.66
101.883,-0.689
101.894,-0.479
101.905,-0.307
101.916,-0.085
101.928,0.277
101.939,0.516
101.95,0.668
101.961,0.364
101.972,0.245
101.984,0.248
101.995,-0.422
102.006,-0.565
102.017,-0.682
102.029,-0.795
102.04,-0.812
102.051,-0.8
102.062,-0.798
102.074,-0.807
102.085,-0.777
102.096,-0.729
102.107,-0.635
102.119,-0.521
102.13,-0.399
102.141,-0.181
102.152,0.075
102.164,0.203
102.175,0.248
102.186,0.311
102.197,0.47
102.209,0.525
102.22,0.505
102.231,0.407
102.242,0.472
102.254,0.622
102.265,0.624
102.276,0.625
102.287,0.456
102.299,0.605
102.31,0.558
102.321,0.453
102.332,0.399
102.343,0.239
102.355,0.353
102.366,0.082
102.377,-0.019
102.388,0.086
102.4,0.62
102.411,0.949
102.422,1.276
102.433,1.872
102.445,2.202
102.456,1.866
102.467,1.587
102.478,0.815
102.49,0.6
102.501,0.099
102.512,-0.169
102.523,-0.459
102.534,-0.574
102.546,-0.646
102.557,-0.664
102.568,-0.813
102.579,-0.876
102.591,-0.874
102.602,-0.782
102.613,-0.862
102.624,-0.791
102.636,-0.728
102.647,-0.649
102.658,-0.52
102.669,-0.301
102.68,-0.087
102.692,0.008
102.703,0.019
102.714,-0.013
102.725,-0.139
102.737,-0.342
102.748,-0.393
102.759,-0.447
102.77,-0.499
102.782,-0.63
102.793,-0.694
102.804,-0.729
102.815,-0.821
102.826,-0.88
102.838,-0.797
102.849,-0.809
102.86,-0.759
102.871,-0.8
102.883,-0.757
102.894,-0.527
102.905,-0.236
102.916,-0.2
102.928,-0.111
102.939,0.141
102.95,0.221
102.961,0.268
102.972,0.302
102.984,0.419
102.995,0.537
103.006,0.56
103.017,0.681
103.029,0.7
103.04,0.741
103.051,0.621
103.062,0.511
103.073,0.208
103.085,-0.063
103.096,-0.324
103.107,-0.336
103.118,-0.401
103.13,-0.367
103.141,-0.23
103.152,0.01
103.163,0.33
103.175,0.488
103.186,0.557
103.197,0.595
103.208,0.542
103.219,0.646
103.231,0.333
103.242,-0.187
103.253,0.327
103.264,0.16
103.276,0.154
103.287,-0.087
103.298,-0.313
103.309,-0.382
103.32,-0.395
103.332,-0.523
103.343,-0.51
103.354,-0.477
103.365,-0.486
103.377,-0.421
103.388,-0.294
103.399,-0.109
103.41,0.132
103.421,0.471
103.433,0.584
103.444,0.625
103.455,0.566
103.466,0.522
103.477,0.527
103.489,0.588
103.5,0.722
103.511,0.956
103.522,0.981
103.534,1.068
103.545,2.593
103.556,2.077
103.567,1.405
103.578,1.528
103.59,1.644
103.601,1.7
103.612,1.61
103.635,1.631
103.657,1.27
103.668,0.663
103.679,-0.179
103.691,-0.524
103.702,-0.447
103.724,-0.717
103.735,-0.673
103.747,-0.648
103.769,-0.763
103.78,-0.704
103.792,-0.637
103.803,-0.559
103.814,-0.347
103.825,-0.043
103.836,0.397
103.848,0.901
103.859,1.086
103.87,1.314
103.881,0.472
103.892,-0.042
103.904,-0.221
103.915,-0.39
103.926,-0.549
103.937,-0.667
103.948,-0.7
103.96,-0.681
103.971,-0.654
103.982,-0.646
103.993,-0.566
104.004,-0.494
104.016,-0.438
104.027,-0.348
104.038,-0.219
104.049,-0.004
104.061,0.193
104.072,0.319
104.083,0.393
104.094,0.549
104.105,-0.835
104.128,-0.586
104.15,-0.542
104.161,-0.541
104.173,-0.526
104.184,-0.528
104.195,-0.546
104.206,-0.545
104.217,-0.509
104.229,-0.473
104.24,-0.408
104.251,-0.358
104.262,-0.24
104.273,-0.168
104.285,-0.03
104.296,0.087
104.307,0.338
104.318,0.408
104.329,0.511
104.341,0.3
104.352,0.236
104.363,0.097
104.374,-0.055
104.385,-0.556
104.475,-0.795
104.486,-0.84
104.498,-0.846
104.509,-0.83
104.52,-0.819
104.531,-0.775
104.542,-0.714
104.554,-0.593
104.565,-0.319
104.576,-0.278
104.587,-0.397
104.598,-0.372
104.61,-0.521
104.621,-0.553
104.632,-0.647
104.643,-0.664
104.654,-0.74
104.665,-0.758
104.677,-0.745
104.688,-0.738
104.699,-0.744
104.71,-0.721
104.721,-0.651
104.733,-0.514
104.744,-0.349
104.755,-0.154
104.766,0.163
104.777,0.482
104.789,0.628
104.8,0.763
104.811,0.895
104.822,0.827
104.833,0.741
104.845,0.689
104.856,0.603
104.867,0.38
104.878,0.299
104.889,0.182
104.901,0.051
104.912,0.028
104.923,-0.047
104.934,-0.069
104.945,0.298
104.957,1.104
104.968,1.476
104.979,1.655
104.99,2.046
105.001,1.987
105.013,2.053
105.024,1.784
105.035,1.87
105.046,1.616
105.057,1.331
105.068,1.055
105.08,0.693
105.091,0.353
105.102,0.144
105.113,-0.062
105.124,-0.231
105.136,-0.38
105.147,-0.422
105.158,-0.505
105.169,-0.448
105.18,-0.401
105.192,-0.196
