Depth_m,nssS_Na_ratio
9.522,-0.81
9.541,-0.748
9.56,-0.689
9.578,-0.6
9.597,-0.5
9.616,-0.366
9.635,-0.285
9.653,-0.199
9.672,-0.09
9.691,-0.016
9.709,0.088
9.728,0.187
9.747,0.233
9.765,0.198
9.784,0.114
9.802,0.085
9.821,0.038
9.839,-0.034
9.858,-0.144
9.876,-0.224
9.895,-0.297
9.913,-0.343
9.932,-0.422
9.95,-0.446
9.969,-0.419
9.987,-0.361
10.006,-0.218
10.024,-0.064
10.043,0.108
10.062,0.282
10.08,0.394
10.099,0.451
10.117,0.272
10.135,0.059
10.154,-0.162
10.172,-0.367
10.191,-0.499
10.209,-0.582
10.227,-0.621
10.246,-0.633
10.264,-0.592
10.282,-0.507
10.301,-0.442
10.319,-0.331
10.338,-0.227
10.356,-0.116
10.374,-0.015
10.393,0.107
10.411,0.228
10.43,0.27
10.448,0.241
10.466,0.109
10.485,0.063
10.503,0.023
10.521,-0.006
10.539,-0.102
10.558,-0.305
10.576,-0.44
10.594,-0.494
10.612,-0.56
10.631,-0.635
10.649,-0.701
10.667,-0.754
10.685,-0.773
10.704,-0.739
10.722,-0.676
10.74,-0.562
10.758,-0.38
10.777,-0.07
10.795,0.189
10.813,0.37
10.831,0.524
10.85,0.533
10.868,0.456
10.886,0.374
10.904,0.263
10.922,0.161
10.94,0.08
10.959,0.042
10.977,-0.057
10.995,-0.187
11.013,-0.244
11.031,-0.344
11.049,-0.465
11.067,-0.591
11.085,-0.642
11.103,-0.661
11.121,-0.718
11.14,-0.771
11.158,-0.804
11.176,-0.785
11.194,-0.738
11.212,-0.64
11.23,-0.478
11.248,-0.235
11.266,0.066
11.284,0.512
11.302,0.86
11.32,1.014
11.339,0.886
11.357,0.473
11.375,0.035
11.393,-0.36
11.411,-0.638
11.429,-0.784
11.446,-0.858
11.464,-0.881
11.482,-0.864
11.518,-0.826
11.536,-0.783
11.554,-0.749
11.572,-0.714
11.59,-0.657
11.608,-0.573
11.626,-0.471
11.644,-0.329
11.662,-0.165
11.68,0.026
11.698,0.266
11.716,0.442
11.734,0.48
11.752,0.435
11.77,0.34
11.788,0.352
11.805,0.362
11.823,0.461
11.841,0.655
11.859,0.831
11.877,0.987
11.895,1.284
11.913,1.546
11.93,1.717
11.948,1.776
11.966,1.635
11.984,1.417
12.002,1.158
12.02,0.817
12.037,0.524
12.055,0.191
12.073,-0.024
12.091,-0.098
12.108,-0.199
12.126,-0.311
12.144,-0.392
12.162,-0.41
12.18,-0.417
12.197,-0.394
12.215,-0.309
12.233,-0.219
12.251,-0.12
12.269,0.037
12.286,0.192
12.304,0.311
12.322,0.51
12.34,0.593
12.357,0.504
12.375,0.36
12.393,0.097
12.41,-0.086
12.428,-0.165
12.446,-0.294
12.463,-0.363
12.481,-0.459
12.499,-0.515
12.516,-0.533
12.534,-0.476
12.552,-0.335
12.569,-0.073
12.587,0.266
12.605,0.766
12.622,1.337
12.64,1.607
12.658,1.694
12.676,1.65
12.693,1.512
12.711,1.333
12.728,1.112
12.746,0.84
12.764,0.568
12.781,0.297
12.799,0.094
12.816,-0.067
12.834,-0.174
12.851,-0.271
12.869,-0.357
12.887,-0.418
12.904,-0.432
12.922,-0.414
12.939,-0.34
12.957,-0.267
12.975,-0.246
12.992,-0.223
13.01,-0.263
13.027,-0.302
13.045,-0.309
13.062,-0.341
13.08,-0.373
13.097,-0.407
13.115,-0.444
13.132,-0.482
13.15,-0.477
13.167,-0.434
13.185,-0.381
13.202,-0.305
13.22,-0.264
13.237,-0.252
13.255,-0.321
13.272,-0.427
13.29,-0.525
13.307,-0.598
13.325,-0.665
13.342,-0.704
13.36,-0.737
13.377,-0.762
