Depth(m),NO3(ng/g)
577.0,9.70253002285133
577.0262,30.299027733505984
577.0505,26.805940895132245
577.0748000000001,23.391443280360114
577.0991000000001,28.160336053686976
577.1234000000002,35.26101592974048
577.1477000000002,37.99477636940309
577.1720000000003,36.40828496368868
577.1963000000003,26.90702547473445
577.2206000000003,25.03341819733121
577.2449000000004,21.399775452493717
577.2692000000004,18.126875139871206
577.2935000000004,14.37481458744336
577.3178000000005,20.72978627075745
577.3421000000005,28.754532136932472
577.3664000000006,32.555306751347636
577.3907000000006,33.65906283153331
577.4150000000006,36.23945244608302
577.4393000000007,18.105677934840564
577.4636000000007,17.793565037241994
577.4879000000008,34.696254520934225
577.5122000000008,32.01257361225363
577.5365000000008,32.66823169474075
577.5608000000009,26.384308279812537
577.5851000000009,27.658743351435717
577.609400000001,30.167604603796068
577.633700000001,55.30636419809816
577.658000000001,58.18901799484971
577.6823000000011,57.81023687614688
577.7066000000011,60.61517603834611
577.7309000000012,54.789252720976215
577.7552000000012,41.70315402259843
577.7795000000012,30.71304467665169
577.8038000000013,30.0915958837184
577.8281000000013,14.23729445242299
577.8524000000014,19.000840201180786
577.8767000000014,27.325392269208074
577.9010000000014,30.624649421151002
577.9253000000015,28.14848256792223
577.9496000000015,31.113415904778936
577.9739000000015,19.922313537051863
578.0000000000016,25.672917026102173
578.0262000000016,22.118056423172522
578.0506000000016,20.787295777220724
578.0750000000016,24.339998416023047
578.0994000000017,30.249320180985116
578.1238000000017,39.249650494474615
578.1482000000017,40.33744834234498
578.1726000000017,35.708836398895514
578.1970000000017,32.53131865287074
578.2214000000017,22.826173040492666
578.2458000000017,19.820696479596013
578.2702000000018,16.012485675971117
578.2946000000018,10.723019096136392
578.3190000000018,9.216103893243796
578.3434000000018,13.91721183069059
578.3678000000018,24.15072659349648
578.3922000000018,26.767144846153883
578.4166000000018,24.895465978427005
578.4410000000018,20.313302839066196
578.4654000000019,31.354242127433185
578.4898000000019,33.92313012345503
578.5142000000019,29.006523397282642
578.5386000000019,18.49914356618435
578.5630000000019,15.588302016975401
578.5874000000019,9.653438282159918
578.636200000002,12.187906706482696
578.660600000002,16.329597807252398
578.685000000002,23.490288744680367
578.709400000002,23.377106305845526
578.733800000002,29.13908350566853
578.758200000002,27.03491228533423
578.782600000002,18.130271813130097
578.8070000000021,13.840286408135563
578.8314000000021,20.052151603024402
578.8558000000021,19.791261301701486
578.8802000000021,21.798476070985437
578.9046000000021,23.74342036593691
578.9290000000021,26.645852329733316
578.9534000000021,22.638681892733885
578.9778000000022,37.49506125829519
579.0040000000022,34.697277696824955
579.0302000000022,25.438835368392162
579.0545000000022,22.424843982735403
579.0788000000023,24.029914791883776
579.1031000000023,24.224285108626304
579.1274000000024,26.711073597118066
579.1517000000024,26.568711011916488
579.1760000000024,23.471048346645752
579.2003000000025,24.848069403322448
579.2246000000025,13.293280134237225
579.2489000000025,15.38853785515382
579.2732000000026,19.61670442408343
579.2975000000026,23.13609497798228
579.3218000000027,33.93877586457354
579.3461000000027,35.366366240275035
579.3704000000027,41.696179796597676
579.3947000000028,49.64064168893857
579.4190000000028,53.65126865952931
