Depth_m,Na
20.779,0.553
20.795,0.47
20.811,0.424
20.827,0.406
20.843,0.376
20.859,0.277
20.875,0.049
20.972,0.649
20.988,1.578
21.004,2.278
21.02,2.647
21.036,2.729
21.053,2.654
21.069,2.466
21.085,2.232
21.101,2.037
21.117,1.645
21.133,1.066
21.149,0.463
21.406,0.291
21.422,0.587
21.438,0.755
21.454,0.742
21.47,0.625
21.486,0.417
21.502,0.04
21.951,0.436
21.967,0.851
21.982,0.924
21.998,0.909
22.014,0.823
22.03,0.753
22.046,0.708
22.062,0.675
22.078,0.615
22.094,0.358
22.286,0.24
22.302,0.857
22.365,0.686
22.381,0.187
22.556,0.03
22.572,0.478
22.588,1.022
22.604,1.616
22.62,2.321
22.636,2.842
22.652,2.718
22.668,1.819
22.684,0.738
23.27,0.016
23.286,0.259
23.302,0.245
23.523,0.019
23.539,0.612
23.555,1.028
23.571,1.063
23.586,0.726
23.602,0.24
24.264,0.018
24.279,0.451
24.295,0.731
24.311,0.793
24.327,0.542
24.342,0.11
24.531,0.246
24.546,0.896
24.562,1.437
24.578,1.585
24.593,1.365
24.609,0.938
24.625,0.411
24.938,0.217
24.954,0.549
24.969,1.087
24.985,1.55
25.0,1.668
25.016,1.381
25.032,0.716
25.172,0.419
25.188,1.038
25.204,1.629
25.219,2.071
25.235,2.146
25.25,1.889
25.266,1.382
25.547,0.021
25.562,0.372
25.578,0.677
25.593,0.764
25.609,0.685
25.624,0.49
25.64,0.281
25.656,0.133
25.671,0.031
25.827,0.131
25.842,0.471
25.858,0.93
25.873,1.657
25.889,2.334
25.904,2.549
25.92,2.302
25.936,1.799
25.951,1.128
25.967,0.554
25.982,0.184
26.091,0.227
26.106,0.888
26.122,1.702
26.137,2.793
26.153,4.009
26.168,6.028
26.246,8.667
26.261,9.521
26.277,7.662
26.292,4.939
26.308,2.805
26.323,1.004
26.494,0.146
26.509,0.15
26.741,0.203
26.757,0.378
26.772,0.488
26.788,0.455
26.803,0.318
26.818,0.267
26.834,0.24
26.849,0.237
26.865,0.259
26.88,0.245
26.896,0.218
26.911,0.211
26.927,0.191
26.942,0.126
26.957,0.08
26.973,0.03
26.988,0.009
27.004,0.008
27.019,0.017
27.035,0.001
27.189,0.195
27.204,0.466
27.22,0.704
27.235,0.76
27.25,0.521
27.266,0.052
27.481,0.304
27.497,0.675
27.512,0.925
27.527,0.858
27.543,0.548
27.558,0.227
27.804,0.037
27.819,0.414
27.835,0.706
27.85,0.793
27.865,0.765
27.881,0.71
27.896,0.711
27.911,0.731
27.927,0.634
27.942,0.351
28.08,0.035
28.095,0.656
28.111,0.939
28.126,0.791
28.141,0.351
28.294,0.127
28.31,0.453
28.325,0.814
28.34,1.128
28.355,1.482
28.371,1.695
28.386,1.734
28.401,1.516
28.417,1.054
28.432,0.569
28.447,0.205
28.661,0.662
28.676,0.799
28.692,0.632
28.707,0.345
28.905,0.44
28.92,0.963
28.936,1.392
28.951,1.494
28.966,0.999
28.981,0.034
29.21,1.046
29.225,0.406
29.392,0.375
29.407,0.818
29.422,1.611
29.438,2.517
29.453,0.636
29.483,0.598
29.498,1.359
29.514,1.74
29.529,1.278
29.544,0.399
29.559,0.083
29.574,0.29
29.589,0.152
29.802,0.069
29.817,0.67
29.832,0.614
29.847,0.235
29.862,0.139
29.999,0.233
30.014,2.65
30.029,4.22
30.044,3.025
30.059,1.908
30.074,1.354
30.089,0.56
30.105,0.047
30.12,0.141
30.135,0.029
30.15,0.109
30.165,0.12
30.316,0.062
30.331,0.669
30.346,0.672
30.361,0.201
30.437,0.211
30.452,0.31
30.467,0.187
30.512,0.246
30.527,0.396
30.543,0.486
30.558,0.559
30.573,0.646
30.588,0.73
30.603,0.713
30.618,0.284
30.724,0.509
30.739,0.498
30.754,0.029
30.784,1.676
30.799,1.641
30.814,1.619
30.829,1.096
30.844,0.344
31.055,0.558
31.07,0.857
31.085,0.436
31.205,0.06
31.22,0.243
31.235,0.033
31.34,0.282
31.355,1.216
31.37,1.752
31.385,1.194
31.445,0.622
31.46,0.101
31.655,0.161
31.67,0.833
31.685,0.969
31.7,0.897
31.715,1.282
31.73,1.624
31.745,0.551
31.939,0.299
31.954,1.183
31.969,1.423
31.984,0.71
32.208,0.451
32.223,1.149
32.238,1.477
32.253,1.683
32.268,2.015
32.283,2.918
32.298,4.151
32.313,5.263
32.328,4.149
32.343,1.275
32.372,0.294
32.387,1.381
32.402,1.664
32.417,0.283
32.462,0.554
32.477,0.747
32.492,1.353
32.507,1.077
32.522,0.864
32.536,0.747
32.551,0.492
32.566,0.045
32.626,0.485
32.641,0.941
32.656,0.704
32.67,0.005
32.834,0.045
32.849,0.143
32.864,0.526
32.879,1.648
32.894,2.483
32.908,1.923
32.923,1.698
32.938,3.019
32.953,4.134
32.968,3.908
32.983,2.943
32.998,0.444
33.116,0.396
33.131,1.367
33.146,2.517
33.161,2.581
33.176,1.419
33.191,0.85
33.205,0.091
33.339,0.186
33.354,0.496
33.369,1.139
33.383,1.57
33.398,1.363
33.413,0.818
33.428,0.266
33.606,2.677
33.62,2.504
33.635,2.068
33.65,1.86
33.665,1.846
33.68,1.867
33.694,1.866
33.709,1.848
33.724,1.589
33.739,1.143
33.753,0.513
33.857,0.867
33.872,2.224
33.886,2.511
33.901,1.568
33.916,0.573
34.167,0.073
34.182,0.37
34.196,0.134
34.55,0.998
34.565,1.939
34.579,2.79
34.594,3.16
34.609,3.273
34.623,3.421
34.638,3.417
34.653,2.894
34.668,1.573
34.682,0.156
34.888,0.171
34.903,0.681
34.917,1.063
34.932,1.169
34.947,1.028
34.961,0.778
34.976,0.508
34.991,0.191
35.035,0.026
35.269,0.179
35.284,0.338
35.299,0.344
35.313,0.239
35.328,0.421
35.342,0.883
35.357,1.55
35.372,2.063
35.386,2.313
35.401,2.213
35.416,1.46
35.43,0.283
35.547,0.292
35.562,0.804
35.577,1.077
35.591,0.744
36.495,0.425
36.51,2.09
36.524,3.803
36.539,5.227
36.553,5.182
36.568,3.151
36.582,1.069
36.597,0.294
36.611,0.063
36.64,0.052
36.8,0.153
36.814,0.75
36.829,1.42
36.843,2.069
36.858,2.608
