Depth_m,Na
160.941,0.813
160.952,0.628
160.963,0.422
160.974,0.242
160.985,0.135
160.996,0.075
161.138,0.256
161.149,0.922
161.16,1.617
161.171,1.905
161.182,1.692
161.193,1.237
161.204,0.744
161.215,0.298
161.225,0.038
161.368,0.801
161.379,0.997
161.39,0.974
161.401,0.787
161.412,0.53
161.422,0.197
161.718,0.131
161.729,0.674
161.74,1.103
161.751,1.574
161.762,2.087
161.773,2.226
161.783,1.863
161.794,1.224
161.805,0.656
161.816,0.299
161.827,0.108
161.959,0.454
161.97,0.888
161.98,1.361
161.991,1.431
162.002,1.061
162.013,0.337
162.155,0.242
162.166,0.739
162.177,1.284
162.188,1.606
162.199,1.747
162.21,1.729
162.221,1.557
162.232,1.298
162.243,1.026
162.254,0.757
162.265,0.546
162.276,0.452
162.287,0.361
162.298,0.223
162.309,0.087
162.32,0.085
162.331,0.152
162.341,0.17
162.352,0.096
162.363,0.008
162.385,0.282
162.396,1.169
162.407,2.002
162.418,3.043
162.429,2.973
162.44,1.969
162.451,1.145
162.462,0.569
162.473,0.146
162.67,0.022
162.681,0.057
162.692,0.099
162.703,0.132
162.714,0.184
162.724,0.543
162.735,1.096
162.746,1.433
162.757,1.54
162.768,1.559
162.779,1.34
162.79,0.817
162.801,0.185
162.921,0.137
162.932,0.471
162.943,0.549
162.954,0.598
163.173,0.133
163.184,0.447
163.195,0.818
163.206,1.036
163.217,1.147
163.228,1.232
163.239,1.254
163.25,1.378
163.261,1.358
163.271,1.135
163.282,0.962
163.293,0.785
163.304,0.535
163.315,0.159
163.425,0.045
163.436,0.139
163.446,0.114
163.457,0.039
163.468,0.011
163.479,0.255
163.49,0.681
163.501,0.898
163.512,0.904
163.523,0.599
163.534,0.227
163.545,0.139
163.556,0.283
163.567,0.533
163.578,0.927
163.589,1.325
163.6,1.742
163.611,2.067
163.622,2.025
163.633,1.493
163.643,0.737
163.654,0.204
163.917,0.13
163.928,0.436
163.939,0.674
163.95,0.94
163.961,1.176
163.972,1.323
163.983,1.564
163.994,1.971
164.005,2.17
164.016,1.961
164.026,0.985
164.037,0.049
164.191,0.413
164.201,1.07
164.212,1.403
164.223,1.335
164.234,0.895
164.245,0.459
164.256,0.142
164.278,0.244
164.289,0.548
164.3,0.307
164.311,0.048
164.409,0.007
164.42,0.252
164.431,0.389
164.442,0.435
164.453,0.356
164.464,0.217
164.475,0.108
164.486,0.054
164.497,0.002
164.672,0.278
164.683,0.518
164.694,0.458
164.705,0.23
164.738,0.139
164.748,0.155
164.759,0.135
164.77,0.06
165.11,0.011
165.121,0.19
165.131,0.274
165.142,0.275
165.153,0.082
165.307,0.101
165.317,0.536
165.328,0.781
165.339,0.653
165.35,0.268
165.449,0.002
165.46,0.074
165.471,0.191
165.482,0.305
165.493,0.442
165.503,0.604
165.514,0.66
165.525,0.578
165.536,0.421
165.547,0.156
165.657,0.276
165.668,0.71
165.679,0.998
165.689,1.441
165.7,1.771
165.711,1.722
165.722,1.575
165.733,1.271
165.744,0.822
165.755,0.275
165.974,0.084
165.985,0.314
165.996,0.308
166.007,0.335
166.018,0.201
166.324,0.421
166.335,1.09
166.346,2.467
166.357,4.201
166.368,4.223
166.379,3.531
166.39,2.448
166.401,1.29
166.412,0.33
166.466,0.031
166.51,0.378
166.521,1.34
166.532,2.666
166.543,4.154
166.554,5.147
166.565,4.983
166.576,3.687
166.587,2.01
166.598,0.682
166.609,0.008
166.805,0.378
166.816,1.036
166.827,1.755
166.838,2.222
166.849,2.139
166.86,1.738
166.871,1.366
166.882,1.13
166.893,0.931
166.904,0.627
166.915,0.295
167.145,0.004
167.155,0.316
167.166,0.494
167.177,0.525
167.188,0.439
167.199,0.282
167.21,0.035
167.385,0.183
167.396,0.675
167.407,0.966
167.418,0.916
167.429,0.608
167.44,0.418
167.451,0.424
167.462,0.417
167.473,0.26
167.757,0.055
167.768,0.273
167.779,0.462
167.79,0.583
167.801,0.58
167.812,0.474
167.823,0.14
168.031,0.06
168.042,0.164
168.162,0.383
168.173,1.002
168.184,1.367
168.195,1.322
168.206,0.866
168.217,0.326
168.261,0.155
168.271,0.117
168.479,0.149
168.49,0.855
168.501,1.611
168.512,2.223
168.523,2.887
168.534,3.625
168.545,4.069
168.556,4.044
168.567,3.447
168.578,2.335
168.589,1.121
168.6,0.574
168.611,0.967
168.622,1.556
168.633,1.608
168.643,0.927
168.698,0.012
168.709,0.546
168.72,1.032
168.731,1.255
168.742,0.985
168.753,0.274
168.862,0.329
168.873,0.796
168.884,1.133
168.895,1.14
168.906,0.761
168.917,0.602
168.928,0.588
168.939,0.469
168.95,0.153
169.037,0.518
169.048,1.12
169.059,1.575
169.07,1.686
169.081,1.362
169.092,0.879
169.103,0.527
169.114,0.389
169.125,0.25
169.136,0.096
169.278,0.166
169.289,0.697
169.3,1.422
169.311,2.376
169.322,3.28
169.333,3.778
169.344,3.52
169.355,2.634
169.366,1.661
169.377,1.018
169.387,0.325
169.475,0.387
169.486,0.936
169.497,1.273
169.508,1.24
169.519,0.913
169.53,0.444
169.541,0.014
169.584,0.156
169.595,0.362
169.606,0.437
169.617,0.432
169.628,0.405
169.639,0.258
170.153,0.413
170.164,0.834
170.175,1.028
170.186,1.039
170.197,0.895
170.208,0.675
170.219,0.443
170.23,0.286
170.241,0.315
170.252,0.515
170.263,1.023
170.274,1.641
170.285,2.057
170.296,2.272
170.307,2.289
170.317,2.303
170.328,2.323
170.339,2.079
170.35,1.445
170.361,0.463
170.514,0.002
170.525,0.02
170.733,0.003
170.897,0.083
170.908,0.175
170.919,0.023
171.094,0.489
171.105,1.177
171.116,1.622
171.127,1.624
171.138,1.273
171.149,0.803
171.16,0.315
171.313,0.233
171.324,1.3
171.335,2.513
171.346,3.364
171.357,3.519
171.368,2.982
171.379,0.828
171.412,0.462
171.422,1.015
171.433,1.583
171.444,2.166
171.455,2.496
171.466,2.305
171.477,1.753
171.488,1.085
171.499,0.395
171.51,0.126
171.521,0.585
171.532,1.657
171.543,2.993
171.554,4.253
171.565,4.797
171.576,4.219
171.587,2.936
171.597,1.319
171.608,0.037
171.805,0.231
171.816,0.012
171.893,0.038
171.904,0.022
172.013,0.532
172.024,0.747
172.035,0.69
172.046,0.586
172.057,0.366
172.068,0.206
172.451,0.12
172.462,0.314
172.473,0.334
172.484,0.259
172.495,0.261
172.506,0.281
172.517,0.348
172.528,0.423
172.538,0.344
172.549,0.123
172.703,0.132
172.714,0.255
172.724,0.312
172.735,0.479
172.746,0.652
172.757,0.923
172.768,1.056
172.779,0.879
172.79,0.47
172.856,0.099
172.867,0.525
172.878,1.057
172.889,1.306
172.9,1.808
172.91,1.957
172.921,2.23
172.932,2.138
172.943,1.893
172.954,1.141
172.965,0.405
173.075,0.122
173.085,0.532
173.096,0.892
173.107,1.176
173.118,1.614
173.129,1.888
173.14,1.899
173.151,1.585
173.162,1.115
173.173,0.953
173.184,1.189
173.195,1.496
173.206,1.353
173.217,0.69
173.315,0.608
173.326,1.517
173.337,3.337
173.348,5.576
173.359,6.793
173.37,5.861
173.381,3.308
173.392,0.613
173.545,0.05
173.556,0.471
173.567,0.982
173.578,1.615
173.589,2.068
173.6,2.03
173.611,1.388
173.622,0.715
173.632,0.382
173.643,0.215
173.654,0.217
173.665,0.359
173.676,0.422
173.687,0.208
173.786,0.376
173.797,0.741
173.808,1.058
173.819,1.187
173.829,1.05
173.84,0.769
173.851,0.311
173.862,0.084
173.873,0.083
174.059,0.19
174.07,0.228
174.081,0.065
174.158,0.248
174.169,0.756
174.18,1.074
174.191,1.249
174.201,1.274
174.212,1.082
174.223,0.922
174.234,0.996
174.245,0.951
174.256,0.691
174.267,0.214
174.573,0.144
174.584,0.635
174.595,1.085
174.606,1.38
174.617,1.665
174.628,1.736
174.639,1.471
174.65,1.323
174.661,1.048
174.672,0.684
174.683,0.372
174.694,0.132
174.902,0.048
174.913,0.152
174.924,0.2
174.934,0.13
175.35,0.175
175.361,0.484
175.372,0.675
175.383,0.791
175.394,0.855
175.405,0.813
175.416,0.562
175.427,0.212
175.558,0.165
175.569,0.406
175.58,0.715
175.591,1.006
175.602,1.326
175.613,2.071
175.624,3.165
175.635,4.107
175.646,4.629
175.657,4.624
175.668,4.119
175.679,3.103
175.689,1.662
175.7,0.32
175.788,0.025
175.799,0.553
175.81,1.027
175.821,1.542
175.832,1.985
175.843,1.991
175.854,1.694
175.864,1.152
175.875,0.547
175.886,0.111
175.952,0.036
176.313,0.366
176.324,0.933
176.335,1.068
176.346,1.019
176.357,0.948
176.368,0.929
176.379,0.737
176.39,0.44
176.401,0.264
176.412,0.33
176.423,0.68
176.433,1.205
176.444,1.734
176.455,2.048
176.466,2.135
176.477,2.11
176.488,2.041
176.499,1.899
176.51,1.694
176.521,1.314
176.532,0.775
176.543,0.223
176.915,0.163
176.926,0.209
176.937,0.118
176.948,0.228
176.959,0.294
176.97,0.148
177.21,0.158
177.221,0.391
177.232,0.595
177.243,0.618
177.254,0.513
177.265,0.32
177.276,0.082
177.44,0.189
177.451,0.409
177.462,0.496
177.473,0.462
177.484,0.357
177.495,0.303
177.506,0.284
177.517,0.325
177.528,0.377
177.538,0.281
177.549,0.006
177.878,0.037
177.889,0.172
177.899,0.212
177.91,0.252
177.921,0.21
177.932,0.073
177.965,0.065
177.976,0.506
177.987,1.387
177.998,1.37
178.282,0.131
178.293,0.253
178.304,0.353
178.315,0.455
178.326,0.428
178.337,0.437
178.348,0.347
178.622,0.329
178.633,0.736
178.643,0.757
178.654,0.487
178.665,0.308
178.676,0.317
178.687,0.35
178.698,0.37
178.709,0.38
178.72,0.353
178.731,0.178
178.84,0.069
178.851,0.549
178.862,1.309
178.873,2.242
178.884,3.092
178.895,3.474
178.906,3.363
178.917,2.851
178.928,2.185
178.939,1.618
178.95,1.258
178.961,1.094
178.972,1.028
178.983,0.885
178.994,0.612
179.005,0.425
179.015,0.178
179.114,0.567
179.125,0.848
179.136,0.669
179.147,0.117
179.18,0.231
179.191,0.441
179.202,0.394
179.212,0.422
179.223,1.07
179.234,2.413
179.245,3.891
179.256,4.582
179.267,3.507
179.278,1.582
179.289,0.108
179.387,0.16
179.398,0.932
179.409,0.988
179.42,0.578
179.431,0.12
179.617,0.044
179.628,0.579
179.639,1.487
179.65,3.0
179.661,5.075
179.672,7.022
179.683,5.898
179.694,3.231
179.705,1.016
179.858,0.343
179.869,1.016
179.88,1.535
179.891,1.485
179.902,1.129
179.913,0.874
179.924,1.048
179.935,1.495
179.945,1.379
179.956,0.235
179.989,0.081
180.0,0.277
180.142,0.015
180.153,0.341
180.164,0.71
180.175,0.776
180.186,0.494
180.197,0.129
180.569,0.229
180.58,0.341
180.591,0.222
180.602,0.096
180.766,0.064
180.821,0.071
180.832,0.431
180.843,0.645
180.854,0.656
180.864,0.555
180.875,0.38
180.886,0.175
180.897,0.073
180.908,0.011
180.919,0.179
180.93,0.466
180.941,0.739
180.952,0.968
180.963,1.181
180.974,1.174
180.985,0.968
180.996,0.573
181.007,0.48
181.018,0.792
181.029,0.815
181.04,0.49
181.05,0.131
181.061,0.023
181.072,0.297
181.083,0.708
181.094,1.236
181.105,1.741
181.116,2.117
181.127,2.291
181.138,2.056
181.149,1.593
181.16,0.982
181.171,0.365
181.258,0.251
181.269,0.382
181.28,0.254
181.412,0.046
181.423,0.235
181.433,0.36
181.444,0.557
181.455,0.725
181.466,0.699
181.477,0.389
181.488,0.047
181.598,0.11
181.609,0.196
181.619,0.223
181.63,0.257
181.641,0.277
181.652,0.2
181.663,0.049
181.816,0.148
181.827,0.341
181.838,0.553
181.849,0.593
181.86,0.569
181.871,0.561
181.882,0.696
181.893,0.695
181.904,0.378
182.09,0.247
182.287,0.12
182.298,0.053
182.506,0.338
182.517,0.916
182.527,1.263
182.538,1.344
182.549,1.173
182.56,0.889
182.571,0.715
182.582,0.466
182.593,0.096
182.703,0.195
182.713,1.318
182.724,1.831
182.735,2.079
182.746,2.168
182.757,1.584
182.768,0.663
182.965,0.228
183.173,0.815
183.184,2.492
183.195,2.598
183.206,2.996
183.217,3.435
183.228,3.883
183.239,4.346
183.25,4.247
183.261,3.124
183.272,1.506
183.282,0.429
183.468,0.232
183.479,0.356
183.49,0.248
183.545,0.028
183.556,0.231
183.567,0.324
183.578,0.294
183.589,0.164
183.698,0.222
183.709,0.594
183.72,0.822
183.731,0.736
183.742,0.341
183.753,0.0
183.775,0.028
184.005,0.247
184.016,0.688
184.026,0.836
184.037,0.712
184.048,0.545
184.059,0.679
184.07,1.106
184.081,1.463
184.092,1.465
184.103,1.043
184.114,0.316
184.158,0.144
184.169,0.07
184.201,0.165
184.212,0.601
184.223,1.189
184.234,1.352
184.245,1.01
184.256,0.472
184.267,0.119
184.278,0.12
184.289,0.269
184.3,0.414
184.333,0.099
184.344,0.759
184.355,1.287
184.366,1.187
184.377,0.679
184.387,0.454
184.398,0.692
184.409,0.998
184.42,0.902
184.431,0.451
184.573,0.039
184.584,0.394
184.595,0.655
184.606,0.567
184.617,0.221
184.694,0.541
184.705,1.038
184.716,1.143
184.727,1.102
184.738,0.846
184.748,0.369
185.022,0.065
185.033,0.123
185.044,0.119
185.055,0.016
185.263,0.0
185.317,0.121
185.328,0.337
185.339,0.475
185.35,0.58
185.361,0.562
185.372,0.241
185.416,0.09
185.427,0.274
185.438,0.198
185.558,0.272
185.569,0.757
185.58,1.879
185.591,2.582
185.602,2.566
185.613,2.508
185.624,3.056
185.635,4.286
185.646,5.871
185.657,7.036
185.668,7.119
185.679,5.863
185.689,4.224
185.7,3.176
185.711,2.115
185.722,0.78
186.029,0.052
186.04,0.178
186.05,0.075
186.149,0.043
186.16,0.677
186.215,1.186
186.226,1.618
186.236,1.812
186.247,1.715
186.258,0.678
186.379,0.149
186.39,0.416
186.401,0.501
186.412,0.354
186.422,0.157
186.499,0.233
186.51,0.747
186.521,1.237
186.532,1.559
186.543,1.479
186.554,1.098
186.565,0.88
186.576,1.004
186.587,1.347
186.598,1.542
186.608,1.306
186.619,0.852
186.63,0.302
186.641,0.08
186.652,0.065
186.926,0.056
186.937,0.528
186.948,1.089
186.959,1.678
186.97,2.187
186.98,2.65
186.991,2.852
187.002,2.138
187.013,1.268
187.024,0.992
187.035,0.965
187.046,1.051
187.057,0.624
187.068,0.013
187.254,0.014
187.265,0.042
187.276,0.014
187.352,0.124
187.363,0.903
187.374,1.94
187.385,2.871
187.396,3.452
187.407,3.271
187.418,2.409
187.429,1.551
187.44,0.883
187.451,0.374
188.064,0.309
188.075,0.482
188.085,0.254
188.096,0.153
188.107,0.16
188.118,0.16
188.129,0.038
188.195,0.207
188.206,0.919
188.217,1.608
188.228,1.838
188.239,1.586
188.25,1.061
188.261,0.526
188.272,0.28
188.282,0.188
188.293,0.355
188.304,0.431
188.315,0.183
188.326,0.108
188.337,0.078
188.348,0.055
188.479,0.565
188.49,2.292
188.501,3.103
188.512,4.007
188.523,4.922
188.534,4.501
188.545,2.99
188.556,1.564
188.567,0.805
188.578,0.576
188.589,0.336
188.6,0.067
188.611,0.236
188.622,0.223
188.633,0.116
189.158,0.156
189.169,0.573
189.18,1.713
189.19,2.785
189.201,2.545
189.212,1.631
189.223,0.75
189.234,0.25
189.245,0.143
189.256,0.197
189.267,0.123
189.705,0.06
189.716,0.58
189.727,1.317
189.738,2.465
189.749,3.788
189.759,4.512
189.77,3.845
189.781,2.846
189.792,1.876
189.803,0.996
189.814,0.704
189.825,0.664
189.836,0.504
189.847,0.116
189.967,0.178
189.978,0.253
189.989,0.415
190.0,0.528
190.033,0.527
190.044,0.433
190.055,0.235
190.164,0.219
190.175,0.431
190.186,0.559
190.197,0.514
190.208,0.211
190.405,0.357
190.416,0.517
190.427,0.279
190.438,0.298
190.449,0.282
190.46,0.467
190.471,0.728
190.482,0.826
190.492,0.763
190.503,0.64
190.514,0.449
190.525,0.301
190.536,0.178
190.646,0.239
190.657,0.709
190.668,1.144
190.679,1.279
190.689,1.093
190.7,0.631
190.711,0.165
190.744,0.231
191.061,0.316
191.072,0.764
191.083,1.329
191.094,1.77
191.105,0.951
191.226,0.453
191.237,1.308
191.247,2.009
191.258,2.196
191.269,1.94
191.28,1.483
191.291,0.975
191.302,0.35
191.433,0.856
191.444,1.524
191.455,2.246
191.466,1.733
191.477,1.04
191.488,0.661
191.499,0.561
191.51,0.602
191.521,0.476
191.532,0.582
191.543,0.667
191.554,0.792
191.565,0.756
191.576,0.483
191.587,0.185
191.784,0.544
191.794,1.079
191.805,1.401
191.816,1.398
191.827,1.197
191.838,1.065
191.849,1.484
191.86,2.544
191.871,3.363
191.882,3.327
191.893,2.487
191.904,1.434
191.915,1.097
191.926,1.733
191.937,1.843
191.948,1.494
191.959,0.948
191.97,0.229
192.035,0.195
192.046,0.825
192.057,1.555
192.068,2.189
192.079,2.615
192.09,2.972
192.101,3.107
192.112,3.194
192.123,3.285
192.134,3.075
192.145,2.637
192.156,1.831
192.166,1.015
192.177,0.399
192.188,0.089
192.199,0.242
192.21,0.515
192.221,0.724
192.232,1.024
192.243,1.257
192.254,1.537
192.265,0.837
192.363,0.209
192.374,0.358
192.385,0.159
192.615,0.104
192.626,0.053
192.845,0.393
192.856,1.029
192.867,1.858
192.878,2.366
192.889,2.32
192.899,1.851
192.91,1.339
192.921,0.987
192.932,0.596
192.943,0.114
192.976,0.003
193.053,0.096
193.064,0.58
193.075,0.602
193.085,0.77
193.096,1.221
193.107,1.733
193.118,1.749
193.129,1.183
193.14,0.372
193.25,0.115
193.261,0.735
193.271,1.267
193.282,1.503
193.293,1.396
193.304,1.185
193.315,1.011
193.326,0.788
193.337,0.415
193.523,0.181
193.556,0.017
193.567,0.06
193.753,0.042
193.764,0.425
193.775,0.674
193.786,0.752
193.797,0.607
193.808,0.387
193.819,0.33
193.829,0.017
193.95,0.092
193.961,0.356
193.972,0.366
193.983,0.036
194.026,0.367
194.037,1.009
194.048,1.118
194.059,0.937
194.07,0.632
194.081,0.237
194.212,0.249
194.223,0.515
194.234,0.341
194.245,0.599
194.256,1.072
194.267,1.508
194.278,1.922
194.289,2.123
194.3,1.974
194.311,1.654
194.322,1.085
194.333,0.389
194.42,0.072
194.431,0.464
194.442,0.728
194.453,0.845
194.464,0.93
194.475,1.036
194.486,1.248
194.497,1.572
194.508,1.901
194.519,2.359
194.53,2.793
194.541,2.687
194.552,1.913
194.562,1.063
194.573,0.57
194.584,0.249
195.164,0.078
195.175,0.214
195.186,0.29
195.197,0.266
195.208,0.178
195.219,0.055
195.23,0.367
195.241,0.475
195.252,0.58
195.263,0.427
195.317,0.15
195.328,0.348
195.339,0.529
195.35,0.65
195.361,0.804
195.372,0.902
195.383,0.764
195.394,0.288
195.646,0.151
195.657,0.517
195.668,0.984
195.678,1.409
195.689,1.578
195.7,1.54
195.711,1.409
195.722,1.196
195.733,0.897
195.744,0.515
195.755,0.045
195.875,0.343
195.886,1.059
195.897,1.716
195.908,1.396
195.919,0.589
195.963,0.224
195.974,0.348
195.985,0.271
195.996,0.133
196.007,0.03
196.018,0.1
196.029,0.369
196.04,0.685
196.05,0.868
196.061,0.96
196.072,1.132
196.083,1.293
196.094,1.37
196.105,1.204
196.116,0.823
196.127,0.606
196.138,0.513
196.149,0.324
196.215,0.356
196.226,1.137
196.236,1.89
196.247,2.331
196.258,2.439
196.269,2.162
196.28,1.585
196.291,0.908
196.302,0.205
196.357,0.071
196.368,0.174
196.499,0.062
196.51,0.115
196.521,0.131
196.532,0.235
196.543,0.28
196.554,0.205
196.663,0.084
196.674,0.259
196.685,0.303
196.696,0.409
196.707,0.665
196.718,0.897
196.729,0.816
196.74,0.434
196.751,0.006
196.937,0.016
196.948,0.473
196.959,0.902
196.97,1.155
196.98,1.207
196.991,1.03
197.002,0.555
197.09,0.183
197.101,0.609
197.112,0.737
197.123,0.684
197.134,0.357
197.177,0.041
197.188,0.25
197.199,0.505
197.21,0.699
197.221,0.758
197.232,0.733
197.243,0.552
197.254,0.244
197.352,0.177
197.363,0.453
197.374,0.732
197.385,0.91
197.396,0.9
197.407,0.625
197.418,0.146
197.56,0.269
197.571,0.804
197.582,1.361
197.593,1.814
197.604,2.017
197.615,1.865
197.626,1.407
197.637,0.98
197.648,0.717
197.659,0.504
197.67,0.359
197.681,0.256
197.692,0.105
198.14,0.362
198.151,0.783
198.162,0.843
198.173,0.64
198.184,0.315
198.315,0.154
198.326,0.73
198.337,1.298
198.348,1.595
198.359,1.557
198.37,1.399
198.381,1.247
198.392,1.149
198.403,0.821
198.414,0.237
198.49,0.011
198.501,0.665
198.512,1.008
198.523,0.206
198.567,0.496
198.578,1.077
198.589,1.606
198.6,2.02
198.611,2.232
198.622,2.185
198.633,1.916
198.643,1.576
198.654,1.253
198.665,0.979
198.676,0.813
198.687,0.747
198.698,0.565
198.709,0.288
198.72,0.098
198.731,0.054
199.059,0.146
199.07,1.063
199.081,1.352
199.092,1.253
199.103,1.119
199.114,1.056
199.125,1.145
199.136,0.886
199.147,0.216
199.234,0.349
199.245,0.929
199.256,1.785
199.267,2.669
199.278,2.879
199.289,1.972
199.3,0.972
199.311,0.619
199.322,0.328
199.475,0.026
199.486,0.556
199.497,1.472
199.508,2.565
199.519,3.189
199.53,3.288
199.541,2.858
199.552,2.226
199.562,1.474
199.573,0.803
199.584,0.24
199.683,0.287
199.694,0.917
199.705,1.591
199.716,1.595
199.727,1.155
199.738,0.548
199.869,0.126
200.022,0.17
200.033,0.651
200.044,0.96
200.055,0.992
200.066,0.792
200.077,0.446
200.088,0.105
200.492,0.083
200.503,0.592
200.514,1.319
200.525,1.929
200.536,2.288
200.547,2.298
200.558,1.816
200.569,1.235
200.58,0.726
200.591,0.296
200.624,0.206
200.635,0.414
200.646,0.42
200.657,0.254
200.821,0.407
200.832,0.908
200.843,1.171
200.854,1.086
200.864,0.819
200.875,0.619
200.886,0.567
200.897,0.446
200.908,0.072
201.029,0.164
201.04,0.594
201.05,0.809
201.061,0.836
201.072,0.777
201.083,0.764
201.094,0.614
201.105,0.153
201.554,0.376
201.565,0.792
201.576,0.976
201.587,1.119
201.597,1.438
201.608,1.543
201.619,1.526
201.63,1.916
201.641,2.058
201.652,1.584
201.663,0.866
201.674,0.339
201.685,0.305
201.696,0.666
201.707,1.08
201.718,1.348
201.729,1.168
201.74,0.686
201.751,0.129
201.827,0.286
201.838,0.611
201.849,0.788
201.86,0.878
201.871,0.921
201.882,0.948
201.893,0.899
201.904,0.926
201.915,0.948
201.926,0.797
201.937,0.597
201.948,0.361
201.959,0.07
202.002,0.144
202.013,0.582
202.024,1.072
202.035,1.402
202.046,1.581
202.057,1.694
202.068,1.781
202.079,1.716
202.09,1.31
202.101,0.649
202.112,0.165
202.287,0.388
202.298,0.69
202.309,0.771
202.32,0.688
202.331,0.528
202.341,0.328
202.352,0.101
202.527,0.178
202.538,0.613
202.549,0.996
202.56,1.274
202.571,1.296
202.582,1.274
202.593,1.271
202.604,1.259
202.615,1.255
202.626,1.141
202.637,0.801
202.648,0.385
202.779,0.0
202.79,0.347
202.801,0.555
202.812,0.57
202.823,0.454
202.834,0.19
202.856,0.087
202.867,0.048
203.075,0.255
203.085,0.472
203.096,0.575
203.107,0.675
203.118,0.661
203.129,0.461
203.14,0.091
203.348,0.076
203.359,0.159
203.37,0.132
203.381,0.074
203.392,0.032
203.403,0.012
203.414,0.109
203.425,0.265
203.436,0.179
203.611,0.179
203.622,0.569
203.633,1.145
203.643,1.783
203.654,2.448
203.665,2.857
203.676,3.008
203.687,2.87
203.698,2.433
203.709,1.734
203.72,0.866
203.731,0.052
203.851,0.189
203.862,0.613
203.873,0.717
203.884,0.446
203.895,0.439
203.906,0.475
203.917,0.368
203.928,0.196
204.322,0.428
204.333,0.935
204.344,1.041
204.355,0.758
204.366,0.572
204.377,0.7
204.387,0.767
204.398,0.72
204.409,0.784
204.42,0.716
204.431,0.263
204.541,0.497
204.552,1.093
204.562,1.688
204.573,1.995
204.584,1.946
204.595,1.534
204.606,0.858
204.617,0.28
204.628,0.169
204.639,0.187
204.65,0.213
204.661,0.222
204.672,0.136
204.858,0.251
204.869,0.754
204.88,1.211
204.891,1.344
204.902,1.013
204.913,0.324
205.033,0.216
205.044,0.36
205.055,0.225
205.274,0.21
205.285,0.527
205.296,0.59
205.306,0.259
205.394,0.273
205.405,0.64
205.416,0.843
205.427,0.665
205.438,0.143
205.525,0.244
205.536,1.159
205.547,2.17
205.558,2.362
205.569,1.712
205.58,0.689
205.843,0.474
205.854,1.341
205.864,1.87
205.875,2.033
205.886,1.757
205.897,1.055
205.908,0.243
206.16,0.111
206.171,0.482
206.182,0.807
206.193,0.914
206.204,0.686
206.215,0.138
206.401,0.202
206.411,0.667
206.422,1.025
206.433,1.16
206.444,1.158
206.455,1.181
206.466,1.322
206.477,1.568
206.488,1.672
206.499,1.506
206.51,0.983
206.521,0.239
206.587,0.076
206.597,0.452
206.608,0.899
206.619,1.409
206.63,1.943
206.641,2.41
206.652,2.983
206.663,2.032
206.674,0.437
206.685,0.36
206.696,0.429
206.707,0.54
206.718,0.739
206.729,0.518
206.74,0.109
206.751,0.092
206.849,0.11
206.86,0.832
206.871,1.711
206.882,2.554
206.893,2.942
206.904,2.635
206.915,1.873
206.926,0.972
206.937,0.165
207.112,0.262
207.123,0.414
207.134,0.493
207.145,0.647
207.155,0.854
207.166,1.056
207.177,1.102
207.188,0.779
207.199,0.198
207.341,0.035
207.352,0.071
207.56,0.477
207.571,1.525
207.582,3.051
207.593,4.332
207.604,3.686
207.615,2.42
207.626,1.768
207.637,1.147
207.648,0.54
207.659,0.268
207.67,0.248
207.681,0.29
207.692,0.351
207.703,0.361
207.713,0.246
207.724,0.034
207.888,0.034
207.899,0.248
207.91,0.12
208.053,0.122
208.064,0.418
208.075,0.866
208.085,1.368
208.096,1.543
208.107,1.301
208.118,0.759
208.129,0.164
208.228,0.49
208.239,0.83
208.25,0.993
208.261,0.683
208.271,0.074
208.359,0.172
208.37,0.46
208.381,0.618
208.392,0.531
208.403,0.241
208.447,0.209
208.457,0.588
208.468,0.714
208.479,0.654
208.49,0.964
208.501,1.766
208.512,1.777
208.523,1.504
208.534,1.3
208.545,0.907
208.556,0.286
208.633,0.162
208.643,0.873
208.654,1.575
208.665,2.023
208.676,2.066
208.687,1.704
208.698,1.001
208.709,0.197
208.862,0.025
208.873,0.024
208.906,0.096
208.917,0.075
208.928,0.112
208.939,0.114
209.212,0.115
209.223,0.727
209.234,1.409
209.245,2.05
209.256,1.814
209.267,1.387
209.278,1.419
209.289,1.066
209.3,0.455
209.442,0.295
209.453,0.866
209.464,1.37
209.475,1.581
209.486,1.546
209.497,1.389
209.508,1.653
209.519,2.186
209.53,2.202
209.541,2.216
209.552,2.169
209.562,1.633
209.573,0.743
209.672,0.068
209.683,0.435
209.694,0.624
209.705,0.592
209.716,0.326
209.759,0.193
209.77,0.58
209.781,0.968
209.792,1.097
209.803,0.89
209.814,0.461
210.164,0.191
210.175,0.372
210.186,0.393
210.197,0.344
210.208,0.441
210.219,0.641
210.23,0.86
210.241,0.941
210.252,0.818
210.263,0.676
210.274,0.782
210.285,0.892
210.296,0.879
210.306,0.761
210.317,0.417
210.471,0.338
210.482,0.753
210.492,1.096
210.503,1.037
210.514,0.503
210.788,0.015
210.799,0.733
210.81,1.558
210.821,2.26
210.832,2.606
210.843,2.772
210.854,2.685
210.864,2.447
210.875,2.632
210.886,2.734
210.897,2.652
210.908,2.506
210.919,2.055
210.93,1.39
210.941,0.811
210.952,0.383
210.963,0.139
210.974,0.04
211.083,0.403
211.094,0.825
211.105,1.078
211.116,1.1
211.127,0.775
211.138,0.389
211.149,0.102
211.685,0.035
211.937,0.333
211.948,0.717
211.959,0.824
211.969,0.604
211.98,0.221
212.265,0.339
212.276,1.119
212.287,1.466
