Depth_m,nh4
19.807,0.211
19.823,0.512
19.84,0.914
19.856,1.318
19.872,1.724
19.888,2.031
19.905,2.34
19.921,2.345
19.937,2.247
19.953,1.738
19.97,1.127
19.986,0.514
20.002,0.002
20.164,0.187
20.181,0.899
20.197,1.713
20.213,2.526
20.229,3.032
20.245,2.927
20.262,2.109
20.278,0.987
20.294,0.377
20.472,0.015
20.488,0.326
20.504,0.536
20.52,0.643
20.537,0.749
20.553,0.854
20.569,1.368
20.585,1.983
20.601,2.699
20.617,3.313
20.633,3.927
20.65,4.336
20.666,4.849
20.682,5.463
20.698,5.771
20.714,5.363
20.73,4.137
20.746,2.195
20.762,0.355
20.972,0.152
20.988,0.456
21.004,0.76
21.02,1.167
21.036,1.472
21.053,1.574
21.069,1.165
21.085,0.449
21.213,0.467
21.229,0.878
21.246,1.187
21.262,1.087
21.278,0.679
21.294,0.168
22.477,0.378
22.493,0.784
22.509,1.088
22.525,1.288
22.54,1.59
22.556,1.892
22.572,2.196
22.588,1.99
22.604,1.479
22.62,0.559
22.779,0.146
22.795,0.862
22.811,1.785
22.827,2.503
22.842,3.121
22.858,3.534
22.874,3.538
22.89,3.236
22.906,2.933
22.922,2.527
22.938,1.916
22.953,0.997
22.969,0.078
23.191,0.083
23.207,0.285
23.223,0.59
23.239,0.997
23.254,1.099
23.27,1.203
23.286,1.309
23.302,1.517
23.318,2.032
23.334,2.444
23.349,2.754
23.365,2.552
23.381,2.146
23.397,1.637
23.413,1.229
23.428,0.923
23.444,0.822
23.46,0.72
23.476,0.618
23.492,0.415
23.507,0.109
23.807,0.539
23.823,1.355
23.839,2.274
23.855,3.398
23.87,4.318
23.886,4.831
23.902,4.528
23.918,3.305
23.933,1.368
24.122,0.075
24.138,0.174
24.154,0.274
24.169,0.578
24.185,0.883
24.201,1.395
24.217,2.011
24.232,2.629
24.248,3.248
24.264,3.665
24.279,3.367
24.295,2.762
24.311,2.052
24.327,1.543
24.342,1.135
24.358,0.621
24.374,0.003
24.844,0.156
24.86,0.46
24.875,0.661
24.891,0.863
24.907,1.064
24.922,1.061
24.938,1.059
24.954,0.954
24.969,0.746
24.985,0.538
25.0,0.229
25.313,0.157
25.328,0.358
25.344,0.455
25.36,0.347
25.5,0.118
25.515,0.323
25.531,0.631
25.547,0.632
25.562,0.428
25.578,0.019
26.137,0.055
26.153,0.258
26.168,0.357
26.184,0.455
26.199,0.349
26.215,0.243
26.23,0.033
26.323,0.015
26.339,0.017
26.354,0.119
26.37,0.426
26.385,0.733
26.401,1.142
26.416,1.551
26.432,2.063
26.447,2.576
26.463,2.985
26.478,3.19
26.494,2.782
26.509,2.068
26.525,0.948
26.695,0.267
26.71,0.372
26.726,0.374
26.741,0.378
26.757,0.28
26.772,0.184
27.035,0.132
27.05,0.133
27.065,0.236
27.081,0.337
27.096,0.54
27.112,0.74
27.127,0.937
27.143,1.232
27.158,1.32
27.173,1.201
27.189,0.982
27.204,0.356
27.635,0.021
27.65,0.327
27.666,0.531
27.681,0.736
27.696,0.838
27.712,0.839
27.727,0.841
27.742,0.742
27.758,0.541
27.773,0.342
27.789,0.041
28.049,0.056
28.065,0.159
28.08,0.057
28.248,0.516
28.264,1.134
28.279,1.751
28.294,2.264
28.31,2.47
28.325,2.266
28.34,1.653
28.355,0.836
28.371,0.018
28.554,0.152
28.569,0.859
28.585,1.672
28.6,2.589
28.615,3.506
28.631,3.707
28.646,2.887
28.661,1.351
28.676,0.019
28.783,0.124
28.798,0.332
28.814,0.54
28.829,0.747
28.844,1.157
28.859,1.463
28.875,1.665
28.89,1.557
28.905,1.345
28.92,0.825
28.936,0.204
29.179,0.387
29.194,0.998
29.21,1.611
29.225,2.224
29.24,2.428
29.255,2.223
29.27,1.707
29.286,0.987
29.301,0.062
29.438,0.17
29.453,0.58
29.468,0.885
29.483,0.883
29.498,0.572
29.514,0.464
29.529,0.458
29.544,0.551
29.559,0.44
29.574,0.226
29.802,0.114
29.817,0.522
29.832,0.827
29.847,0.827
29.862,0.724
29.878,0.316
29.984,0.122
29.999,0.431
30.014,0.638
30.029,0.641
30.044,0.54
30.059,0.644
30.074,0.541
30.089,0.233
30.286,0.367
30.301,0.884
30.316,0.993
30.331,0.487
30.633,0.006
30.648,0.211
30.663,0.414
30.678,0.618
30.693,0.718
30.708,0.614
30.724,0.202
30.904,0.617
30.919,1.846
30.934,3.689
30.949,5.736
30.964,7.681
30.979,8.808
30.995,8.504
31.01,7.278
31.025,5.438
31.04,3.187
31.055,1.447
31.07,0.422
31.085,0.012
31.22,0.129
31.235,0.54
31.25,0.644
31.265,0.645
31.28,0.442
31.295,0.034
31.31,0.648
31.325,1.16
31.34,1.875
31.355,2.488
31.37,2.896
31.385,3.202
31.4,3.201
31.625,0.371
31.64,0.882
31.655,1.39
31.67,1.898
31.685,2.302
31.7,2.4
31.715,1.986
31.73,0.961
31.91,0.361
31.924,0.772
31.939,0.977
31.954,1.181
31.969,1.077
31.984,0.564
32.208,0.005
32.223,0.518
32.238,1.029
32.253,1.336
32.268,1.54
32.283,1.744
32.298,2.153
32.313,2.663
32.328,3.379
32.343,4.503
32.358,5.219
32.372,4.708
32.387,3.073
32.402,1.44
32.417,0.523
32.432,0.323
32.447,0.33
32.462,0.441
32.477,0.449
32.492,0.556
32.507,0.56
32.522,0.46
32.536,0.258
32.656,0.488
32.67,1.207
32.685,2.234
32.7,3.364
32.715,4.288
32.73,4.395
32.745,3.274
32.76,1.539
32.775,0.417
32.789,0.215
32.804,0.217
32.819,0.321
32.834,0.322
32.849,0.221
32.864,0.119
32.879,0.017
32.953,0.013
32.968,0.521
32.983,0.722
32.998,0.821
33.013,0.716
33.027,0.612
33.042,0.613
33.057,0.921
33.072,1.23
33.087,1.436
33.102,1.641
33.116,1.538
33.131,1.23
33.146,0.614
33.28,0.108
33.294,0.825
33.309,1.54
33.324,2.255
33.339,3.073
33.354,3.892
33.369,3.791
33.383,2.873
33.398,1.442
33.413,0.114
33.532,0.01
33.857,0.261
33.872,0.774
33.886,1.081
33.901,0.979
33.916,0.466
34.064,0.058
34.079,0.264
34.093,0.37
34.108,0.475
34.123,0.273
34.638,0.039
34.653,0.039
34.873,0.184
34.888,0.303
34.903,0.523
34.917,0.742
34.932,0.856
34.947,0.864
34.961,0.562
34.976,0.156
35.284,0.009
35.445,0.12
35.46,0.426
35.474,0.939
35.489,1.35
35.503,1.661
35.518,1.972
35.533,2.08
35.547,1.779
35.562,1.273
35.577,0.662
35.591,0.05
35.781,0.135
35.796,0.137
35.81,0.037
36.204,0.108
36.219,0.319
36.233,0.527
36.248,0.632
36.262,0.43
36.277,0.024
36.727,0.283
36.742,0.794
36.756,1.305
36.771,1.919
36.785,2.432
36.8,2.741
36.814,2.948
36.829,2.848
36.843,2.543
36.858,2.137
36.872,1.73
36.887,1.529
36.901,1.327
