Depth_m,nssCa
132.714,0.603
132.724,0.712
133.009,0.199
133.02,0.172
133.031,0.367
133.053,0.266
133.064,0.023
133.075,0.035
133.14,0.113
133.206,0.092
133.217,0.399
133.228,0.243
133.239,0.272
133.25,0.258
133.261,0.354
133.271,0.51
133.282,0.213
133.293,0.435
133.304,0.228
133.414,0.068
133.425,0.077
133.436,0.297
133.447,0.707
133.457,0.596
133.468,0.231
133.633,0.379
133.643,0.294
133.654,0.078
133.665,0.476
133.676,0.667
133.687,0.65
133.698,0.132
133.764,0.034
133.775,0.393
133.786,0.369
133.797,0.169
133.808,0.083
133.819,0.112
133.829,0.212
133.84,0.18
133.862,0.334
133.873,0.337
133.884,0.453
133.895,0.548
133.906,0.437
133.917,0.382
133.928,0.657
133.939,0.465
133.95,0.031
134.103,0.752
134.114,1.015
134.125,1.57
134.136,1.345
134.147,0.728
134.158,1.268
134.169,1.027
134.18,1.428
134.191,1.154
134.245,0.191
134.256,0.5
134.267,1.319
134.278,1.135
134.289,1.254
134.3,2.393
134.311,2.053
134.322,2.107
134.333,1.834
134.344,0.706
134.355,0.257
134.366,0.152
134.387,0.04
134.398,0.218
134.409,0.213
134.42,0.261
134.431,0.111
134.442,0.046
134.584,0.005
134.595,0.042
134.606,0.103
134.628,0.104
134.639,0.196
134.65,0.275
134.661,0.358
134.672,0.142
134.759,0.619
134.77,0.393
134.781,0.448
134.792,0.649
134.803,0.555
134.814,0.993
134.825,0.925
134.836,1.009
134.847,1.102
134.858,1.058
134.869,1.622
134.88,1.468
134.891,1.954
134.902,0.251
134.934,0.33
134.945,0.77
134.956,0.645
134.967,0.659
134.978,1.015
134.989,0.961
135.0,1.428
135.011,1.972
135.022,1.889
135.033,2.113
135.044,1.969
135.055,1.84
135.066,2.323
135.077,2.538
135.088,2.69
135.099,2.518
135.11,1.972
135.12,1.263
135.131,0.71
135.142,0.984
135.153,0.81
135.164,1.268
135.175,1.457
135.186,0.847
135.197,0.742
135.208,0.444
135.46,0.324
135.471,0.301
135.482,0.457
135.492,1.054
135.503,0.961
135.514,0.967
135.525,0.996
135.536,0.195
135.547,0.273
135.558,0.191
135.941,0.046
135.952,0.026
135.963,0.187
135.974,0.083
135.985,0.278
136.247,0.227
136.258,0.485
136.269,0.304
136.28,0.27
136.291,0.047
136.751,0.009
136.805,0.307
136.816,0.736
136.827,0.985
136.838,1.258
136.849,1.247
136.86,1.104
136.871,1.129
136.882,0.611
136.893,0.391
136.904,0.222
136.926,0.586
136.937,0.893
136.948,0.989
137.013,0.898
137.385,0.294
137.396,0.468
137.407,0.746
137.418,0.869
137.451,0.656
137.462,0.86
137.473,0.861
137.484,0.783
137.495,0.968
137.506,1.084
137.517,0.981
137.528,1.361
137.538,1.203
137.549,1.124
137.56,1.795
137.571,1.559
137.582,1.394
137.593,1.732
137.604,1.384
137.615,1.494
137.626,1.647
137.637,1.383
137.648,2.25
137.659,2.837
137.67,2.73
137.681,2.939
137.692,3.365
137.703,3.806
137.714,4.425
137.724,5.4
137.735,5.854
137.746,6.88
137.757,7.238
137.768,7.102
137.779,6.849
137.79,6.398
137.801,5.924
137.812,5.257
137.823,4.883
137.834,4.6
137.845,4.246
137.856,4.072
137.867,3.421
137.878,3.049
137.889,2.141
137.9,1.362
137.91,1.155
137.921,1.025
137.932,0.493
137.943,0.182
137.976,0.058
137.987,0.195
137.998,0.048
138.118,0.248
138.129,0.158
138.14,0.446
138.151,0.368
138.162,0.379
138.304,0.053
138.315,0.149
138.392,0.224
138.403,0.525
138.414,0.949
138.709,0.2
138.917,0.031
139.103,0.119
139.431,0.514
139.442,0.534
139.453,0.719
139.672,0.072
139.759,0.011
139.803,0.139
139.814,0.347
139.825,0.424
139.836,0.896
139.847,0.573
139.858,0.512
139.869,0.448
139.88,0.526
139.891,0.82
139.902,1.238
139.913,1.168
139.924,1.498
139.945,1.86
139.956,2.46
140.033,3.111
140.044,2.945
140.055,2.323
140.066,2.576
140.077,2.681
140.088,0.799
140.099,1.601
140.11,1.015
140.12,0.4
140.131,0.272
140.142,0.22
140.153,0.011
140.591,0.027
140.613,0.078
140.624,0.141
140.635,0.942
140.646,0.955
140.657,0.861
141.007,0.55
141.018,0.429
141.04,0.14
141.05,0.322
141.061,0.235
141.072,0.187
141.083,0.106
141.127,0.1
141.138,0.386
141.149,0.286
141.16,0.147
141.28,0.011
141.291,0.068
141.302,0.234
141.313,0.471
141.324,0.649
141.335,0.485
141.346,0.703
141.357,0.577
141.368,0.435
141.379,0.345
141.39,0.156
141.401,0.063
141.499,0.345
141.51,0.721
141.521,0.199
141.543,0.138
141.565,0.216
141.576,0.589
141.587,0.368
141.597,0.009
141.619,0.083
141.63,0.331
141.641,0.415
141.707,0.112
141.729,0.238
141.74,0.436
141.751,0.385
141.762,0.826
141.773,1.034
141.783,1.048
141.794,0.991
141.805,1.198
141.816,1.674
141.827,1.858
141.838,1.513
141.849,0.751
141.86,0.352
141.871,0.335
141.948,0.101
142.002,0.117
142.013,0.033
142.024,0.198
142.035,0.44
142.046,0.869
142.057,0.837
142.068,0.628
142.079,0.189
142.123,0.381
142.156,0.301
142.298,0.303
142.309,0.642
142.32,0.207
142.44,0.064
142.451,0.298
142.462,0.452
142.473,0.842
142.484,0.742
142.495,0.235
142.517,0.03
142.527,0.062
142.538,0.124
142.549,0.087
142.56,0.304
142.571,0.389
142.67,0.277
142.681,0.324
142.703,0.244
142.714,0.742
142.724,0.279
142.867,0.149
142.91,0.204
142.921,0.247
142.932,0.021
142.943,0.292
142.954,0.476
142.965,0.297
142.976,0.363
142.987,0.457
142.998,0.513
143.009,1.156
143.02,1.95
143.031,1.875
143.042,1.955
143.053,2.379
143.064,2.157
143.075,1.764
143.086,1.811
143.096,2.788
143.107,2.362
143.118,1.261
143.129,2.111
143.14,2.621
143.151,2.688
143.162,3.209
143.173,3.375
143.184,2.658
143.195,2.528
143.206,3.345
143.217,3.785
143.228,3.308
143.239,2.897
143.25,2.291
143.261,1.903
143.272,1.425
143.282,2.289
143.293,1.05
143.304,0.1
143.326,0.042
143.337,1.194
143.348,0.41
143.359,0.264
143.49,0.098
143.501,0.184
143.512,0.453
143.523,0.769
143.534,0.716
143.545,0.833
143.556,0.491
143.567,0.782
143.578,1.343
143.589,1.266
143.6,1.212
143.611,1.197
143.622,1.169
143.632,0.381
143.676,0.121
143.731,0.53
143.742,0.774
143.753,0.905
143.764,1.064
143.775,0.385
143.808,0.517
143.819,0.638
143.84,0.058
143.851,0.318
144.037,0.638
144.048,0.728
144.059,0.283
144.147,0.256
144.158,0.26
144.169,0.061
144.18,0.391
144.19,0.419
144.201,0.159
144.245,0.029
144.278,0.003
144.289,0.191
144.3,0.13
144.311,0.259
144.322,0.261
144.333,0.003
144.42,0.114
144.431,0.364
144.442,0.118
144.584,0.001
144.65,0.014
144.661,0.247
144.672,0.092
144.683,0.163
144.759,0.21
144.77,0.007
144.934,0.403
144.945,0.497
144.956,0.36
144.967,0.45
144.978,0.935
144.989,1.175
145.0,0.518
145.011,0.489
145.274,0.023
145.285,0.042
145.317,0.064
145.492,0.059
145.503,0.27
145.514,0.164
145.525,0.189
145.536,0.125
145.547,0.417
145.558,0.334
145.569,0.339
145.58,0.18
145.591,0.351
145.602,0.466
145.613,0.244
145.624,0.001
145.722,0.023
145.733,0.097
146.193,0.047
146.204,0.085
146.215,0.057
146.379,0.015
146.401,0.173
146.411,0.158
146.422,0.284
146.608,0.382
146.619,0.884
146.652,1.326
146.663,1.626
146.674,0.947
146.696,0.047
146.773,0.032
146.915,0.426
146.926,0.042
146.937,0.538
146.948,1.01
146.959,1.119
146.969,0.963
146.98,0.632
146.991,0.325
147.002,0.32
147.013,0.598
147.024,0.116
147.035,0.121
147.046,0.434
147.057,0.959
147.068,0.453
147.155,0.16
147.166,0.314
147.177,0.832
147.188,0.873
147.199,0.565
147.21,0.541
147.221,0.532
147.232,0.51
147.254,0.577
147.265,0.677
147.287,0.512
147.309,0.172
147.331,0.012
147.342,0.125
147.352,0.148
147.363,0.208
147.374,0.888
147.385,0.49
147.44,0.235
147.451,0.225
147.462,0.055
147.506,0.253
147.517,0.419
147.528,0.581
147.538,0.387
147.549,0.09
147.56,0.062
147.593,0.094
147.604,0.419
147.615,0.254
147.626,0.325
147.637,0.131
147.703,0.01
147.714,0.014
147.724,0.159
147.768,0.529
147.779,0.68
147.79,0.626
147.801,0.464
147.812,0.141
147.834,0.036
147.91,0.041
147.921,0.166
147.932,0.069
147.965,0.021
147.976,0.517
147.987,0.8
147.998,1.173
148.009,0.652
148.02,0.647
148.031,0.49
148.042,0.565
148.053,1.169
148.064,0.78
148.075,0.567
148.086,0.502
148.096,0.261
148.107,0.12
148.118,0.394
148.129,0.135
148.184,0.339
148.195,0.308
148.206,0.17
148.447,0.549
148.458,0.681
148.468,0.825
148.479,0.357
148.49,0.31
148.501,0.092
148.556,0.33
148.567,0.83
148.578,0.497
148.589,0.315
148.6,0.696
148.611,0.983
148.622,0.934
148.633,0.845
148.643,0.423
148.654,0.241
148.665,0.625
148.676,0.641
148.687,0.79
148.698,1.113
148.709,1.19
148.72,0.552
148.731,0.202
148.742,0.522
148.753,0.668
148.764,0.503
148.775,0.55
148.786,0.879
148.797,0.585
148.808,0.355
148.819,0.58
148.829,0.762
148.84,0.976
148.851,1.061
148.862,0.845
148.873,0.56
148.884,0.175
148.983,0.048
148.994,0.08
149.059,0.117
149.103,0.166
149.114,0.693
149.125,0.725
149.311,0.006
149.322,0.09
149.333,0.014
149.355,0.136
149.366,0.013
149.377,0.232
149.387,0.233
149.398,0.219
149.409,0.2
149.497,0.081
149.508,0.222
149.519,0.291
149.53,0.26
149.541,0.341
149.552,0.395
149.563,0.284
149.738,0.186
149.749,0.198
149.759,0.107
149.77,0.134
149.781,0.293
149.792,0.446
149.803,0.404
149.814,0.102
150.011,0.252
150.022,0.351
150.033,0.138
150.044,0.224
150.055,0.078
150.164,0.047
150.175,0.217
150.186,0.02
150.208,0.117
150.219,0.011
150.241,0.148
150.252,0.089
150.263,0.075
150.307,0.077
150.383,0.043
150.394,0.142
150.46,0.525
150.471,1.035
150.482,0.345
150.493,0.627
150.503,0.58
150.514,0.159
150.525,0.423
150.536,0.526
150.547,0.743
150.558,0.913
150.569,0.676
150.58,0.326
150.591,0.125
150.7,0.184
150.711,0.212
150.722,0.249
150.733,0.509
150.744,0.721
150.755,0.754
150.766,0.162
150.777,0.213
150.941,0.082
150.952,0.423
150.963,0.871
150.974,0.786
150.985,0.611
150.996,0.767
151.007,0.943
151.018,0.509
151.029,0.528
151.061,0.385
151.072,0.577
151.083,0.651
151.094,0.282
151.105,0.041
151.127,0.064
151.204,0.526
151.215,0.718
151.226,0.292
151.236,0.305
151.247,0.307
151.258,0.158
151.335,1.6
151.346,1.662
151.357,0.702
151.368,0.42
151.379,0.909
151.39,1.047
151.401,0.799
151.412,0.353
151.422,0.805
151.433,0.959
151.444,0.99
151.455,0.785
151.466,0.729
151.477,0.327
151.488,0.35
151.499,0.261
151.51,0.68
151.554,0.128
151.597,0.251
151.608,0.646
151.619,0.389
151.63,0.261
151.641,1.022
151.652,1.061
151.663,0.817
151.674,0.147
151.685,0.18
151.696,0.028
151.707,0.268
151.805,0.144
151.816,1.015
151.827,1.262
151.838,1.363
151.849,1.019
151.86,1.029
151.871,1.392
151.882,1.165
151.893,0.796
151.904,0.11
151.915,0.418
151.926,0.307
151.937,0.034
151.948,0.298
151.959,0.065
151.97,2.105
151.98,1.599
151.991,0.677
152.002,0.668
152.013,0.966
152.024,1.06
152.035,0.536
152.046,0.749
152.057,0.928
152.068,0.796
152.079,0.446
152.134,0.14
152.287,0.26
152.298,0.245
152.309,0.326
152.32,0.383
152.331,0.482
152.341,0.648
152.352,0.692
152.363,0.694
152.374,0.587
152.385,0.14
152.396,0.415
152.768,0.139
152.779,0.17
152.79,0.357
152.801,0.472
152.812,0.518
152.823,0.581
152.834,0.865
152.845,1.466
152.856,1.277
152.867,0.852
152.878,0.564
152.888,0.56
152.899,0.046
152.965,0.319
152.976,0.524
152.998,0.435
153.009,0.757
153.042,0.565
153.053,0.201
153.064,0.617
153.085,0.109
153.096,0.7
153.107,0.682
153.118,0.574
153.173,0.51
153.184,0.323
153.195,0.017
153.293,0.278
153.304,0.426
153.326,0.141
153.337,0.343
153.479,0.034
153.49,0.005
153.512,0.359
153.523,0.256
153.534,0.299
153.545,0.01
153.556,0.013
153.567,0.072
153.578,0.051
153.589,0.05
153.797,0.101
153.84,0.193
153.851,0.019
154.158,1.29
154.169,1.504
154.18,1.677
154.19,1.986
154.201,1.804
154.212,1.524
154.223,2.213
154.234,2.858
154.245,3.245
154.256,3.167
154.267,3.732
154.278,3.931
154.289,3.617
154.3,3.927
154.311,4.983
154.322,5.113
154.333,2.411
154.344,2.189
154.355,2.345
154.366,1.789
154.377,1.218
154.387,0.685
154.398,0.515
154.409,0.37
154.42,0.344
154.431,0.364
154.442,0.539
154.453,0.596
154.464,0.332
154.475,0.112
154.486,0.104
154.53,0.003
154.541,0.094
154.628,0.066
154.639,0.522
154.65,0.152
154.705,0.025
154.716,0.204
154.727,0.143
154.738,0.034
154.748,0.061
154.924,0.003
154.934,0.104
154.945,0.019
154.956,0.051
154.967,0.291
154.978,0.199
154.989,0.319
155.0,0.094
155.077,0.179
155.088,0.105
155.099,0.262
155.11,0.041
155.285,0.143
155.296,0.201
155.317,0.027
155.449,0.213
155.46,0.136
155.471,0.12
155.503,0.067
155.514,0.165
155.525,0.111
155.821,0.039
156.302,0.474
156.313,0.425
156.324,0.562
156.335,0.516
156.346,0.523
156.357,0.81
156.368,1.089
156.379,1.018
156.39,0.971
156.401,0.622
156.411,0.633
156.422,0.426
156.433,0.143
156.444,0.127
156.455,0.394
156.466,0.194
156.554,0.14
156.565,0.414
156.576,0.428
156.587,0.348
156.598,0.267
156.608,0.655
156.619,0.283
156.674,0.137
156.685,0.071
156.696,0.019
156.74,0.321
156.751,0.675
156.762,0.581
156.773,0.302
156.784,0.359
156.794,0.547
156.805,0.584
156.816,0.881
156.827,0.318
156.948,0.014
156.959,0.108
156.97,0.047
156.98,0.253
156.991,1.183
157.002,2.331
157.013,2.183
157.024,2.069
157.035,0.796
157.188,0.211
157.199,0.396
157.21,0.326
157.221,0.397
157.232,0.349
157.243,0.504
157.254,0.433
157.265,0.288
157.429,0.156
157.462,0.082
157.473,0.106
157.484,0.262
157.495,0.329
157.506,0.509
157.517,0.605
157.528,0.314
157.538,0.64
157.549,0.399
157.56,0.521
157.571,0.107
157.582,0.487
157.593,0.262
157.703,0.099
157.714,0.107
157.856,0.255
157.867,0.941
157.878,1.064
157.889,1.188
157.9,1.306
157.91,1.346
157.921,1.206
157.932,1.111
157.943,0.959
157.954,0.771
157.965,0.475
157.998,0.056
158.009,0.365
158.02,0.272
158.031,0.298
158.064,0.323
158.075,0.217
158.086,0.177
158.096,0.251
158.107,0.481
158.118,0.597
158.129,0.429
158.14,0.451
158.304,0.19
158.348,0.288
158.359,0.091
158.381,0.052
158.392,0.305
158.403,0.321
158.414,0.94
158.425,1.324
158.436,1.507
158.446,1.468
158.457,0.163
158.479,0.248
158.49,0.396
158.501,0.606
158.512,0.254
158.632,0.128
158.643,0.286
158.654,0.289
158.665,1.122
158.72,0.189
158.731,0.368
158.742,0.312
158.753,0.245
158.764,0.087
158.84,0.281
158.851,0.343
158.862,0.49
158.873,1.374
158.884,1.097
158.895,0.972
158.906,0.492
158.917,0.85
158.928,0.013
158.939,0.17
158.95,0.439
158.961,0.747
158.972,0.814
158.983,0.502
158.994,0.544
159.005,0.236
159.015,0.699
159.026,1.109
159.037,0.929
159.048,0.528
159.059,0.726
159.07,0.795
159.081,0.566
159.092,0.091
159.125,0.477
159.136,0.974
159.147,1.882
159.158,2.111
159.169,1.502
159.18,0.474
159.267,0.117
159.65,0.1
159.661,0.356
159.672,0.373
159.683,0.042
159.705,0.097
159.847,0.072
160.033,0.505
160.044,0.957
160.055,0.833
160.066,0.369
160.088,0.377
160.099,0.218
160.11,0.521
160.12,0.372
160.131,0.492
160.142,0.624
160.186,0.52
160.197,0.899
160.208,0.617
160.219,0.259
160.23,0.443
160.241,0.144
160.252,0.247
160.263,0.17
160.274,0.094
160.449,0.231
160.46,0.771
160.471,0.583
160.482,0.358
160.711,1.031
160.722,2.414
160.733,4.209
160.744,6.22
160.755,5.83
160.788,3.822
160.799,1.156
160.81,1.05
160.821,1.259
160.832,1.435
160.843,1.082
160.854,0.592
160.864,0.692
160.875,0.613
160.886,0.197
160.897,0.402
160.908,0.558
160.919,0.331
160.93,0.364
160.941,0.526
160.952,0.513
160.963,0.528
160.974,0.453
160.985,0.382
160.996,0.115
161.007,0.24
161.018,0.614
161.029,0.577
161.04,0.834
161.05,0.955
161.061,0.792
161.072,0.888
161.083,0.734
161.094,0.831
161.105,0.919
161.116,1.239
161.127,1.338
161.138,0.636
161.149,0.395
161.313,0.065
161.324,0.57
161.335,0.539
161.346,0.2
161.357,0.055
161.39,0.094
161.412,0.035
161.433,0.324
161.444,0.711
161.455,0.72
161.466,0.626
161.477,0.38
161.488,0.726
161.499,0.916
161.51,0.724
161.521,0.381
161.532,0.098
161.619,0.084
161.63,0.144
161.652,0.363
161.663,0.338
161.674,0.463
161.685,0.321
161.696,0.434
161.707,0.727
161.718,0.548
161.729,0.492
161.74,0.135
161.871,0.061
161.937,0.181
162.09,0.028
162.101,0.326
162.112,0.453
162.123,0.09
162.145,0.039
162.155,0.01
162.352,0.263
162.374,0.494
162.385,0.263
162.538,0.12
162.549,0.015
162.593,0.259
162.604,0.287
162.615,0.362
162.626,0.731
162.637,1.206
162.648,1.39
162.659,1.167
162.67,0.844
162.681,0.078
162.746,0.164
162.856,0.037
162.867,0.196
162.878,0.155
162.889,0.071
162.9,0.072
163.02,0.05
163.031,0.42
163.042,0.893
163.053,1.153
163.064,1.31
163.075,0.995
163.085,1.145
163.096,1.242
163.107,1.725
163.118,1.902
163.129,2.153
163.14,1.903
163.151,1.719
163.162,1.342
163.173,1.194
163.184,1.248
163.195,1.312
163.206,0.99
163.217,0.625
163.228,0.115
163.381,0.002
163.403,0.011
163.414,0.146
163.425,0.04
163.436,0.116
163.512,0.052
163.775,0.163
163.84,0.108
163.851,0.161
163.862,0.225
163.873,0.38
163.884,0.313
163.895,0.284
163.906,0.328
163.917,0.754
163.928,1.062
163.939,0.935
163.95,0.66
163.961,0.39
163.972,0.065
164.07,0.049
164.092,0.166
164.103,0.25
164.114,0.255
164.125,0.11
164.136,0.139
164.147,0.072
164.158,0.487
164.169,0.548
164.18,0.378
164.355,0.092
164.366,0.42
164.377,0.577
164.387,0.834
164.398,0.636
164.409,0.33
164.42,0.136
164.464,0.254
164.475,0.482
164.486,0.313
164.497,0.153
164.508,0.353
164.519,0.208
164.53,0.196
164.541,0.133
164.563,0.081
164.573,0.262
164.584,0.437
164.595,0.559
164.606,0.771
164.617,0.526
164.628,0.215
164.716,0.153
164.836,0.079
164.989,0.084
165.022,0.046
165.033,0.002
165.055,0.119
165.066,0.108
165.077,0.56
165.088,0.831
165.099,0.624
165.11,0.653
165.121,0.201
165.131,0.079
165.383,0.177
165.394,0.241
165.405,0.249
165.416,0.135
165.471,0.198
165.482,0.087
165.493,0.204
165.503,0.112
165.558,0.023
165.569,0.316
165.58,0.16
165.591,0.268
165.602,0.159
165.613,0.583
165.624,0.733
165.635,1.086
165.646,1.411
165.657,1.084
165.668,0.96
165.679,0.293
165.711,0.249
165.722,0.232
165.733,0.186
165.919,0.311
165.93,0.598
165.941,0.546
165.952,0.234
166.04,0.068
166.051,0.491
166.061,0.702
166.072,0.663
166.083,0.562
166.094,0.431
166.105,0.549
166.116,0.694
166.127,0.837
166.138,0.944
166.149,0.731
166.16,0.353
166.269,0.212
166.28,0.534
166.291,0.657
166.302,0.743
166.313,0.823
166.324,0.53
166.335,0.029
166.346,0.382
166.379,0.489
166.39,1.067
166.401,1.324
166.412,1.011
166.422,1.273
166.433,1.434
166.444,1.316
166.455,0.787
166.466,0.819
166.477,0.952
166.488,1.095
166.499,1.456
166.51,1.297
166.521,1.308
166.532,1.061
166.543,1.377
166.554,1.113
166.565,1.271
166.576,0.903
166.587,0.756
166.598,0.784
166.609,2.144
166.619,2.365
166.63,1.794
166.641,0.883
166.652,0.813
166.663,0.974
166.674,0.541
166.685,0.292
166.696,0.119
166.707,0.347
166.718,0.614
166.729,0.956
166.74,1.014
166.751,0.636
166.937,0.026
166.948,0.037
166.959,0.006
166.97,0.131
167.046,0.142
167.057,0.193
167.068,0.208
167.079,0.086
167.09,0.26
167.145,0.054
167.155,0.008
167.352,0.041
167.648,0.311
167.659,0.133
167.67,0.229
167.681,0.0
167.692,0.256
167.703,0.275
167.713,0.355
167.724,0.185
167.801,0.199
167.845,0.136
167.856,0.657
167.867,1.042
167.878,1.052
167.889,1.199
167.9,1.129
167.91,1.206
167.921,1.269
167.932,1.493
167.943,1.834
167.954,2.085
167.965,1.953
167.976,1.561
167.987,1.485
167.998,1.206
168.009,0.569
168.02,0.183
168.096,0.257
168.107,0.257
168.118,0.394
168.129,0.555
168.14,0.882
168.151,0.912
168.162,0.994
168.173,0.561
168.184,0.085
168.195,0.133
168.228,0.134
168.239,0.304
168.25,0.124
168.261,0.085
168.403,0.153
168.414,0.428
168.425,0.306
168.436,0.521
168.447,0.46
168.457,0.65
168.468,1.07
168.479,1.329
168.49,1.272
168.501,1.418
168.512,0.865
168.523,1.229
168.534,1.664
168.545,1.958
168.556,1.572
168.567,1.204
168.578,0.22
168.589,0.682
168.6,0.615
168.611,0.308
168.622,0.133
168.633,0.005
168.643,0.167
168.654,0.197
168.665,0.117
168.676,0.217
168.687,0.1
168.786,0.202
168.797,0.445
168.808,0.464
168.819,0.795
168.829,0.348
168.84,0.072
168.851,0.425
168.862,0.471
168.873,0.862
168.917,0.489
168.928,0.439
168.939,0.1
169.004,0.03
169.015,0.421
169.026,0.058
169.092,0.026
169.125,0.041
169.136,0.258
169.147,0.749
169.158,0.774
169.169,0.582
169.18,0.467
169.191,0.329
169.202,0.467
169.212,0.649
169.223,0.882
169.234,1.154
169.245,1.369
169.256,1.314
169.267,1.425
169.278,1.186
169.289,1.072
169.3,0.712
169.311,0.197
169.387,0.268
169.398,0.396
169.442,0.047
169.497,0.044
169.508,0.458
169.53,0.382
169.541,0.272
169.552,0.355
169.891,0.248
169.902,0.597
169.913,0.564
169.924,0.276
169.934,0.716
169.945,0.386
169.956,0.351
169.967,0.524
169.978,0.547
170.0,0.185
170.011,0.282
170.022,0.145
170.044,0.182
170.055,0.224
170.066,0.276
170.077,0.498
170.088,0.555
170.099,0.927
170.11,0.514
170.12,0.441
170.131,0.912
170.142,0.992
170.153,1.056
170.164,0.386
170.175,0.207
170.186,0.2
170.197,0.951
170.208,0.798
170.219,0.652
170.23,0.19
170.241,0.241
170.263,0.324
170.274,0.024
170.679,0.56
170.689,0.142
170.908,0.22
171.029,0.041
171.039,0.41
171.05,0.763
171.061,0.72
171.072,0.558
171.083,0.769
171.094,0.267
171.193,0.191
171.204,0.465
171.215,0.474
171.225,0.772
171.236,0.687
171.247,0.745
171.258,0.62
171.269,0.604
171.28,0.49
171.291,0.852
171.302,0.529
171.313,0.04
171.368,0.217
171.379,0.06
171.39,0.002
171.554,0.129
171.565,1.347
171.576,0.474
171.729,0.104
171.74,0.233
171.762,0.026
171.773,0.223
171.783,0.467
171.794,0.012
171.805,0.292
171.816,0.427
171.827,0.424
171.838,0.743
171.849,1.133
171.86,1.567
171.871,1.478
171.882,0.113
171.893,0.316
171.904,0.477
171.915,0.303
171.97,0.474
171.98,0.571
171.991,0.63
172.002,0.317
172.013,0.046
172.024,0.268
172.035,0.139
172.046,0.237
172.21,0.249
172.221,0.58
172.232,0.709
172.243,0.805
172.254,0.474
172.265,0.04
172.374,0.003
172.385,0.592
172.396,0.689
172.407,0.457
172.418,0.243
172.429,0.115
172.44,0.298
172.451,0.15
172.473,0.068
172.484,0.011
172.506,0.025
172.538,0.003
172.549,0.049
172.659,0.265
172.67,0.216
172.703,0.188
172.714,0.936
172.724,0.766
172.735,0.545
172.823,0.266
172.845,0.134
172.856,0.255
172.867,0.456
172.878,0.179
172.987,0.119
172.998,0.289
173.009,0.842
173.02,0.958
173.031,1.078
173.042,1.028
173.053,1.223
173.064,0.928
173.075,0.922
173.085,0.602
173.096,0.924
173.107,1.568
173.118,1.429
173.129,1.574
173.14,1.341
173.151,0.512
173.162,0.246
173.206,0.197
173.228,0.745
173.239,0.625
173.25,0.7
173.261,0.53
173.271,0.601
173.282,0.43
173.293,0.908
173.304,0.956
173.315,1.006
173.326,0.449
173.337,0.801
173.348,0.158
173.381,0.11
173.425,0.2
173.436,0.432
173.446,0.502
173.457,0.178
173.468,0.816
173.479,0.58
173.49,0.53
173.501,0.523
173.512,0.643
173.523,1.067
173.534,1.236
173.545,1.19
173.556,1.018
173.567,0.803
173.578,1.44
173.589,0.901
173.611,0.433
173.622,1.053
173.632,1.569
173.643,1.262
173.654,0.965
173.665,0.698
173.676,0.416
173.687,0.162
173.709,0.517
173.72,0.531
173.731,0.154
173.742,0.56
173.753,0.92
173.764,0.973
173.775,0.874
173.786,0.492
173.797,0.768
173.808,0.557
173.819,0.356
173.829,0.415
173.84,0.001
173.895,0.227
173.906,0.935
173.917,0.789
173.928,0.628
173.939,0.458
173.95,0.379
173.961,0.556
173.972,0.393
173.983,0.503
174.059,0.009
174.07,0.25
174.081,0.312
174.092,0.548
174.103,0.807
174.114,0.827
174.125,0.734
174.136,1.336
174.147,1.371
174.158,1.306
174.169,1.406
174.18,1.391
174.191,1.149
174.201,0.938
174.212,0.429
174.278,0.044
174.53,0.428
174.541,1.151
174.552,1.37
174.562,1.53
174.573,1.11
174.584,1.261
174.595,0.86
174.606,0.644
174.617,0.178
174.672,0.046
174.825,0.308
174.88,0.011
175.285,0.19
175.296,0.1
175.306,0.057
175.339,0.244
175.35,0.152
175.514,0.448
175.525,1.088
175.536,1.341
175.547,1.376
175.558,1.167
175.569,1.471
175.58,1.24
175.591,0.78
175.7,0.868
175.711,0.827
175.766,0.401
175.777,1.002
175.788,1.449
175.799,1.121
175.821,1.2
175.832,0.697
175.864,0.066
175.875,0.309
175.93,0.199
175.941,0.098
176.018,0.015
176.029,0.148
176.04,0.118
176.269,0.804
176.28,1.268
176.291,1.609
176.302,1.352
176.313,2.346
176.324,2.648
176.335,2.85
176.346,2.835
176.357,2.51
176.368,1.156
176.379,0.754
176.39,0.304
176.401,0.016
176.674,0.072
176.685,0.001
176.871,0.035
177.101,0.22
177.112,0.233
177.123,0.266
177.134,0.492
177.145,0.858
177.155,0.757
177.166,0.658
177.177,0.37
177.188,0.418
177.331,0.071
177.341,0.159
177.385,0.226
177.396,0.082
177.407,0.026
177.418,0.182
177.429,0.196
177.44,0.267
177.451,0.631
177.462,0.972
177.473,1.123
177.484,0.122
177.56,0.186
177.571,0.849
177.582,0.899
177.593,0.47
177.604,0.187
177.615,0.23
177.626,0.699
177.637,1.286
177.648,1.235
177.659,0.867
177.67,0.986
177.681,1.157
177.692,0.903
177.703,1.007
177.714,0.659
177.724,0.649
177.735,0.545
177.746,0.45
177.757,0.487
177.768,0.518
177.779,0.515
177.79,0.753
177.801,1.676
177.812,2.546
177.823,2.944
177.834,2.634
177.845,2.755
177.856,3.802
177.867,5.207
177.878,4.992
177.889,5.846
177.899,7.13
177.91,8.336
178.02,4.906
178.031,0.442
178.228,0.099
178.239,0.178
178.25,0.078
178.261,0.002
178.6,0.584
178.611,0.945
178.622,1.458
178.633,0.406
178.643,0.128
178.797,0.019
178.808,0.86
178.819,1.362
178.829,1.623
178.84,2.607
178.851,2.862
178.862,2.099
178.873,0.792
179.081,0.104
