Depth(m),Cond(uS)
164.445,0.847
164.455,0.827
164.465,0.814
164.475,0.784
164.485,0.739
164.495,0.694
164.505,0.656
164.515,0.641
164.525,0.654
164.535,0.684
164.545,0.728
164.555,0.788
164.565,0.871
164.575,0.938
164.585,0.952
164.595,0.93
164.605,0.909
164.615,0.901
164.625,0.917
164.635,0.949
164.645,0.977
164.655,0.947
164.665,0.871
164.675,0.828
164.685,0.812
164.695,0.798
164.705,0.793
164.715,0.799
164.725,0.8
164.735,0.791
164.745,0.803
164.755,0.855
164.765,0.935
164.775,1.014
164.785,1.04
164.795,1.029
164.805,1.021
164.815,1.022
164.825,1.018
164.835,0.992
164.845,0.948
164.855,0.916
164.865,0.919
164.875,0.939
164.885,0.935
164.895,0.912
164.905,0.89
164.915,0.876
164.925,0.89
164.935,0.929
164.945,0.97
164.955,0.984
164.965,0.982
164.975,0.96
164.985,0.913
164.995,0.849
165.005,0.796
165.015,0.759
165.025,0.745
165.035,0.76
165.045,0.792
165.055,0.84
165.065,0.886
165.075,0.923
165.085,0.943
165.095,0.954
165.105,0.977
165.115,1.003
165.125,1.035
165.135,1.065
165.145,1.07
165.155,1.026
165.165,0.968
165.175,0.93
165.185,0.924
165.195,0.932
165.205,0.937
165.215,0.95
165.225,0.972
165.235,0.992
165.245,1.011
165.255,1.028
165.265,1.045
165.275,1.05
165.285,1.024
165.295,0.97
165.305,0.922
165.315,0.932
165.325,1.025
165.335,1.125
165.345,1.173
165.355,1.163
165.365,1.137
165.375,1.126
165.385,1.112
165.395,1.087
165.405,1.049
165.415,1.003
165.425,0.968
165.435,0.942
165.445,0.923
165.455,0.902
165.465,0.882
165.475,0.903
165.485,0.962
165.495,1.009
165.505,1.046
165.515,1.08
165.525,1.114
165.535,1.149
165.545,1.182
165.555,1.21
165.565,1.261
165.575,1.338
165.585,1.394
165.595,1.428
165.605,1.435
165.615,1.422
165.625,1.391
165.635,1.341
165.645,1.28
165.655,1.235
165.665,1.21
165.675,1.213
165.685,1.198
165.695,1.139
165.705,1.065
165.715,1.026
165.725,0.99
165.735,0.923
165.745,0.823
165.755,0.71
165.765,0.65
165.775,0.669
165.785,0.728
165.795,0.802
165.805,0.847
165.815,0.867
165.825,0.895
165.835,0.939
165.845,0.985
165.855,1.04
165.865,1.092
165.875,1.104
165.885,1.06
165.895,0.972
165.905,0.89
165.915,0.822
165.925,0.764
165.935,0.738
165.945,0.74
165.955,0.764
165.965,0.8
165.975,0.83
165.985,0.855
165.995,0.862
166.005,0.849
166.015,0.844
166.025,0.847
166.035,0.839
166.045,0.851
166.055,0.917
166.065,0.99
166.075,1.038
166.085,1.063
166.095,1.069
166.105,1.059
166.115,1.025
166.125,0.984
166.135,0.944
166.145,0.866
166.155,0.751
166.165,0.69
166.175,0.69
166.185,0.705
166.195,0.715
166.205,0.702
166.215,0.68
166.225,0.709
166.235,0.77
166.245,0.826
166.255,0.88
166.265,0.914
166.275,0.94
166.285,0.958
166.295,0.972
166.305,0.986
166.315,1.003
166.325,1.044
166.335,1.132
166.345,1.261
166.355,1.355
166.365,1.381
166.375,1.36
166.385,1.276
166.395,1.129
166.405,0.977
166.415,0.868
166.425,0.824
166.435,0.823
166.445,0.867
166.455,0.956
166.465,1.041
166.475,1.04
166.485,0.973
166.495,0.947
166.505,0.979
166.515,1.073
166.525,1.203
166.535,1.343
166.545,1.475
166.555,1.541
166.565,1.515
166.575,1.419
166.585,1.284
166.595,1.169
166.605,1.104
166.615,1.066
166.625,1.061
166.635,1.093
166.645,1.116
166.655,1.096
166.665,1.04
166.675,0.978
166.685,0.911
166.695,0.855
166.705,0.812
166.715,0.77
166.725,0.735
166.735,0.723
166.745,0.723
166.755,0.735
166.765,0.769
166.775,0.845
166.785,0.946
166.795,1.01
166.805,0.985
166.815,0.911
166.825,0.87
166.835,0.869
166.845,0.869
166.855,0.867
166.865,0.874
166.875,0.882
166.885,0.903
166.895,0.929
166.905,0.947
166.915,0.975
166.925,1.029
166.935,1.077
166.945,1.093
166.955,1.063
166.965,0.994
166.975,0.924
166.985,0.879
166.995,0.862
167.005,0.833
167.015,0.779
167.025,0.765
167.035,0.833
167.045,0.919
167.055,0.979
167.065,1.018
167.075,1.053
167.085,1.071
167.095,1.072
167.105,1.078
167.115,1.085
167.125,1.069
167.135,1.028
167.145,0.988
167.155,0.946
167.165,0.904
167.175,0.862
167.185,0.799
167.195,0.731
167.205,0.683
167.215,0.662
167.225,0.661
167.235,0.672
167.245,0.707
167.255,0.773
167.265,0.829
167.275,0.846
167.285,0.844
167.295,0.829
167.305,0.822
167.315,0.846
167.325,0.902
167.335,0.968
167.345,1.043
167.355,1.11
167.365,1.129
167.375,1.086
167.385,1.03
167.395,1.019
167.405,1.045
167.415,1.075
167.425,1.057
167.435,0.995
167.445,0.924
167.455,0.862
167.465,0.779
167.475,0.69
167.485,0.65
167.495,0.643
167.505,0.648
167.515,0.669
167.525,0.708
167.535,0.751
167.545,0.788
167.555,0.837
167.565,0.923
167.575,1.011
167.585,1.063
167.595,1.073
167.605,1.05
167.615,1.002
167.625,0.944
167.635,0.898
167.645,0.869
167.655,0.858
167.665,0.857
167.675,0.858
167.685,0.863
167.695,0.872
167.705,0.893
167.715,0.913
167.725,0.926
167.735,0.942
167.745,0.951
167.755,0.945
167.765,0.932
167.775,0.922
167.785,0.9
167.795,0.873
167.805,0.874
167.815,0.903
167.825,0.946
167.835,0.975
167.845,0.99
167.855,0.997
167.865,1.0
167.875,0.997
167.885,0.99
167.895,0.982
167.905,0.97
167.915,0.959
167.925,0.954
167.935,0.951
167.945,0.915
167.955,0.821
167.965,0.73
167.975,0.699
167.985,0.712
167.995,0.765
168.005,0.85
168.015,0.902
168.025,0.882
168.035,0.858
168.045,0.858
168.055,0.863
168.065,0.859
168.075,0.844
168.085,0.822
168.095,0.797
168.105,0.78
168.115,0.787
168.125,0.826
168.135,0.887
168.145,0.955
168.155,0.987
168.165,0.954
168.175,0.868
168.185,0.775
168.195,0.726
168.205,0.765
168.215,0.841
168.225,0.872
168.235,0.838
168.245,0.792
168.255,0.779
168.265,0.786
168.275,0.803
168.285,0.832
168.295,0.856
168.305,0.846
168.315,0.8
168.325,0.781
168.335,0.803
168.345,0.846
168.355,0.89
168.365,0.921
168.375,0.928
168.385,0.921
168.395,0.905
168.405,0.889
168.415,0.866
168.425,0.863
168.435,0.893
168.445,0.978
168.455,1.071
168.465,1.131
168.475,1.18
168.485,1.235
168.495,1.311
168.505,1.374
168.515,1.381
168.525,1.351
168.535,1.284
168.545,1.152
168.555,1.033
168.565,1.012
168.575,1.061
168.585,1.161
168.595,1.193
168.605,1.087
168.615,0.952
168.625,0.869
168.635,0.832
168.645,0.824
168.655,0.842
168.665,0.876
168.675,0.932
168.685,1.001
168.695,1.063
168.705,1.13
168.715,1.192
168.725,1.225
168.735,1.163
168.745,1.051
168.755,0.972
168.765,0.954
168.775,0.981
168.785,1.051
168.795,1.154
168.805,1.258
168.815,1.326
168.825,1.358
168.835,1.398
168.845,1.45
168.855,1.508
168.865,1.541
168.875,1.556
168.885,1.562
168.895,1.489
168.905,1.416
168.915,1.45
168.925,1.532
168.935,1.575
168.945,1.564
168.955,1.551
168.965,1.535
168.975,1.524
169.025,1.549
169.035,1.629
169.045,1.697
169.055,1.66
169.065,1.549
169.075,1.453
169.085,1.416
169.095,1.41
169.105,1.398
169.115,1.392
169.125,1.402
169.135,1.419
169.145,1.38
169.155,1.261
169.165,1.109
169.175,1.004
169.185,0.977
169.195,0.991
169.205,1.025
169.215,1.058
169.225,1.081
169.235,1.088
169.245,1.086
169.255,1.076
169.265,1.058
169.275,1.037
169.285,1.026
169.295,1.064
169.305,1.162
169.315,1.258
169.325,1.3
169.335,1.266
169.345,1.167
169.355,1.044
169.365,0.954
169.375,0.892
169.385,0.816
169.395,0.756
169.405,0.754
169.415,0.783
169.425,0.817
169.435,0.854
169.445,0.863
169.455,0.866
169.465,0.889
169.475,0.939
169.485,0.983
169.495,0.98
169.505,0.921
169.515,0.845
169.525,0.79
169.535,0.747
169.545,0.716
169.555,0.718
169.565,0.758
169.575,0.798
169.585,0.801
169.595,0.795
169.605,0.804
169.615,0.821
169.625,0.838
169.635,0.841
169.645,0.812
169.655,0.786
169.665,0.803
169.675,0.857
169.685,0.911
169.695,0.923
169.705,0.909
169.715,0.9
169.725,0.899
169.735,0.902
169.745,0.899
169.755,0.895
169.765,0.87
169.775,0.823
169.785,0.768
169.795,0.709
169.805,0.65
169.815,0.621
169.825,0.628
169.835,0.668
169.845,0.728
169.855,0.786
169.865,0.821
169.875,0.828
169.885,0.836
169.895,0.863
169.905,0.884
169.915,0.872
169.925,0.84
169.935,0.79
169.945,0.745
169.955,0.72
169.965,0.717
169.975,0.723
169.985,0.721
169.995,0.722
170.005,0.745
170.015,0.75
170.025,0.707
170.035,0.665
170.045,0.667
170.055,0.701
170.065,0.745
170.075,0.781
170.085,0.793
170.095,0.802
170.105,0.837
170.115,0.907
170.125,0.969
170.135,0.988
170.145,0.968
170.155,0.946
170.165,0.932
170.175,0.912
170.185,0.868
170.195,0.815
170.205,0.792
170.215,0.795
170.225,0.822
170.235,0.876
170.245,0.942
170.255,0.991
170.265,1.015
170.275,1.033
170.285,1.062
170.295,1.083
170.305,1.048
170.315,0.94
170.325,0.876
170.335,0.903
170.345,0.942
170.355,0.93
170.365,0.898
170.375,0.876
170.385,0.856
170.395,0.839
170.405,0.824
170.415,0.82
170.425,0.821
170.435,0.804
170.445,0.777
170.455,0.764
170.465,0.781
170.475,0.807
170.485,0.796
170.495,0.764
170.505,0.742
170.515,0.753
170.525,0.804
170.535,0.865
170.545,0.899
170.555,0.922
170.565,0.941
170.575,0.959
170.585,0.971
170.595,0.975
170.605,0.969
170.615,0.954
170.625,0.941
170.635,0.922
170.645,0.908
170.655,0.9
170.665,0.902
170.675,0.906
170.685,0.913
170.695,0.897
170.705,0.831
170.715,0.766
170.725,0.724
170.735,0.696
170.745,0.691
170.755,0.709
170.765,0.73
170.775,0.745
170.785,0.782
170.795,0.853
170.805,0.927
170.815,0.986
170.825,1.041
170.835,1.078
170.845,1.093
170.855,1.091
170.865,1.075
170.875,1.041
170.885,1.003
170.895,0.98
170.905,0.977
170.915,0.987
170.925,1.016
170.935,1.055
170.945,1.12
170.955,1.189
170.965,1.25
170.975,1.304
170.985,1.336
170.995,1.336
171.005,1.308
171.015,1.263
171.025,1.204
171.035,1.154
171.045,1.133
171.055,1.155
171.065,1.22
171.075,1.274
171.085,1.238
171.095,1.135
171.105,1.06
171.115,0.999
171.125,0.929
171.135,0.88
171.145,0.864
171.155,0.882
171.165,0.934
171.175,0.975
171.185,1.011
171.195,0.996
171.205,0.969
171.215,0.935
171.225,0.895
171.235,0.852
171.245,0.82
171.255,0.817
171.265,0.852
171.275,0.942
171.285,1.083
171.295,1.209
171.305,1.26
171.315,1.23
171.325,1.134
171.335,0.989
171.345,0.85
171.355,0.785
171.365,0.814
171.375,0.893
171.385,0.959
171.395,1.008
171.405,1.052
171.415,1.083
171.425,1.092
171.435,1.078
171.445,1.04
171.455,0.979
171.465,0.933
171.475,0.965
171.485,1.091
171.495,1.254
171.505,1.385
171.515,1.442
171.525,1.443
171.535,1.372
171.545,1.199
171.555,0.962
171.565,0.818
171.575,0.799
171.585,0.813
171.595,0.796
171.605,0.769
171.615,0.777
171.625,0.822
171.635,0.895
171.645,0.952
171.655,0.977
171.665,1.004
171.675,1.021
171.685,1.004
171.695,0.993
171.705,0.993
171.715,0.99
171.725,0.99
171.735,1.0
171.745,1.021
171.755,1.051
171.765,1.08
171.775,1.062
171.785,1.014
171.795,0.971
171.805,0.931
171.815,0.906
171.825,0.904
171.835,0.922
171.845,0.955
171.855,0.975
171.865,0.947
171.875,0.914
171.885,0.929
171.895,0.973
171.905,1.023
171.915,1.066
171.925,1.09
171.935,1.098
171.945,1.104
171.955,1.093
171.965,1.056
171.975,0.992
171.985,0.918
171.995,0.842
172.005,1.248
172.015,1.257
172.025,1.128
172.035,1.072
172.045,1.059
172.055,1.041
172.065,1.012
172.075,0.983
172.085,0.973
172.095,0.969
172.105,0.957
172.115,0.98
172.125,1.049
172.135,1.125
172.145,1.182
172.155,1.212
172.165,1.219
172.175,1.212
172.185,1.202
172.195,1.2
172.205,1.194
172.215,1.182
172.225,1.176
172.235,1.169
172.245,1.148
172.255,1.138
172.265,1.157
172.275,1.135
172.285,1.05
172.295,1.01
172.305,1.015
172.315,1.041
172.325,1.07
172.335,1.113
172.345,1.165
172.355,1.224
172.365,1.273
172.375,1.284
172.385,1.276
172.395,1.247
172.405,1.199
172.415,1.167
172.425,1.172
172.435,1.184
172.445,1.138
172.455,1.014
172.465,0.943
172.475,0.935
172.485,0.953
172.495,1.008
172.505,1.096
172.515,1.135
172.525,1.066
172.535,0.973
172.545,0.907
172.555,0.868
172.565,0.84
172.575,0.823
172.585,0.845
172.595,0.907
172.605,0.971
172.615,1.006
172.625,1.01
172.635,0.99
172.645,0.97
172.655,0.964
172.665,0.965
172.675,0.956
172.685,0.928
172.695,0.859
172.705,0.779
172.715,0.756
172.725,0.835
172.735,0.948
172.745,1.055
172.755,1.071
172.765,0.982
172.775,0.882
172.785,0.862
172.795,0.885
172.805,0.914
172.815,0.938
172.825,0.965
172.835,0.992
172.845,1.061
172.855,1.146
172.865,1.182
172.875,1.094
172.885,1.003
172.895,1.038
172.905,1.17
172.915,1.306
172.925,1.332
172.935,1.184
172.945,0.973
172.955,0.868
172.965,0.826
172.975,0.822
172.985,0.831
172.995,0.847
173.005,0.773
173.015,0.768
173.025,0.795
173.035,0.826
173.045,0.875
173.055,0.937
173.065,0.993
173.075,1.022
173.085,1.03
173.095,1.046
173.105,1.064
173.115,1.072
173.125,1.088
173.135,1.107
173.145,1.062
173.155,0.98
173.165,0.962
173.175,1.01
173.185,1.074
173.195,1.112
173.205,1.084
173.215,1.005
173.225,0.963
173.235,0.981
173.245,1.034
173.255,1.094
173.265,1.152
173.275,1.187
173.285,1.19
173.295,1.195
173.305,1.257
173.315,1.39
173.325,1.542
173.335,1.658
173.345,1.727
173.355,1.66
173.365,1.377
173.375,1.052
173.385,0.854
173.395,0.774
173.405,0.77
173.415,0.831
173.425,0.93
173.435,0.999
173.445,1.044
173.455,1.095
173.465,1.14
173.475,1.17
173.485,1.192
173.495,1.212
173.505,1.234
173.515,1.258
173.525,1.279
173.535,1.281
173.545,1.268
173.555,1.273
173.565,1.292
173.575,1.266
173.585,1.177
173.595,1.075
173.605,1.018
173.615,0.995
173.625,0.969
173.635,0.963
173.645,0.989
173.655,1.025
173.665,1.055
173.675,1.055
173.685,1.007
173.695,0.965
173.705,0.96
173.715,0.978
173.725,0.99
173.735,0.999
173.745,0.998
173.755,1.004
173.765,1.027
173.775,1.051
173.785,1.053
173.795,1.041
173.805,1.026
173.815,0.996
173.825,0.935
173.835,0.884
173.845,0.89
173.855,0.951
173.865,1.018
173.875,1.045
173.885,1.02
173.895,0.978
173.905,0.955
173.915,0.942
173.925,0.929
173.935,0.908
173.945,0.884
173.955,0.864
173.965,0.849
173.975,0.845
173.985,0.847
173.995,0.839
174.005,0.804
174.015,0.762
174.025,0.754
174.035,0.782
174.045,0.825
174.055,0.839
174.065,0.833
174.075,0.864
174.085,0.93
174.095,0.962
174.105,0.966
174.115,0.986
174.125,1.027
174.135,1.056
174.145,1.042
174.155,1.0
174.165,0.978
174.175,0.999
174.185,1.033
174.195,1.015
174.205,0.962
174.215,0.948
174.225,0.977
174.235,0.978
174.245,0.964
174.255,0.928
174.265,0.848
174.275,0.772
174.285,0.755
174.295,0.784
174.305,0.83
174.315,0.881
174.325,0.924
174.335,0.943
174.345,0.924
174.355,0.879
174.365,0.834
174.375,0.789
174.385,0.741
174.395,0.708
174.405,0.704
174.415,0.708
174.425,0.723
174.435,0.77
174.445,0.826
174.455,0.88
174.465,0.939
174.475,0.989
174.485,1.032
174.495,1.065
174.505,1.078
174.515,1.081
174.525,1.069
174.535,1.052
174.545,1.041
174.555,1.054
174.565,1.087
174.575,1.124
174.585,1.129
174.595,1.098
174.605,1.079
174.615,1.061
174.625,1.039
174.635,1.013
174.645,0.974
174.655,0.922
174.665,0.878
174.675,0.859
174.685,0.859
174.695,0.856
174.705,0.86
174.715,0.871
174.725,0.879
174.735,0.898
174.745,0.927
174.755,0.948
174.765,0.945
174.775,0.918
174.785,0.878
174.795,0.829
174.805,0.784
174.815,0.763
174.825,0.761
174.835,0.771
174.845,0.773
174.855,0.785
174.865,0.808
174.875,0.815
174.885,0.802
174.895,0.801
174.905,0.806
174.915,0.807
174.925,0.796
174.935,0.797
174.945,0.833
174.955,0.891
174.965,0.928
174.975,0.936
174.985,0.945
174.995,0.951
175.005,0.954
175.015,0.956
175.025,0.953
175.035,0.945
175.045,0.937
175.055,0.924
175.065,0.909
175.075,0.889
175.085,0.872
175.095,0.858
175.105,0.842
175.115,0.83
175.125,0.864
175.135,0.922
175.145,0.951
175.155,0.957
175.165,0.974
175.175,0.997
175.185,1.02
175.195,1.039
175.205,1.053
175.215,1.061
175.225,1.055
175.235,1.026
175.245,0.971
175.255,0.9
175.265,0.826
175.275,0.775
175.285,0.763
175.295,0.77
175.305,0.795
175.315,0.828
175.325,0.852
175.335,0.875
175.345,0.914
175.355,0.956
175.365,0.965
175.375,0.941
175.385,0.896
175.395,0.859
175.405,0.869
175.415,0.925
175.425,0.984
175.435,1.032
175.445,1.076
175.455,1.127
175.465,1.163
175.475,1.144
175.485,1.075
175.495,0.996
175.505,0.936
175.515,0.9
175.525,0.911
175.535,0.936
175.545,0.929
175.555,0.921
175.565,0.984
175.575,1.106
175.585,1.211
175.595,1.28
175.605,1.313
175.615,1.304
175.625,1.255
175.635,1.14
175.645,0.961
175.655,0.801
175.665,0.715
175.675,0.7
175.685,0.732
175.695,0.784
175.705,0.844
175.715,0.904
175.725,0.923
175.735,0.916
175.745,0.917
175.755,0.946
175.765,0.986
175.775,1.027
175.785,1.06
175.795,1.068
175.805,1.048
175.815,1.003
175.825,0.94
175.835,0.879
175.845,0.824
175.855,0.764
175.865,0.724
175.875,0.727
175.885,0.743
175.895,0.753
175.905,0.761
175.915,0.784
175.925,0.824
175.935,0.876
175.945,0.904
175.955,0.883
175.965,0.837
175.975,0.814
176.025,0.776
176.035,0.739
176.045,0.709
176.055,0.709
176.065,0.71
176.075,0.706
176.085,0.703
176.095,0.696
176.105,0.694
176.115,0.716
176.125,0.767
176.135,0.828
176.145,0.859
176.155,0.856
176.165,0.858
176.175,0.888
176.185,0.93
176.195,0.972
176.205,0.995
176.215,0.993
176.225,0.973
176.235,0.935
176.245,0.893
176.255,0.876
176.265,0.884
176.275,0.894
176.285,0.896
176.295,0.917
176.305,0.986
176.315,1.034
176.325,1.006
176.335,0.976
176.345,0.975
176.355,0.961
176.365,0.924
176.375,0.883
176.385,0.867
176.395,0.887
176.405,0.933
176.415,1.016
176.425,1.125
176.435,1.194
176.445,1.204
176.455,1.193
176.465,1.172
176.475,1.151
176.485,1.133
176.495,1.099
176.505,1.061
176.515,1.002
176.525,0.931
176.535,0.867
176.545,0.831
176.555,0.844
176.565,0.906
176.575,0.996
176.585,1.093
176.595,1.177
176.605,1.224
176.615,1.233
176.625,1.206
176.635,1.161
176.645,1.111
176.655,1.06
176.665,0.998
176.675,0.927
176.685,0.871
176.695,0.833
176.705,0.802
176.715,0.763
176.725,0.713
176.735,0.666
176.745,0.637
176.755,0.65
176.765,0.712
176.775,0.776
176.785,0.775
176.795,0.722
176.805,0.699
176.815,0.738
176.825,0.813
176.835,0.885
176.845,0.936
176.855,0.966
176.865,0.971
176.875,0.946
176.885,0.902
176.895,0.867
176.905,0.838
176.915,0.824
176.925,0.83
176.935,0.852
176.945,0.882
176.955,0.893
176.965,0.877
176.975,0.869
176.985,0.871
176.995,0.865
177.005,0.866
177.015,0.873
177.025,0.878
177.035,0.904
177.045,0.958
177.055,1.027
177.065,1.061
177.075,1.08
177.085,1.093
177.095,1.102
177.105,1.102
177.115,1.095
177.125,1.072
177.135,1.035
177.145,0.97
177.155,0.899
177.165,0.854
177.175,0.842
177.185,0.843
177.195,0.837
177.205,0.855
177.215,0.89
177.225,0.87
177.235,0.824
177.245,0.814
177.255,0.803
177.265,0.763
177.275,0.707
177.285,0.681
177.295,0.695
177.305,0.749
177.315,0.819
177.325,0.872
177.335,0.894
177.345,0.92
177.355,0.955
177.365,0.988
177.375,1.011
177.385,1.028
177.395,1.03
177.405,1.018
177.415,1.002
177.425,0.982
177.435,0.963
177.445,0.941
177.455,0.912
177.465,0.865
177.475,0.818
177.485,0.801
177.495,0.814
177.505,0.867
177.515,0.912
177.525,0.917
177.535,0.904
177.545,0.896
177.555,0.896
177.565,0.899
177.575,0.9
177.585,0.903
177.595,0.898
177.605,0.884
177.615,0.873
177.625,0.858
177.635,0.84
177.645,0.82
177.655,0.8
177.665,0.781
177.675,0.749
177.685,0.704
177.695,0.667
177.705,0.659
177.715,0.671
177.725,0.674
177.735,0.672
177.745,0.666
177.755,0.656
177.765,0.65
177.775,0.663
177.785,0.711
177.795,0.792
177.805,0.868
177.815,0.906
177.825,0.951
177.835,1.034
177.845,1.139
177.855,1.23
177.865,1.27
177.875,1.236
177.885,1.169
177.895,1.135
177.905,1.138
177.915,1.096
177.925,1.048
177.935,1.037
177.945,1.052
177.955,1.101
177.965,1.131
177.975,1.089
177.985,1.015
177.995,0.916
178.005,0.797
178.015,0.706
178.025,0.686
178.035,0.708
178.045,0.745
178.055,0.79
178.065,0.847
178.075,0.914
178.085,0.96
178.095,0.961
178.105,0.954
178.115,0.94
178.125,0.896
178.135,0.836
178.145,0.803
178.155,0.803
178.165,0.819
178.175,0.834
178.185,0.841
178.195,0.849
178.205,0.86
178.215,0.866
178.225,0.868
178.235,0.876
178.245,0.875
178.255,0.859
178.265,0.861
178.275,0.904
178.285,0.941
178.295,0.973
178.305,0.998
178.315,1.0
178.325,0.965
178.335,0.929
178.345,0.922
178.355,0.916
178.365,0.906
178.375,0.89
178.385,0.875
178.395,0.861
178.405,0.848
178.415,0.843
178.425,0.846
178.435,0.831
178.445,0.794
178.455,0.755
178.465,0.737
178.475,0.737
178.485,0.752
178.495,0.772
178.505,0.773
178.515,0.762
178.525,0.743
178.535,0.724
178.545,0.716
178.555,0.726
178.565,0.754
178.575,0.802
178.585,0.854
178.595,0.901
178.605,0.932
178.615,0.921
178.625,0.881
178.635,0.863
178.645,0.87
178.655,0.878
178.665,0.88
178.675,0.887
178.685,0.899
178.695,0.891
178.705,0.876
178.715,0.911
178.725,0.969
178.735,0.995
178.745,1.01
178.755,1.029
178.765,1.03
178.775,1.013
178.785,0.977
178.795,0.924
178.805,0.846
178.815,0.811
178.825,0.865
178.835,0.967
178.845,1.067
178.855,1.131
178.865,1.149
178.875,1.131
178.885,1.081
178.895,1.006
178.905,0.937
178.915,0.893
178.925,0.861
178.935,0.834
178.945,0.818
178.955,0.807
178.965,0.799
178.975,0.801
178.985,0.823
178.995,0.861
179.005,0.896
179.015,0.921
179.025,0.937
179.035,0.928
179.045,0.896
179.055,0.864
179.065,0.866
179.075,0.928
179.085,1.006
179.095,0.988
179.105,0.857
179.115,0.79
179.125,0.824
179.135,0.89
179.145,0.945
179.155,0.916
179.165,0.802
179.175,0.743
179.185,0.795
179.195,0.938
179.205,1.141
179.215,1.342
179.225,1.432
179.235,1.256
179.245,0.919
179.255,0.794
179.265,0.813
179.275,0.847
179.285,0.897
179.295,0.962
179.305,1.032
179.315,1.093
179.325,1.12
179.335,1.114
179.345,1.086
179.355,1.062
179.365,1.057
179.375,1.07
179.385,1.044
179.395,0.93
179.405,0.819
179.415,0.792
179.425,0.797
179.435,0.784
179.445,0.774
179.455,0.784
179.465,0.787
179.475,0.803
179.485,0.859
179.495,0.916
179.505,0.954
179.515,0.998
179.525,1.061
179.535,1.126
179.545,1.17
179.555,1.169
179.565,1.106
179.575,1.019
179.585,0.983
179.595,1.037
179.605,1.171
179.615,1.329
179.625,1.479
179.635,1.606
179.645,1.615
179.655,1.446
179.665,1.202
179.675,0.974
179.685,0.801
179.695,0.719
179.705,0.693
179.715,0.685
179.725,0.694
179.735,0.727
179.745,0.787
179.755,0.857
179.765,0.907
179.775,0.939
179.785,0.98
179.795,1.019
179.805,1.05
179.815,1.071
179.825,1.116
179.835,1.202
179.845,1.255
179.855,1.24
179.865,1.221
179.875,1.247
179.885,1.341
179.895,1.446
179.905,1.532
179.915,1.562
179.925,1.503
179.935,1.399
179.945,1.306
179.955,1.325
179.965,1.44
179.975,1.462
179.985,1.296
179.995,1.092
180.035,0.92
180.045,0.969
180.055,0.983
180.065,0.978
180.075,0.991
180.085,1.026
180.095,1.021
180.105,0.968
180.115,0.899
180.125,0.865
180.135,0.918
180.145,1.048
180.155,1.148
180.165,1.112
180.175,1.016
180.185,1.012
180.195,1.039
180.205,1.043
180.215,1.068
180.225,1.142
180.235,1.212
180.245,1.216
180.255,1.186
180.265,1.17
180.275,1.159
180.285,1.149
180.295,1.156
180.305,1.159
180.315,1.144
180.325,1.118
180.335,1.054
180.345,0.986
180.355,0.969
180.365,0.965
180.375,0.921
180.385,0.879
180.395,0.872
180.405,0.889
180.415,0.911
180.425,0.944
180.435,0.991
180.445,1.02
180.455,1.005
180.465,1.0
180.475,1.019
180.485,1.049
180.495,1.072
180.505,1.095
180.515,1.108
180.525,1.107
180.535,1.094
180.545,1.089
180.555,1.1
180.565,1.169
180.575,1.193
180.585,1.079
180.595,0.963
180.605,0.911
180.615,0.916
180.625,0.966
180.635,1.014
180.645,1.046
180.655,1.116
180.665,1.236
180.675,1.368
180.685,1.451
180.695,1.457
180.705,1.401
180.715,1.323
180.725,1.251
180.735,1.186
180.745,1.139
180.755,1.079
180.765,0.985
180.775,0.863
180.785,0.785
180.795,0.818
180.805,0.924
180.815,1.022
180.825,1.063
180.835,1.081
180.845,1.08
180.855,1.038
180.865,0.969
180.875,0.954
180.885,1.029
180.895,1.099
180.905,1.132
180.915,1.191
180.925,1.286
180.935,1.325
180.945,1.319
180.955,1.344
180.965,1.394
180.975,1.446
180.985,1.459
180.995,1.296
181.005,1.017
181.015,1.027
181.025,0.986
181.035,0.899
181.045,0.836
181.055,0.856
181.065,0.954
181.075,1.052
181.085,1.125
181.095,1.187
181.105,1.236
181.115,1.244
181.125,1.202
181.135,1.168
181.145,1.142
181.155,1.09
181.165,0.993
181.175,0.884
181.185,0.792
181.195,0.734
181.205,0.704
181.215,0.682
181.225,0.689
181.235,0.745
181.245,0.817
181.255,0.898
181.265,0.978
181.275,1.03
181.285,1.05
181.295,1.09
181.305,1.158
181.315,1.203
181.325,1.212
181.335,1.188
181.345,1.138
181.355,1.077
181.365,1.027
181.375,0.997
181.385,0.991
181.395,1.001
181.405,1.019
181.415,1.011
181.425,0.995
181.435,1.005
181.445,1.054
181.455,1.118
181.465,1.163
181.475,1.181
181.485,1.184
181.495,1.2
181.505,1.221
181.515,1.24
181.525,1.257
181.535,1.288
181.545,1.319
181.555,1.317
181.565,1.288
181.575,1.257
181.585,1.225
181.595,1.166
181.605,1.078
181.615,1.036
181.625,1.039
181.635,1.007
181.645,0.953
181.655,0.939
181.665,0.973
181.675,1.025
181.685,1.08
181.695,1.131
181.705,1.17
181.715,1.197
181.725,1.221
181.735,1.238
181.745,1.249
181.755,1.246
181.765,1.214
181.775,1.153
181.785,1.091
181.795,1.024
181.805,0.956
181.815,0.899
181.825,0.862
181.835,0.847
181.845,0.843
181.855,0.823
181.865,0.8
181.875,0.827
181.885,0.88
181.895,0.897
181.905,0.853
181.915,0.783
181.925,0.735
181.935,0.736
181.945,0.767
181.955,0.806
181.965,0.842
181.975,0.866
181.985,0.892
181.995,0.925
182.005,0.961
182.015,0.993
182.025,1.011
