Depth_m,Br
18.186,0.99
18.202,1.025
18.219,1.005
18.235,0.981
18.252,1.004
18.268,0.853
18.285,0.513
18.301,0.057
18.499,0.271
18.515,0.65
18.532,0.991
18.548,1.487
18.565,1.699
18.581,2.163
18.598,2.645
18.614,2.914
18.631,2.442
18.647,2.5
18.663,2.931
18.68,3.1
18.696,2.628
18.713,2.223
18.729,1.908
18.745,1.465
18.762,1.383
18.778,1.306
18.795,1.073
18.811,0.631
18.827,0.384
18.844,0.081
18.86,0.427
18.877,0.84
18.893,1.219
18.909,1.679
18.926,1.589
18.942,1.706
18.959,1.634
18.975,1.832
18.991,1.85
19.008,1.416
19.024,0.642
19.742,0.374
19.758,0.922
19.775,1.754
19.791,2.248
19.807,2.563
19.823,3.276
19.84,3.612
19.856,3.524
19.872,3.158
19.888,1.815
19.921,0.624
20.148,0.108
20.164,0.642
20.181,0.821
20.197,0.83
20.213,0.919
20.229,0.935
20.245,0.366
20.262,0.176
20.278,0.018
20.294,0.039
20.44,0.301
20.456,0.912
20.472,1.012
20.488,0.695
20.504,0.899
20.52,1.365
20.537,1.309
20.553,1.072
20.569,1.215
20.585,1.244
20.601,1.551
20.617,2.256
20.633,1.955
20.65,1.857
20.666,2.047
20.682,1.829
20.698,1.829
20.714,1.548
20.73,1.58
20.746,1.157
20.762,0.956
20.779,0.665
20.795,0.322
20.811,0.142
21.197,0.33
21.213,0.715
21.229,0.743
21.246,0.823
21.262,0.883
21.278,0.663
21.294,0.183
21.502,0.109
21.518,0.607
21.534,1.067
21.55,1.483
21.567,1.639
21.583,1.604
21.599,1.281
21.615,0.992
21.631,0.783
21.647,0.5
21.663,0.26
21.775,0.05
21.791,0.26
21.807,0.72
21.823,1.017
21.839,1.432
21.855,1.426
21.871,1.47
21.887,1.575
21.903,1.295
21.919,0.816
21.935,0.252
22.158,0.01
22.19,0.12
22.206,0.268
22.222,0.568
22.238,0.512
22.254,0.261
22.429,0.079
22.445,0.294
22.461,0.182
22.477,0.019
22.795,0.164
22.811,0.225
22.827,0.42
22.842,0.738
22.858,0.991
22.874,1.04
22.89,1.022
22.906,1.181
22.922,0.889
22.938,0.649
22.953,0.275
22.969,0.08
23.112,0.081
23.144,0.027
23.16,0.095
23.175,0.198
23.191,0.173
23.207,0.2
23.223,0.366
23.239,0.459
23.254,0.313
23.27,0.379
23.286,0.174
23.302,0.025
23.334,0.001
23.349,0.649
23.365,0.78
23.381,0.726
23.397,0.663
23.413,0.695
23.428,0.784
23.444,0.896
23.46,0.905
23.476,0.596
23.492,0.263
23.855,0.214
23.87,0.335
23.886,0.406
23.902,0.583
23.918,0.682
23.933,0.597
23.949,0.546
24.059,0.058
24.075,0.359
24.091,0.35
24.138,0.497
24.154,0.416
24.169,0.227
24.437,0.079
24.452,0.024
24.468,0.118
24.75,0.019
24.781,0.056
24.797,0.139
24.813,0.288
24.828,0.546
24.844,0.757
24.86,0.954
24.875,1.439
24.891,1.578
24.907,1.623
24.922,1.355
24.938,1.238
24.954,1.073
24.969,1.064
24.985,0.611
25.0,0.366
25.702,0.095
25.718,0.005
26.044,0.188
26.06,0.475
26.075,0.861
26.091,1.006
26.106,0.789
26.122,0.561
26.137,0.403
26.153,0.438
26.168,0.52
26.184,0.602
26.199,0.399
26.215,0.165
26.385,0.105
26.401,0.157
26.416,0.184
26.432,0.352
26.447,0.459
26.463,0.543
26.478,0.523
26.494,0.381
26.509,0.098
26.525,0.034
26.54,0.098
26.679,0.002
26.695,0.029
26.741,0.245
26.757,0.223
26.772,0.177
26.788,0.131
26.803,0.137
26.818,0.13
26.834,0.052
26.865,0.006
27.019,0.302
27.035,0.603
27.05,0.976
27.065,1.308
27.081,0.981
27.096,1.033
27.112,1.099
27.127,1.016
27.143,1.181
27.158,1.151
27.173,0.824
27.189,0.451
27.204,0.345
27.22,0.116
27.235,0.136
27.281,0.032
27.297,0.304
27.312,0.343
27.327,0.599
27.343,0.916
27.358,1.26
27.374,1.392
27.389,1.383
27.404,1.452
27.42,1.275
27.435,1.401
27.451,1.271
27.466,1.263
27.481,1.056
27.497,0.986
27.512,0.925
27.527,1.003
27.543,0.526
27.589,0.192
27.604,0.558
27.62,0.8
27.635,1.183
27.65,1.755
27.666,1.729
27.681,1.545
27.696,2.201
27.712,3.065
27.727,3.465
27.742,3.381
27.758,3.269
27.773,3.087
27.789,3.119
27.804,3.043
27.819,3.082
27.835,2.556
27.85,2.307
27.865,1.607
27.881,1.144
27.896,0.568
27.911,0.106
28.493,0.072
28.508,0.511
28.524,0.636
28.539,0.524
28.554,0.559
28.569,0.532
28.6,1.068
28.615,1.306
28.631,0.928
28.646,0.63
28.661,0.371
28.753,0.002
28.768,0.77
28.783,0.641
28.798,0.468
28.814,0.404
28.829,0.217
28.844,0.219
28.859,0.146
29.118,0.269
29.134,0.243
29.149,0.033
29.164,0.332
29.179,1.12
29.194,0.951
29.21,0.951
29.225,0.672
29.24,0.668
29.255,0.31
29.27,0.199
29.286,0.145
29.301,0.149
29.316,0.12
29.681,0.206
29.741,0.384
29.756,1.203
29.771,0.866
29.787,0.249
29.802,0.703
29.817,0.573
29.832,0.278
29.847,0.074
29.878,0.042
29.968,0.248
29.984,0.401
29.999,0.384
30.014,0.24
30.029,0.271
30.044,0.174
30.15,0.032
30.165,0.083
30.18,0.18
30.195,0.426
30.211,0.734
30.226,0.757
30.241,0.581
30.256,0.571
30.271,0.509
30.286,0.504
30.301,0.373
30.316,0.019
30.648,0.547
30.663,0.766
30.678,0.886
30.693,0.897
30.708,0.623
30.724,0.533
30.739,1.15
30.754,0.798
30.799,0.358
30.874,0.465
30.889,0.56
30.904,1.249
30.919,1.793
30.934,1.777
30.949,2.083
30.964,2.603
30.979,2.621
30.995,2.719
31.01,2.106
31.025,1.531
31.04,0.637
