Depth_m,Br
116.702,2.641
116.713,1.285
116.867,0.363
116.879,0.478
116.89,0.377
116.901,0.501
116.912,0.373
116.923,0.431
116.934,0.518
116.945,0.837
116.956,0.123
117.11,0.149
117.132,0.263
117.143,0.122
117.154,0.153
117.352,0.228
117.363,0.627
117.374,1.377
117.385,1.169
117.396,1.088
117.407,0.94
117.418,1.041
117.429,1.704
117.44,1.413
117.451,0.349
117.573,0.367
117.584,0.875
117.595,0.676
117.606,0.395
117.617,0.395
117.628,0.548
117.639,0.468
117.65,0.12
117.815,0.125
117.826,0.478
117.837,0.742
117.848,0.861
117.859,1.176
117.87,0.967
117.881,1.059
117.892,1.042
117.903,1.061
117.914,1.037
117.925,1.349
117.936,1.835
117.947,1.302
117.958,0.1
118.079,0.354
118.112,1.061
118.123,1.608
118.134,1.733
118.145,1.564
118.156,1.045
118.167,1.099
118.178,0.968
118.189,0.993
118.2,0.093
118.519,0.022
118.53,0.099
118.541,0.198
118.552,0.416
118.563,0.854
118.574,1.186
118.585,1.308
118.596,1.59
118.607,1.929
118.618,2.076
118.629,1.877
118.64,1.635
118.651,1.458
118.662,1.581
118.673,1.846
118.684,2.058
118.695,1.307
119.058,0.365
119.069,0.474
119.08,0.119
119.179,0.353
119.19,1.492
119.201,1.283
119.212,1.078
119.223,1.575
119.234,0.919
119.355,0.083
119.366,0.418
119.377,0.806
119.388,1.933
119.399,3.142
119.41,2.474
119.421,1.258
119.432,2.044
119.443,2.991
119.454,3.341
119.465,3.649
119.476,3.594
119.487,2.156
119.498,2.595
119.509,1.814
119.52,0.24
119.707,0.609
119.718,1.383
119.729,1.27
119.74,1.077
119.751,0.718
119.762,0.677
119.773,0.569
119.784,0.978
119.795,0.968
119.806,0.825
119.817,0.158
119.905,0.096
119.916,0.803
119.927,1.682
119.938,1.792
119.949,1.553
119.96,1.427
120.037,1.724
120.048,1.024
120.125,0.097
120.136,0.14
120.147,0.135
120.333,0.169
120.344,0.503
120.355,0.673
120.366,0.681
120.377,1.03
120.388,1.346
120.399,1.44
120.41,1.336
120.421,2.435
120.432,2.615
120.443,2.988
120.454,1.034
120.465,0.251
120.597,0.256
120.608,0.045
120.63,0.733
120.641,1.678
120.652,1.911
120.663,1.889
120.674,1.334
120.685,2.055
120.696,2.803
120.707,2.951
120.718,2.664
120.729,1.737
120.74,0.655
120.751,0.051
120.762,0.608
120.773,0.171
120.894,0.017
121.102,0.709
121.113,1.183
121.124,1.071
121.135,1.105
121.146,1.136
121.157,1.082
121.168,1.017
121.179,0.721
121.19,0.367
121.355,0.047
121.366,0.345
121.377,0.616
121.388,0.669
121.399,0.823
121.41,1.234
121.421,1.478
121.432,2.026
121.442,1.699
121.453,0.937
121.563,0.402
121.574,0.656
121.585,1.103
121.596,1.282
121.607,1.366
121.618,1.464
121.629,1.352
121.64,1.244
121.651,1.217
121.662,1.118
121.673,1.113
121.684,0.477
121.706,0.241
121.717,0.322
121.728,0.286
121.86,0.272
121.871,0.47
121.882,1.095
121.893,2.343
121.904,2.904
121.915,2.836
121.925,1.042
121.936,0.403
121.947,0.208
122.101,0.048
122.112,0.25
122.123,0.334
122.167,0.285
122.178,0.615
122.189,0.816
122.2,0.762
122.211,0.766
122.222,0.738
122.233,0.585
122.244,0.572
122.255,0.456
122.266,0.498
122.277,0.5
122.288,0.43
122.299,0.412
122.31,0.152
122.32,0.332
122.331,0.52
122.342,0.498
122.353,0.56
122.364,0.479
122.375,0.526
122.386,0.569
122.397,0.744
122.408,0.718
122.419,0.503
122.43,0.307
122.441,0.283
122.452,0.173
122.551,0.072
122.606,0.077
122.617,0.412
122.628,0.292
122.639,0.475
122.65,0.613
122.661,0.938
122.672,1.158
122.683,0.473
122.836,0.374
122.847,0.26
122.869,0.235
123.033,0.171
123.044,0.643
123.055,0.399
123.066,0.638
123.077,0.586
123.088,0.81
123.099,0.578
123.11,0.316
123.121,0.442
123.132,0.129
123.231,0.277
123.242,0.73
123.253,0.879
123.264,0.853
123.275,0.935
123.286,0.784
123.297,0.423
123.308,0.272
123.33,0.017
123.341,0.145
123.351,0.24
123.362,0.122
123.406,0.035
123.417,0.586
123.428,0.98
123.439,1.465
123.45,1.592
123.461,1.948
123.472,1.627
123.483,1.568
123.494,1.494
123.505,1.815
123.516,1.968
123.527,1.982
123.538,1.822
123.549,1.585
123.56,0.388
123.68,0.439
123.691,2.016
123.702,3.933
123.713,3.521
123.724,3.008
123.735,1.769
123.746,2.005
123.757,1.557
123.768,1.695
123.779,1.635
123.79,1.253
123.801,0.525
123.812,0.043
124.02,0.239
124.031,0.151
124.042,0.253
124.053,0.039
124.196,0.292
124.207,0.382
124.218,0.167
124.229,0.016
124.25,0.348
124.261,0.598
124.272,0.779
124.283,0.885
124.294,0.55
124.305,0.714
124.316,0.632
124.327,0.784
124.338,0.76
124.349,0.558
124.36,0.475
124.371,0.344
124.382,0.213
124.393,0.342
124.404,0.77
124.415,1.16
124.426,1.667
124.437,1.965
124.448,1.821
124.459,2.074
124.47,1.573
124.481,0.851
124.491,0.763
124.502,0.314
124.831,0.154
124.842,0.149
124.853,0.372
124.864,0.355
124.875,0.437
124.886,0.441
124.897,0.615
124.908,0.537
124.919,0.529
125.072,0.146
125.083,0.182
125.094,0.445
125.105,0.773
125.116,1.443
125.127,1.973
125.138,1.645
125.149,0.72
125.16,0.193
125.171,0.324
125.313,0.289
125.324,0.424
125.335,0.943
125.346,0.983
125.357,1.212
125.368,0.613
125.379,0.62
125.39,0.782
125.401,1.177
125.412,1.658
125.423,1.927
125.434,2.055
125.445,1.501
125.456,0.365
125.467,0.637
125.478,0.227
125.489,0.012
125.664,0.024
125.872,0.108
125.883,0.945
125.894,1.332
125.905,1.496
125.916,1.334
125.927,1.217
125.938,1.062
125.949,1.03
125.96,1.305
125.971,1.38
125.982,1.446
125.992,1.175
126.003,0.624
126.014,0.106
126.157,0.173
126.168,0.007
126.31,0.166
126.321,0.341
126.332,0.295
126.343,0.283
126.354,0.404
126.365,0.936
126.376,1.059
126.387,0.91
126.398,0.232
126.409,0.343
126.42,0.106
126.431,0.103
126.529,0.583
126.54,0.792
126.551,0.36
126.562,0.398
126.573,0.534
126.584,0.485
126.595,0.673
126.606,0.879
126.617,1.104
126.628,0.889
126.748,0.083
126.759,0.128
126.77,0.643
126.781,0.978
126.792,1.703
126.803,1.952
126.814,2.245
126.825,2.641
126.836,2.626
126.847,2.311
126.858,1.632
126.869,1.061
126.88,0.561
126.891,0.278
126.967,0.191
126.978,0.033
127.405,0.045
127.416,0.479
127.427,1.073
127.438,1.725
127.449,2.003
127.46,2.305
127.471,2.792
127.482,2.853
127.493,2.535
127.504,1.492
127.515,0.848
127.526,0.065
127.69,0.006
127.701,0.32
127.712,1.517
127.723,1.571
127.734,1.193
127.745,1.232
127.756,0.953
127.767,1.003
127.777,1.02
127.788,0.745
127.799,0.067
127.931,0.708
127.942,0.867
127.953,1.09
127.964,1.141
127.975,1.253
127.985,1.374
127.996,1.524
128.007,1.963
128.018,1.977
128.029,1.289
128.04,0.441
128.051,0.314
128.117,0.071
128.128,0.425
128.139,0.932
128.15,1.116
128.161,1.32
128.172,1.348
128.183,1.536
128.193,1.487
128.204,1.453
128.215,1.117
128.226,0.907
128.237,0.478
128.248,0.267
128.303,0.114
128.555,0.093
128.566,0.413
128.577,0.573
128.588,0.729
128.599,1.056
128.609,1.142
128.62,1.332
128.631,1.731
128.642,1.803
128.653,1.687
128.664,1.594
128.675,1.516
128.686,1.747
128.697,1.746
128.708,1.157
128.796,0.065
129.015,0.312
129.025,0.547
129.036,0.34
129.047,0.214
129.058,0.315
129.08,0.012
129.299,0.011
129.31,0.332
129.321,0.333
129.332,0.102
129.376,0.286
129.387,0.216
129.452,0.363
129.463,0.621
129.474,1.378
129.485,1.532
129.496,2.041
129.507,3.019
129.518,3.186
129.529,2.864
129.54,2.339
129.551,2.399
129.562,1.943
129.573,1.981
129.606,1.841
129.617,0.721
129.748,0.241
129.759,1.085
129.77,2.217
129.781,2.336
129.792,1.843
129.803,0.677
129.814,0.604
129.825,0.554
129.836,0.565
129.847,0.204
130.0,0.25
130.011,1.191
130.022,1.255
130.033,1.443
130.044,0.764
130.055,0.063
130.197,0.578
130.208,0.605
130.219,0.731
130.23,0.497
130.361,0.222
130.372,1.085
130.383,1.279
130.394,1.084
130.405,0.848
130.416,1.154
130.427,1.769
130.438,1.84
130.449,1.821
130.46,1.828
130.471,1.822
130.482,1.747
130.492,2.147
130.503,2.03
130.514,2.511
130.525,1.841
130.536,1.209
130.547,0.838
130.558,1.124
130.569,1.196
130.58,1.518
130.591,1.042
130.602,0.277
130.668,0.053
130.679,0.411
130.689,0.633
130.7,0.846
130.711,1.226
130.722,1.278
130.733,1.278
130.744,1.144
130.755,0.834
130.766,0.682
130.777,0.132
130.864,0.393
130.875,0.458
130.886,0.721
130.897,0.794
130.908,0.886
130.919,1.203
130.93,1.29
130.941,1.372
130.952,1.155
130.963,1.38
131.029,0.861
131.04,0.138
131.05,0.457
131.061,0.827
131.072,1.595
131.083,1.779
131.094,1.488
131.105,0.809
131.116,0.168
131.313,0.784
131.324,1.711
131.335,1.524
131.346,1.437
131.357,0.796
131.368,0.339
131.532,0.204
131.543,0.469
131.554,0.696
131.565,0.78
131.576,0.622
131.587,0.578
131.597,0.368
131.608,0.371
131.619,0.047
131.762,0.497
131.773,0.817
131.784,1.173
131.794,0.979
131.805,0.63
131.816,0.428
131.827,0.384
131.838,0.218
131.849,0.616
131.86,0.749
131.871,1.005
131.882,0.929
131.893,0.562
131.904,0.233
131.981,0.148
131.991,0.369
132.002,0.684
132.013,1.142
132.024,0.822
132.035,1.185
132.046,1.017
132.057,1.263
132.068,0.584
132.079,0.532
132.09,0.38
132.243,0.503
132.254,0.924
132.265,0.872
132.276,0.631
132.287,0.409
132.298,0.577
132.309,0.64
132.32,0.936
132.331,0.926
132.342,1.125
132.352,1.044
132.363,0.814
132.374,0.879
132.385,0.413
132.593,0.083
132.604,0.498
132.615,0.817
132.626,0.933
132.637,0.148
132.692,0.023
132.703,0.493
132.714,0.303
132.724,0.152
132.735,0.005
132.746,0.172
132.757,0.179
132.768,0.097
133.02,0.235
133.031,0.257
133.042,0.641
133.053,0.707
133.064,0.688
133.075,0.407
133.217,0.391
133.228,0.082
133.261,0.184
133.271,0.805
133.282,1.084
133.293,1.008
133.304,0.766
133.315,0.326
133.403,0.1
133.447,0.16
133.457,0.52
133.468,0.14
133.622,0.438
133.633,1.265
133.643,1.804
133.654,2.594
133.665,3.565
133.676,3.181
133.687,2.714
133.698,1.45
133.709,2.059
133.72,2.216
133.731,1.552
133.742,0.928
133.753,0.582
133.764,0.882
133.775,0.537
133.786,0.225
133.797,0.17
133.808,0.192
133.819,0.723
133.829,0.462
133.84,0.436
133.851,0.491
133.862,0.542
133.873,0.738
133.884,0.659
133.895,0.46
133.906,0.573
133.917,0.497
133.928,0.548
133.939,0.675
133.95,0.541
133.961,0.272
134.059,0.034
134.07,0.253
134.081,0.346
134.092,0.242
134.103,0.38
134.114,0.063
134.125,0.571
134.136,0.363
134.147,0.372
134.311,0.056
134.322,0.413
134.333,0.567
134.344,0.292
134.355,0.785
134.366,0.861
134.376,0.951
134.387,0.798
134.398,0.64
134.409,0.374
134.42,0.189
134.541,0.407
134.552,0.571
134.563,0.663
134.573,0.531
134.584,0.645
134.595,0.64
134.606,0.439
134.617,0.511
134.628,0.07
134.639,0.748
134.65,0.957
134.661,0.849
134.672,0.427
135.022,0.143
135.033,0.228
135.044,0.446
135.055,0.568
135.066,0.823
135.077,1.073
135.088,1.002
135.099,0.968
135.11,1.163
135.12,1.06
135.131,0.712
135.142,0.498
135.164,0.361
135.186,0.474
135.197,0.945
135.208,0.894
135.219,0.885
135.23,0.496
135.241,0.345
135.252,0.322
135.263,0.378
135.274,0.328
135.285,0.217
135.449,0.473
135.46,0.856
135.471,1.092
135.482,1.176
135.492,1.599
135.503,1.15
135.514,1.365
135.525,1.102
135.536,0.584
135.547,0.235
135.558,0.332
135.569,0.154
135.7,0.005
135.711,0.123
135.722,0.188
135.733,0.311
135.744,0.552
135.755,0.732
135.766,1.04
135.777,0.997
135.788,1.183
135.799,1.166
135.81,1.136
135.821,0.109
135.832,0.159
135.843,0.101
135.853,0.101
135.864,0.071
135.875,0.115
136.236,0.202
136.247,0.642
136.258,1.104
136.269,0.726
136.28,0.458
136.291,0.465
136.302,0.797
136.313,1.001
136.324,1.006
136.335,0.955
136.346,0.51
136.357,0.279
136.477,0.258
136.488,1.137
136.499,0.829
136.51,0.9
136.521,0.851
136.532,0.855
136.543,0.816
136.554,0.386
136.565,0.803
136.576,0.874
136.587,0.807
136.597,0.554
136.608,0.173
136.619,0.026
136.718,0.243
136.729,0.415
136.74,0.549
136.751,0.55
136.762,0.576
136.773,0.508
136.784,0.532
136.794,0.973
136.805,1.409
136.816,1.538
136.827,1.662
136.838,1.824
136.849,1.736
136.86,1.421
136.871,1.077
136.882,0.672
136.893,0.177
137.145,0.427
137.155,0.596
137.166,0.598
137.177,0.661
137.188,0.598
137.199,0.411
137.21,0.29
137.221,0.104
137.232,0.021
137.331,0.148
137.363,0.015
137.374,0.233
137.385,0.44
137.396,0.705
137.407,0.94
137.418,0.687
137.451,0.873
137.462,0.869
137.473,0.463
137.484,0.213
137.495,0.24
137.823,0.072
137.834,0.513
137.845,0.641
137.856,0.785
137.867,1.118
137.878,0.835
137.889,1.072
137.9,1.305
137.91,1.177
137.921,1.328
137.932,0.957
137.943,0.032
138.096,0.192
138.107,0.141
138.118,0.033
138.129,0.152
138.14,0.788
138.151,1.148
138.162,1.308
138.173,0.481
138.261,0.124
138.271,0.466
138.282,0.406
138.468,0.201
138.479,0.415
138.49,1.079
138.501,1.564
138.512,1.991
138.523,2.127
138.534,2.331
138.545,2.02
138.556,1.668
138.567,1.312
138.578,1.571
138.589,1.645
138.6,1.254
138.611,0.969
138.622,1.677
138.633,1.671
138.643,1.244
138.654,0.832
138.665,1.089
138.676,0.977
138.687,0.871
138.698,0.621
138.709,0.407
138.819,0.051
138.829,0.84
138.84,1.225
138.851,1.108
138.862,0.844
138.873,0.85
138.884,1.295
138.895,1.446
138.906,1.858
138.917,2.684
138.928,1.879
138.939,0.818
138.95,0.25
138.961,0.103
139.398,0.303
139.409,0.771
139.42,1.462
139.431,1.048
139.442,0.584
139.453,1.078
139.562,0.571
139.573,1.545
139.584,1.53
139.595,1.469
139.606,1.542
139.661,1.577
139.672,1.247
139.683,0.799
139.694,0.376
139.913,0.098
139.945,0.029
140.131,0.184
140.142,1.444
140.153,1.688
140.164,1.604
140.175,1.112
140.186,1.202
140.197,1.203
140.208,0.862
140.219,0.706
140.23,0.337
140.241,0.251
140.252,0.066
140.328,0.496
140.339,1.086
140.35,0.968
140.361,1.229
140.372,1.561
140.383,1.724
140.394,1.902
140.405,2.166
140.416,2.407
140.427,1.393
140.591,0.361
140.602,0.846
140.613,1.09
140.624,1.295
140.635,1.186
140.646,0.453
140.832,0.389
140.843,0.906
140.854,1.037
140.864,1.084
140.875,1.097
140.886,1.131
140.897,0.957
140.908,0.472
141.007,0.148
141.018,0.356
141.029,0.638
141.04,0.69
141.05,0.475
141.16,0.284
141.171,0.319
141.247,0.072
141.269,1.492
141.28,1.962
141.291,2.223
141.302,2.364
141.313,2.609
141.324,2.348
141.335,2.091
141.346,1.484
141.357,0.908
141.368,0.446
141.379,0.092
141.499,0.294
141.51,2.084
141.521,1.562
141.532,0.68
141.543,0.75
141.554,1.54
141.565,1.829
141.576,2.08
141.587,0.923
141.597,0.12
141.608,0.214
141.619,0.294
141.751,0.045
141.762,0.013
141.773,0.425
141.783,0.619
141.794,0.956
141.805,0.697
141.816,0.952
141.827,1.33
141.838,1.077
141.849,0.632
142.199,0.452
142.21,0.953
142.221,1.093
142.232,1.39
142.243,1.284
142.254,1.204
142.265,1.736
142.276,1.727
142.287,1.029
142.298,0.736
142.309,0.291
142.32,0.069
142.418,0.188
142.44,0.549
142.451,0.821
142.462,1.908
142.473,2.498
142.484,2.999
142.495,1.895
142.506,1.601
142.517,1.351
142.527,1.446
142.538,1.55
142.549,1.483
142.56,0.85
142.571,0.676
142.582,0.274
142.67,0.586
142.681,1.323
142.692,1.786
142.703,1.828
142.714,1.551
142.724,1.577
142.735,1.133
142.746,0.548
142.757,0.314
142.921,0.603
142.932,0.868
142.943,1.341
142.954,1.669
142.965,1.612
142.976,1.732
142.987,1.702
142.998,1.673
143.009,1.506
143.02,0.804
143.129,0.737
143.14,2.038
143.151,2.589
143.162,2.63
143.173,2.15
143.184,1.434
143.195,0.903
143.206,0.281
143.337,0.818
143.348,0.669
143.359,0.6
143.37,0.527
143.381,0.606
143.392,0.46
143.403,0.599
143.414,0.517
143.425,0.587
143.436,0.113
143.457,0.125
143.468,0.537
143.479,1.039
143.49,2.061
143.501,2.493
143.512,3.089
143.523,3.06
143.534,4.334
143.545,3.02
143.556,2.465
143.567,2.721
143.578,3.272
143.589,3.063
143.6,2.589
143.611,2.178
143.622,1.432
143.632,0.44
143.742,0.364
143.753,1.143
143.764,1.144
143.775,0.807
144.19,0.335
144.201,0.395
144.212,0.435
144.223,0.56
144.234,0.455
144.245,0.607
144.256,0.669
144.267,0.523
144.278,0.613
144.289,0.542
144.3,0.425
144.311,0.289
144.475,0.094
144.486,0.105
144.497,0.065
144.508,0.338
144.519,0.048
144.661,0.139
144.672,0.316
144.683,0.586
144.694,0.56
144.705,0.708
144.749,0.495
144.759,0.097
144.792,0.184
144.803,0.406
144.814,0.167
144.825,0.281
144.836,0.218
144.847,0.489
144.858,0.475
144.869,0.514
144.88,0.45
144.891,0.486
144.902,0.446
144.913,0.374
144.924,0.33
144.934,0.38
144.945,0.331
144.956,0.253
144.967,0.208
144.978,0.437
144.989,0.722
145.0,0.054
145.088,0.015
145.099,0.071
145.11,0.26
145.12,1.363
145.131,2.389
145.142,2.75
145.153,2.487
145.164,2.152
145.175,1.966
145.186,2.288
145.197,2.509
145.208,3.156
145.219,2.822
145.23,0.602
145.285,0.147
145.296,0.375
145.306,0.695
145.317,0.752
145.328,0.716
145.339,0.704
145.35,0.789
145.361,0.979
145.372,1.438
145.383,1.461
145.394,1.362
145.405,1.324
145.416,0.74
145.427,0.406
145.438,0.389
145.449,0.107
145.46,0.048
145.722,0.314
145.733,0.864
145.744,1.774
145.755,1.973
145.766,1.537
145.777,1.029
145.788,0.777
145.799,0.018
145.919,0.135
145.93,0.318
146.083,0.277
146.094,0.817
146.105,1.058
146.116,0.736
146.127,0.305
146.16,0.16
146.171,0.201
146.182,0.56
146.193,0.45
146.204,0.19
146.324,0.044
146.335,0.586
146.346,0.702
146.357,0.96
146.368,0.994
146.379,1.252
146.39,1.008
146.401,1.399
146.411,1.356
146.422,1.307
146.433,0.83
146.444,0.703
146.455,0.726
146.466,0.813
146.477,0.784
146.488,0.668
146.499,0.6
146.51,0.381
146.521,0.355
146.532,0.377
146.543,0.168
146.565,0.084
146.576,0.097
146.587,0.177
146.597,0.413
146.608,0.585
146.619,0.938
146.652,0.973
146.663,0.891
146.674,0.575
146.871,0.241
146.882,0.258
146.893,0.1
146.904,0.25
146.915,0.333
146.926,0.246
146.937,0.477
146.948,0.788
146.959,0.802
146.969,0.778
146.98,0.578
146.991,0.262
147.002,0.05
147.177,0.112
147.188,0.459
147.199,0.663
147.21,1.276
147.221,1.136
147.232,0.977
147.254,0.82
147.265,0.777
147.287,0.541
147.309,0.443
147.331,0.562
147.342,0.263
147.495,0.295
147.506,1.068
147.517,1.695
147.528,2.163
147.538,2.218
147.549,2.667
147.56,3.112
147.571,3.475
147.582,3.416
147.593,3.257
147.604,3.46
147.615,3.145
147.626,3.122
147.637,3.916
147.648,3.074
147.659,3.118
147.67,0.955
147.681,0.427
147.692,0.313
147.703,0.108
147.79,0.13
147.801,0.144
147.812,0.096
147.823,0.151
147.834,0.158
147.845,0.131
147.856,0.114
147.943,0.322
147.954,0.985
147.965,1.743
147.976,1.998
147.987,2.034
147.998,2.464
148.009,2.195
148.02,2.18
148.031,1.478
148.042,1.269
148.053,1.882
148.064,1.216
148.075,0.454
148.195,0.458
148.206,0.706
148.217,0.672
148.228,0.718
148.239,0.753
148.25,0.794
148.261,0.654
148.272,0.565
148.282,0.927
148.293,1.298
148.304,0.981
148.337,0.308
148.458,0.325
148.468,1.218
148.479,1.258
148.49,0.654
148.501,0.013
148.578,0.516
148.589,0.959
148.6,1.527
148.611,2.015
148.622,1.819
148.633,1.494
148.643,0.935
148.654,0.257
148.84,0.965
148.851,1.544
148.862,1.61
148.873,2.074
148.884,2.167
148.895,3.057
148.906,3.507
148.917,3.822
148.928,3.505
148.939,3.43
148.95,3.33
148.961,2.982
148.972,2.77
148.983,2.312
148.994,1.906
149.005,1.327
149.015,0.679
149.026,0.269
149.037,0.007
149.092,0.021
149.103,0.622
149.114,1.192
149.125,0.904
149.508,0.174
149.519,0.806
149.53,1.072
149.541,1.063
149.552,1.371
149.563,1.405
149.573,1.443
149.584,1.31
149.595,0.965
149.606,0.914
149.617,0.525
149.628,0.718
149.639,0.599
149.65,0.561
149.661,0.648
149.672,0.428
149.683,0.261
149.694,0.01
149.705,0.085
149.716,0.131
150.033,0.666
150.044,0.907
150.055,1.015
150.066,0.858
150.077,0.934
150.088,0.567
150.142,0.1
150.153,0.302
150.164,0.177
150.175,0.118
150.197,0.025
150.208,0.402
150.219,1.025
150.23,1.188
150.241,1.549
150.252,1.668
150.263,1.555
150.274,1.566
150.285,0.913
150.296,0.742
150.307,0.321
150.689,0.475
150.7,0.865
150.711,1.327
150.722,1.102
150.733,1.502
150.744,1.338
150.755,1.345
150.766,0.732
150.777,0.666
150.788,0.449
150.799,0.968
150.81,0.63
150.952,0.247
150.963,0.363
150.974,0.11
150.985,0.288
150.996,0.243
151.007,0.38
151.018,0.395
151.182,0.015
151.193,0.954
151.204,1.513
151.215,2.339
151.226,2.27
151.236,1.94
151.247,1.568
151.258,0.6
151.269,0.402
151.28,0.048
151.335,0.148
151.346,0.217
151.576,0.255
151.587,0.867
151.597,1.497
151.608,2.032
151.619,2.182
151.63,2.347
151.641,2.551
151.652,1.552
151.663,0.268
151.674,0.207
151.685,0.237
151.696,0.565
151.707,0.298
151.805,0.905
151.816,2.195
151.827,2.251
151.838,0.975
151.849,0.82
151.86,1.162
151.871,1.101
151.882,0.999
151.893,0.332
152.013,0.443
152.024,0.411
152.035,0.644
152.046,0.891
152.057,1.38
152.068,1.751
152.079,1.705
152.09,1.773
152.101,1.248
152.112,1.387
152.123,1.369
152.134,0.654
152.145,0.146
152.166,0.229
152.221,0.072
152.232,0.729
152.243,0.519
152.254,0.521
152.265,0.491
152.276,0.361
152.287,0.292
152.298,0.328
152.309,0.539
152.32,0.544
152.331,1.0
152.341,0.996
152.352,0.691
152.363,0.751
152.374,0.967
152.385,1.292
152.396,1.049
152.407,0.558
152.746,0.192
152.757,1.0
152.768,1.935
152.779,2.594
152.79,3.124
152.801,3.606
152.812,3.615
152.823,3.628
152.834,2.258
152.845,1.494
152.856,1.151
152.867,0.205
152.965,0.019
152.976,0.146
152.998,0.07
153.009,0.383
153.042,0.261
153.053,0.375
153.096,0.021
153.107,0.454
153.118,0.506
153.129,0.701
153.14,0.649
153.151,0.716
153.162,0.996
153.173,1.101
153.184,1.405
153.195,2.16
153.206,2.237
153.217,2.139
153.228,1.733
153.239,0.246
153.293,0.203
153.304,0.466
153.315,0.704
153.326,1.236
153.337,0.416
153.425,0.107
153.457,0.037
153.468,0.978
153.479,0.733
153.49,0.917
153.501,1.014
153.512,1.505
153.523,1.287
153.534,1.406
153.545,1.413
153.556,1.288
153.567,1.092
153.578,0.83
153.589,0.601
153.654,0.201
153.665,0.381
153.676,0.306
153.687,0.103
153.742,0.03
153.753,0.173
153.764,0.301
153.775,0.457
153.786,0.154
153.808,0.076
154.114,0.361
154.125,1.159
154.136,1.007
154.147,2.168
154.158,3.979
154.169,3.537
154.18,3.299
154.19,3.98
154.201,2.92
154.212,3.513
154.223,3.75
154.234,3.667
154.245,2.928
154.256,0.521
154.409,0.602
154.42,1.327
154.431,1.776
154.442,1.599
154.453,1.774
154.464,1.505
154.475,1.756
154.486,2.366
154.497,1.439
154.508,0.11
154.913,0.137
155.0,0.113
155.011,0.016
155.066,0.026
155.077,0.492
155.088,0.548
155.099,0.678
155.11,0.587
155.131,0.159
155.142,0.137
155.164,0.249
155.175,0.257
155.186,0.232
155.197,0.201
155.208,0.134
155.219,0.295
155.23,0.209
155.241,0.284
155.252,0.284
155.263,0.265
155.274,0.194
155.285,0.402
155.296,0.687
155.317,0.835
155.328,0.68
155.427,0.111
155.438,0.801
155.449,0.84
155.46,1.082
155.471,1.732
155.482,1.887
155.492,2.082
155.503,2.376
155.514,2.162
155.525,1.973
155.536,1.87
155.547,1.173
155.558,1.009
155.569,0.269
156.116,0.332
156.127,0.606
156.138,0.591
156.149,0.436
156.16,0.573
156.171,1.177
156.182,1.468
156.193,1.912
156.204,1.292
156.215,0.336
156.225,0.262
156.313,0.071
156.324,0.561
156.335,1.423
156.346,1.561
156.357,1.994
156.368,1.746
156.379,1.705
156.39,1.778
156.401,1.95
156.411,2.338
156.422,2.285
156.433,1.245
156.444,0.612
156.554,0.015
156.565,0.213
156.576,0.278
156.587,0.675
156.598,0.878
156.608,1.061
156.619,0.865
156.63,0.454
156.641,0.479
156.652,0.669
156.663,0.65
156.674,0.892
156.685,0.63
156.696,0.103
156.707,0.196
156.729,0.222
156.74,0.899
156.751,1.172
156.762,1.033
156.773,1.234
156.784,1.545
156.794,1.998
156.805,2.014
156.816,1.43
156.827,1.281
156.838,0.79
156.849,0.787
156.86,0.732
156.871,0.196
157.002,0.452
157.013,0.613
157.177,0.3
157.188,0.625
157.199,0.73
157.21,1.158
157.221,1.53
157.232,1.723
157.243,1.386
157.254,0.956
157.265,0.563
157.276,0.475
157.287,0.467
157.298,0.066
157.309,0.106
157.374,0.513
157.385,0.588
157.396,0.479
157.407,0.748
157.418,1.056
157.429,0.568
157.44,0.562
157.451,0.441
157.462,0.006
157.473,0.175
157.484,0.405
157.495,0.77
157.506,1.04
157.517,0.755
157.528,0.791
157.538,0.419
157.549,0.317
157.56,0.053
158.282,0.043
158.293,0.317
158.304,0.229
158.315,0.308
158.326,0.228
158.337,0.738
158.348,1.155
158.359,1.117
158.37,1.028
158.381,1.707
158.392,1.418
158.403,1.622
158.414,2.584
158.425,2.668
158.436,2.377
158.446,3.055
158.457,2.75
158.468,0.625
158.479,0.366
158.49,0.629
158.501,1.302
158.512,0.179
158.643,0.074
158.862,0.866
158.873,1.801
158.884,1.657
158.895,1.376
158.906,0.806
158.917,0.996
158.928,0.515
158.939,0.782
158.95,0.682
158.961,0.728
158.972,0.481
158.983,0.48
158.994,0.464
159.005,0.179
159.026,0.374
159.037,0.387
159.048,0.341
159.059,0.346
159.07,0.346
159.081,0.083
159.092,0.087
159.377,0.293
159.387,0.402
159.398,0.768
159.409,0.774
159.42,0.865
159.431,0.913
159.442,0.9
159.453,1.231
159.464,1.689
159.475,1.804
159.486,1.981
159.497,2.187
159.508,2.371
159.519,1.997
159.53,2.621
159.541,1.814
159.552,0.491
159.563,0.235
159.573,0.238
159.584,0.218
159.595,0.185
159.606,0.285
159.617,0.532
159.628,0.742
159.639,1.526
159.65,1.862
159.661,2.534
159.672,2.351
159.683,1.524
159.694,0.929
159.705,0.802
159.716,0.688
159.727,0.464
159.738,0.25
159.858,0.137
159.869,0.55
159.88,0.57
159.891,0.86
159.902,1.306
159.913,1.48
159.924,1.629
159.934,1.502
159.945,1.83
159.956,2.124
160.033,1.716
160.044,1.0
160.055,0.617
160.066,0.518
160.077,0.055
160.219,0.156
160.23,0.419
160.241,0.514
