Depth(m),SO4(ng/g)
577.0,6.355773550995956
577.0262,8.368249734289554
577.0505,8.865477436617224
577.0748000000001,8.646055237297983
577.0991000000001,13.870087902213108
577.1234000000002,28.517565386614887
577.1477000000002,33.11654534524741
577.1720000000003,27.50682501108869
577.1963000000003,23.369546433796845
577.2206000000003,14.966624718141965
577.2449000000004,14.960632779315448
577.2692000000004,12.372480055974462
577.2935000000004,12.0987949447587
577.3178000000005,8.873286119293407
577.3421000000005,12.775534945510762
577.3664000000006,14.757641825916926
577.3907000000006,34.85558922132233
577.4150000000006,38.736955961060964
577.4393000000007,52.85725414229046
577.4636000000007,28.551348447270932
577.4879000000008,16.352778193799608
577.5122000000008,12.751224812119364
577.5365000000008,10.112429509933316
577.5608000000009,11.459771479262587
577.5851000000009,11.64949136530685
577.609400000001,27.17182051593
577.633700000001,46.815148708667486
577.658000000001,46.936085411031215
577.6823000000011,41.69738827893688
577.7066000000011,26.84693594928637
577.7309000000012,20.265623686840243
577.7552000000012,16.99287200214902
577.7795000000012,15.319523968617872
577.8038000000013,15.814704685412586
577.8281000000013,16.317593611450736
577.8524000000014,16.13576305810474
577.8767000000014,15.981958733194316
577.9010000000014,26.491666495114913
577.9253000000015,50.28796328276187
577.9496000000015,40.9694326963323
577.9739000000015,34.83902835220792
578.0000000000016,18.429423142910288
578.0262000000016,12.302553124597761
578.0506000000016,9.723688567091264
578.0750000000016,11.633650533980022
578.0994000000017,17.952614138627546
578.1238000000017,27.879681689377144
578.1482000000017,35.06962448382925
578.1726000000017,32.90572689254732
578.1970000000017,36.01382278652612
578.2214000000017,30.48080249435088
578.2458000000017,23.83912339994877
578.2702000000018,11.796379073973801
578.2946000000018,13.566582592821563
578.3190000000018,17.98336075641352
578.3434000000018,13.15524791813735
578.3678000000018,12.116795889448277
578.3922000000018,15.748900727807955
578.4166000000018,14.292203924967325
578.4410000000018,21.190331911065577
578.4654000000019,34.9974366654762
578.4898000000019,29.58732917827488
578.5142000000019,23.612793739440622
578.5386000000019,20.04148107425987
578.5630000000019,10.661599520742847
578.5874000000019,12.016773536668763
578.636200000002,11.619046927670357
578.660600000002,13.788084186589868
578.685000000002,27.5918480201841
578.709400000002,47.29506629434093
578.733800000002,21.98779126145145
578.758200000002,14.745772241414855
578.782600000002,13.770002649739057
578.8070000000021,17.07019385468347
578.8314000000021,15.990917855566316
578.8558000000021,16.66926964572414
578.8802000000021,25.521019343095123
578.9046000000021,29.714622079870725
578.9290000000021,27.037584185319524
578.9534000000021,21.68198259544083
578.9778000000022,11.405398555316182
579.0040000000022,16.111541663569
579.0302000000022,19.037099476676605
579.0545000000022,18.530295552654103
579.0788000000023,23.40410824760083
579.1031000000023,27.257221827028907
579.1274000000024,29.34162549947187
579.1517000000024,25.333441617262125
579.1760000000024,21.381522102279927
579.2003000000025,12.809117911432729
579.2246000000025,25.179720527494787
579.2489000000025,17.39081544045529
579.2732000000026,11.429159802306424
579.2975000000026,14.135625013091124
579.3218000000027,24.941275146703937
579.3461000000027,35.658105989142456
579.3704000000027,52.598760382944896
579.3947000000028,44.091708063079395
579.4190000000028,32.292317284246714
579.4433000000029,27.672999194117683
579.4676000000029,35.71819449084688
579.4919000000029,24.23113873838531
579.516200000003,14.644567005246076
579.540500000003,12.236916906661335
579.5648000000031,19.257410628909803
579.5891000000031,55.920598715330556
579.6134000000031,33.567190362339254
579.6377000000032,27.732347116628038
579.6620000000032,23.97149802421631
579.6863000000033,21.243890772262485
579.7106000000033,13.998474954719109
579.7349000000033,10.070405377546495
579.7592000000034,10.462869091369914
579.7835000000034,16.166558087140086
579.8078000000035,23.360946276357076
579.8321000000035,22.790851673923772
579.8564000000035,32.54066773424269
579.8807000000036,16.810034492241112
579.9050000000036,15.376655750484497
579.9293000000036,14.462151643312739
579.9536000000037,12.337847490236287
579.9779000000037,19.495051713190758
580.0040000000038,18.360294320895548
580.0289000000038,20.05335065876194
580.0537000000038,28.180838930427065
580.0785000000038,30.519911495474947
580.1033000000039,29.224357279410796
580.1281000000039,20.654326463551005
580.1529000000039,18.761304593265052
580.1777000000039,20.77930763988443
580.202500000004,26.40154369651208
580.227300000004,34.902200870852674
580.252100000004,32.48378474902363
580.276900000004,27.035538002639534
580.3017000000041,18.110680538194117
580.3265000000041,14.17228389547269
580.3513000000041,19.477022154122647
580.3761000000042,15.981911462932551
580.4009000000042,16.013813079483
580.4257000000042,20.10957500640333
580.4505000000042,38.06983790509326
580.4753000000043,33.76498152499953
580.5001000000043,22.26420920873827
580.5249000000043,17.643825004841542
580.5497000000043,21.117988272024515
580.5745000000044,13.360540692780832
580.5993000000044,17.556727803429425
580.6241000000044,12.196310433364777
580.6489000000045,8.784461008513725
580.6737000000045,13.003832900738237
580.6985000000045,24.044452473284483
580.7233000000045,33.214221011663426
580.7481000000046,28.20316010184214
580.7729000000046,25.95426750801042
580.7977000000046,20.504627487726623
580.8225000000047,16.384399617674436
580.8473000000047,12.461693989700578
580.8721000000047,8.992128785896307
580.8969000000047,22.89243181620831
580.9217000000048,32.00852111224254
580.9465000000048,50.90667158212462
580.9713000000048,33.0977725450247
580.9961000000048,24.421944457862036
581.0210000000048,25.389665964903514
581.0460000000048,13.515829310722225
581.0705000000048,14.045728896144906
581.0950000000048,22.60540388710644
581.1195000000048,21.41273044173596
581.1440000000048,48.94600868653586
581.1685000000048,55.97381721656272
581.1930000000048,33.144466350023855
581.2175000000047,20.6087222704641
581.2420000000047,16.775440375110886
581.2665000000047,15.453502087522681
581.2910000000047,19.109135668999837
581.3155000000047,16.821075384355886
581.3400000000047,30.06085759380652
581.3645000000047,36.013283409824446
581.3890000000047,52.71038965716635
581.4135000000047,43.636965634429295
581.4380000000046,32.38873976106266
581.4625000000046,21.434290747954574
581.4870000000046,19.116953550337243
